,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",411914,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
2,"Peace & Love","Charlie Charles",359188,https://open.spotify.com/track/4BGmYEDOK1swwoxTtfmVZD
3,Italiana,J-AX,330424,https://open.spotify.com/track/0ptaq4BSl6jrXfGyLzJjYE
4,"Davide (feat. Coez)",Gemitaiz,326891,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
5,Malibu,"Vegas Jones",227904,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw
6,X,"Nicky Jam",227348,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
7,British,"Dark Polo Gang",218298,https://open.spotify.com/track/3eIRxkHV1xKsSJ8WWFfGjE
8,"La Cintura","Alvaro Soler",208777,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
9,"Machika - Remix","J Balvin",196516,https://open.spotify.com/track/1lBqTGQ0nX1JeA2m7T51ux
10,"Ne è valsa la pena (feat. Ghali)","Capo Plaza",187095,https://open.spotify.com/track/6GTCOWvhjvdk4pwlfrSjNO
11,"Cupido (feat. Quavo)","Sfera Ebbasta",178658,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
12,Zingarello,Ghali,168048,https://open.spotify.com/track/12tAWUo1yKx0FRuEhYZjxQ
13,"Questa nostra stupida canzone d'amore",Thegiornalisti,165439,https://open.spotify.com/track/2LYt5nf0m90Bz8fuudLQd1
14,"One Kiss (with Dua Lipa)","Calvin Harris",165054,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
15,"Fotografia (feat. Francesca Michielin & Fabri Fibra)","Carl Brave",164276,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu
16,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,161004,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
