,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Una volta ancora (feat. Ana Mena)","Fred De Palma",377001,https://open.spotify.com/track/6gaeewGjNiQhWOUkWRSLTa
2,Chiasso,Random,341136,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
3,"Dove e quando","Benji & Fede",275940,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
4,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,271318,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
5,Lento,"Boro Boro",264418,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
6,"Margarita (con Marracash)",Elodie,230451,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
7,"Nisciun' (feat. Geolier)","Rocco Hunt",229645,https://open.spotify.com/track/6nUJr7wd4hiPBLjC8Db2Cr
8,"Mambo Salentino",Boomdabash,219492,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
9,"Cin Cin",Alfa,218410,https://open.spotify.com/track/0EThQdS5hqhByp2CLttKin
10,"La hit dell'estate",Shade,216651,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
11,JAMBO,"Takagi & Ketra",208808,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
12,Señorita,"Shawn Mendes",207197,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",203591,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
14,Arrogante,Irama,195771,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
15,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",192304,https://open.spotify.com/track/1MtmXPxXP4ntSjfF5xnOyM
16,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",190190,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
17,"Ostia Lido",J-AX,188492,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5
18,Lalala,Y2K,186538,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
19,Barrio,Mahmood,185080,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
20,"Na Na Na",Holden,182202,https://open.spotify.com/track/1cg6IqyZgBCU6P34gY161z
21,"Look Back at It (feat. CAPO PLAZA)","A Boogie Wit da Hoodie",181064,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G
22,Playa,"Baby K",180906,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq
23,"Non Ci Sto (con Marracash & Carl Brave)",Shablo,178918,https://open.spotify.com/track/5stH9hqpR941AmiJ9tVzrN
24,"Mon Fre - feat. Emis Killa",Shiva,176177,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
25,China,"Anuel AA",170781,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
26,"MARYLEAN (feat. Marracash) - prod. Low Kidd",MACHETE,161516,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ
27,"HO PAURA DI USCIRE 2 - prod. Mace",MACHETE,159527,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM
