,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,VOCE,Madame,406988,https://open.spotify.com/track/4ylL1oPx1rY1yFivslLFOR
2,"Musica leggerissima",Colapesce,356702,https://open.spotify.com/track/67qxSUoyng1ohzvfyOyNWW
3,"La genesi del tuo colore",Irama,324073,https://open.spotify.com/track/0HyDNYQmQ3obfA81D3y9tG
4,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,299469,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
5,"ZITTI E BUONI",Måneskin,298471,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
6,lady,sangiovanni,280240,https://open.spotify.com/track/2uyQXAGGwHuQVsu04OTVsB
7,"CHIAMAMI PER NOME","Francesca Michielin",271651,https://open.spotify.com/track/0ZqHo6eTBHUcOVjZzPvftT
8,"Mi manchi","Aka 7even",228822,https://open.spotify.com/track/5Q47Vr7OH4XdXR6tqdwTE2
9,Parlami,Fasma,194343,https://open.spotify.com/track/00QN58Gx571pB1MEuBAcmL
10,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",186688,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
11,"Ferma A Guardare (feat. Pinguini Tattici Nucleari)",Ernia,181944,https://open.spotify.com/track/1eDC4NiUYgQSKpKDIvXxi4
12,"Fiamme negli occhi",Coma_Cose,178353,https://open.spotify.com/track/5qn15Hs4s26YaNd5UWVe00
13,Dieci,Annalisa,158480,https://open.spotify.com/track/3RqausOoS1TMLly9Q12JgT
14,"tutta la notte",sangiovanni,158333,https://open.spotify.com/track/32SclbEhaMKvlMbncpy8W2
15,"Venere e Marte (feat. Marco Mengoni, Frah Quintale)","Takagi & Ketra",155269,https://open.spotify.com/track/4O3sAZoZDIhNRcfHNuU4Ps
16,"Hecha Pa' Mi",Boza,145403,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
17,"Ti raggiungerò","Fred De Palma",144185,https://open.spotify.com/track/3Ks12KDKwrT1anFMW0tevG
18,"CAZZO CULO (feat. Salmo)","Massimo Pericolo",139448,https://open.spotify.com/track/20t66ReqDDum1dvDSlpZzk
19,"AIRFORCE (feat. Madame)","Massimo Pericolo",138487,https://open.spotify.com/track/4MTlIhliwFJnTfbEoctDyB
20,"Your Love (9PM)",ATB,137184,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
21,"IL MIO AMICO (feat. Fabri Fibra)",Madame,136714,https://open.spotify.com/track/4mrr7agl0tGMOiuDT1AwMQ
22,"Non Fare Così","Capo Plaza",135718,https://open.spotify.com/track/769M2rTiAoL7x2lKDHLjRa
23,"MONTERO (Call Me By Your Name)","Lil Nas X",135436,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
24,"Scooby Doo","Pinguini Tattici Nucleari",132913,https://open.spotify.com/track/1P6TlFb8EVH2nCX3luVpZW
25,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,131659,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
26,"Mai Dire Mai (La Locura)","Willie Peyote",129641,https://open.spotify.com/track/4jmvkbDw0cuWD2Fi9VswFQ
27,"Astronaut In The Ocean","Masked Wolf",126775,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
28,STUPIDO,"Massimo Pericolo",125729,https://open.spotify.com/track/6HVRRlc2sBlkcKEkhlsp86
29,"Save Your Tears","The Weeknd",125650,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
30,"BUGIE (feat. Rkomi & Carl Brave)",Madame,120437,https://open.spotify.com/track/5dP8HoPhDJ53ILl7oxfA87
31,DÁKITI,"Bad Bunny",119870,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
32,Superclassico,Ernia,118582,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
33,"Yo No Sé",Rvfv,117471,https://open.spotify.com/track/43ic0un1f9Nak0ZCQgvKjY
34,"Paradise (feat. Dermot Kennedy)",MEDUZA,113886,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
35,"CASA NUOVA (feat. Venerus)","Massimo Pericolo",107874,https://open.spotify.com/track/1tjOgR3A8vzYKXpqjkVgec
36,"No Cap (feat. Geolier)","Emis Killa",107640,https://open.spotify.com/track/3uqFFmxrCv4nzkKFSNbXHv
37,Inuyasha,Mahmood,103457,https://open.spotify.com/track/361UCyu0eeQnfw2FCEy8tv
38,"Notti In Bianco",BLANCO,102656,https://open.spotify.com/track/38UoVEHcZ85EGBo6k79643
39,"L'urlo di Munch","Emanuele Aloia",102529,https://open.spotify.com/track/6UP3eoMcJDoEssjjHqAdjn
40,VENT'ANNI,Måneskin,101443,https://open.spotify.com/track/6Vfo6O3hk38vDcSpazNo3p
41,Glicine,Noemi,101028,https://open.spotify.com/track/3oTNtTmOOekaUDvDiqM4br
42,Concedimi,"Matteo Romano",100795,https://open.spotify.com/track/0pFjYM7JdNJhjuooMgesks
43,Destri,Gazzelle,99424,https://open.spotify.com/track/53LX6p75hOcCtAelMDyB8B
44,"Occhi Lucidi","Leon Faun",98726,https://open.spotify.com/track/7dYgzrhdIIjTQTvUjlrWxa
45,"Baby (with J Balvin)","Sfera Ebbasta",98192,https://open.spotify.com/track/3eblNP3Zd5b5J3JaOckl8Y
46,CORALINE,Måneskin,97226,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY
47,"Il tuo nome","Il Tre",96987,https://open.spotify.com/track/2RVdq0QXC4JxU0X51ZQYaH
48,Amare,"La rappresentante di lista",96404,https://open.spotify.com/track/6hhuex6bSsCfgDffHJmRo9
49,DEBITI,"Massimo Pericolo",94577,https://open.spotify.com/track/1MEznYdUSMGriy96I3XAp1
50,Street,"Capo Plaza",93562,https://open.spotify.com/track/1AA3XZWWaLTcOgVdeSWg3S
51,ORA,AIELLO,91743,https://open.spotify.com/track/0fd2YGd23e7oC9mAHQIH2t
52,BUGIE,"Massimo Pericolo",91274,https://open.spotify.com/track/7CTMeG3rXaCb0FxVifjS0t
53,"A Un Passo Dalla Luna","Rocco Hunt",91269,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
54,"Il Cielo Contromano",Deddy,90488,https://open.spotify.com/track/2zE2D5b8xKpdsVyWM2vlTt
55,"SLATT (feat. Capo Plaza)",Rondodasosa,88596,https://open.spotify.com/track/1YvhcTM8aIRTg03AavA2HJ
56,"Che me chiamme a fa?","Rocco Hunt",87360,https://open.spotify.com/track/5uXJrO4X6m7Xp0HC3zeklj
57,"Allenamento #4","Capo Plaza",86325,https://open.spotify.com/track/3TzSpxjKOnmVrtNOhtK8mx
58,Mediterranea,Irama,85645,https://open.spotify.com/track/2Up8QSKRV7WnZxZAQasEUq
59,Estate,Will,84798,https://open.spotify.com/track/7AKMq2HTg8FQs9LE0v9uoy
60,"Head & Heart (feat. MNEK)","Joel Corry",83717,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
61,"The Business",Tiësto,82192,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
62,"Angelina Jolie",Bresh,81811,https://open.spotify.com/track/0tD4EXZRm1JGDYWtKYFLWK
63,"SEVEN 7oo (feat. Rondodasosa, Sacky, Vale Pain, Neima Ezza, Kilimoney, Keta, Nko)","SEVEN 7oo",80989,https://open.spotify.com/track/2KYLg9El0wzvX4S13CDoZf
64,"drivers license","Olivia Rodrigo",80745,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
65,"Coltellata (feat. tha Supreme)",Gazzelle,78425,https://open.spotify.com/track/6pswDYZetJz39k41bCXNif
66,"GIRL LIKE ME","Black Eyed Peas",77324,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
67,"Las Vegas",Tancredi,77311,https://open.spotify.com/track/7jQjC63euHxAuB9ZEo8Bw1
68,"Mantieni il bacio","Michele Bravi",76975,https://open.spotify.com/track/291ozGPjR0HnVyKZOgkPGG
69,"BABAGANOUSH (feat. Pinguini Tattici Nucleari)",Madame,76896,https://open.spotify.com/track/4YXUb1SaWxWjVRMbna9yAv
70,"Je ne sais pas (feat. Sfera Ebbasta)","Lous and The Yakuza",76450,https://open.spotify.com/track/0AGOXOfcDIRXwZtny26RDd
71,MIA,Lortex,75421,https://open.spotify.com/track/1SIl1FBbHmGa4PmJu5q6Lm
72,Hypnotized,"Purple Disco Machine",74664,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
73,Ridere,"Pinguini Tattici Nucleari",73488,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
74,"ALTALENE (feat. Mara Sattei & Coez)","BLOODY VINYL",73392,https://open.spotify.com/track/2zqxUV6h5y6Y9WhyH0FVvX
75,hype,sangiovanni,72986,https://open.spotify.com/track/5TpiEQwR25UTdvIGh6Zdz1
76,"DIMMI ORA (feat. Guè Pequeno)",Madame,72974,https://open.spotify.com/track/1bXG3X6C0xiopzlsRdCxda
77,G,"Massimo Pericolo",71961,https://open.spotify.com/track/2ab0O64UrgFNMsVroHUQKj
78,FUMO,"Massimo Pericolo",71571,https://open.spotify.com/track/5gWNonTyiWsVPnWt3WTuIA
