,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Mediterranea,Irama,406664,https://open.spotify.com/track/47xPl1gvgdx4Z9dNUuloPg
2,"Good Times",Ghali,289839,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
3,"Il bacio di Klimt","Emanuele Aloia",289792,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
4,MAMACITA,"Black Eyed Peas",278895,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
5,Spigoli,"Carl Brave",233707,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
6,"Fiori di Chernobyl",Mr.Rain,220544,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
7,"Sono un bravo ragazzo un po' fuori di testa",Random,210075,https://open.spotify.com/track/4fllTuc6KM95uB3ZqqiGYd
8,"ELEGANTE (feat. Sfera Ebbasta)",DrefGold,209192,https://open.spotify.com/track/7qADAhkEs9vv3ll4hP8ybC
9,"Roses - Imanbek Remix","SAINt JHN",207553,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"TesTa TrA Le NuVoLE, pT. 2 – prod. Yanomi",Alfa,202058,https://open.spotify.com/track/04UtYEP1Jc0GRxbvH1B6Nk
11,"Nena (feat. Geolier & Andry The Hitmaker)","Boro Boro",199754,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
12,"death bed (coffee for your head)",Powfu,195381,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
13,"Auto Blu",Shiva,189341,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
14,GOOBA,6ix9ine,185797,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
15,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,183989,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
16,Chega,Gaia,169830,https://open.spotify.com/track/76w5oLSdgYvA0Bt4dTUe0Z
17,"Toosie Slide",Drake,154632,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
18,Tusa,"KAROL G",154620,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
19,"Le Feste Di Pablo (con Fedez)",CARA,152630,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
20,"Blinding Lights","The Weeknd",152497,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
21,"Boogieman (feat. Salmo)",Ghali,144101,https://open.spotify.com/track/58bRZqUPWnpop0WC9ob5wJ
22,Missili,"Frah Quintale",130431,https://open.spotify.com/track/5dcyltc1ataieXIeTqhH3t
23,"TKN (feat. Travis Scott)",ROSALÍA,127878,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
24,"Per sentirmi vivo",Fasma,127855,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
25,"Bella così - feat. Federica Carta","Chadia Rodriguez",126602,https://open.spotify.com/track/3XLyyybPY2d8kLiMb8HIyA
26,"Rain On Me (with Ariana Grande)","Lady Gaga",125400,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
27,"Dilemme (with tha Supreme & Mara Sattei)","Lous and The Yakuza",124161,https://open.spotify.com/track/1Whf2ZaesM1gXlU0z3Fslt
28,"blun7 a swishland","tha Supreme",123773,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
29,Bando,ANNA,123194,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
30,"Breaking Me",Topic,121246,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
31,"16 Marzo (feat. Gow Tribe)","Achille Lauro",119228,https://open.spotify.com/track/3nwH3HTFzpnRV5SqM9um3r
32,"Boss Bitch","Doja Cat",117480,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
33,"PROBLEMI CON TUTTI (GIUDA)",Fedez,117081,https://open.spotify.com/track/6dlFPrQ8AvKFPKJ7ZeyDMT
34,"THE SCOTTS","THE SCOTTS",116663,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
35,"AMIRI BOYS (feat. Capo Plaza)","Dark Polo Gang",113659,https://open.spotify.com/track/336EcNskIVcF8deRT8m1zY
36,Guaranà,Elodie,113343,https://open.spotify.com/track/1KXpcoggYmNTPCRXIz2m9Z
37,"El Efecto","Rauw Alejandro",112548,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
38,Rapide,Mahmood,111909,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
39,Chiasso,Random,111015,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
40,"MILF (feat. Taxi B)",Ghali,110260,https://open.spotify.com/track/2ijphJfSmJV7iOcBnSXFu0
41,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",110082,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
42,"NEON - Le Ali (feat. Elisa)",Marracash,109150,https://open.spotify.com/track/76cEI7LczlKZ1yLAHIoPBJ
43,"ily (i love you baby) (feat. Emilee)","Surf Mesa",108976,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
44,goosebumps,"Travis Scott",107514,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
45,"Cacao (feat. Pyrex)",Ghali,107092,https://open.spotify.com/track/0lAzr7LGHV1sdcYJfEKNmu
46,"Una volta ancora (feat. Ana Mena)","Fred De Palma",106976,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
47,"Moonlight Popolare (feat. Massimo Pericolo)",Mahmood,106722,https://open.spotify.com/track/2BM0FMNnZCkCMNMqHmKlpJ
48,"Como Llora",Juanfran,104161,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
49,"PUSSY (feat. Lazza & Salmo)","Dark Polo Gang",100560,https://open.spotify.com/track/7MhzmWFJYSEsL8wK7hufaC
50,"Dance Monkey","Tones And I",97096,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
51,"Musica (E Il Resto Scompare)","Elettra Lamborghini",96071,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
52,"Break My Heart","Dua Lipa",95803,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
53,"SNITCH E IMPICCI (feat. FSK SATELLITE)",DrefGold,94465,https://open.spotify.com/track/5zgyx2vTkJ05b5Y37X95Wy
54,"SICKO MODE","Travis Scott",90939,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
55,"OPPS (feat. Capo Plaza)",DrefGold,90143,https://open.spotify.com/track/6TzJQdkvLetW6PTVBKKVNh
56,Ridere,"Pinguini Tattici Nucleari",89688,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
57,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,89039,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
58,"fuck 3x","tha Supreme",87434,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
59,"Ringo Starr","Pinguini Tattici Nucleari",85921,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
60,"Cin Cin",Alfa,85581,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
61,Supalonely,BENEE,80185,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
62,"Domani ci passa",Ludwig,77389,https://open.spotify.com/track/3elLXGwE5zaREuOzWdlRJ2
63,"Blueberry Faygo","Lil Mosey",76790,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
64,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,76262,https://open.spotify.com/track/5EpBEqf5bnKeJ3p4zA1Sod
65,"Ma lo vuoi capire?","Tommaso Paradiso",75753,https://open.spotify.com/track/4Veqf07wBQY58QVqNGA1M7
66,"HIGHEST IN THE ROOM","Travis Scott",75533,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
67,Falling,"Trevor Daniel",75520,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
68,"ANSIA NO","FSK SATELLITE",75213,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
69,"PALAZZINE (feat. Marracash & Coez)","KID VICIOUS",74509,https://open.spotify.com/track/1Ht2ikmrxrs7EZj3VFkrCe
70,"Il Passo (feat. Samurai Jay)",MamboLosco,74136,https://open.spotify.com/track/5DeyCr1ZPOLBYFwHOqn6Lv
71,"Dove e quando","Benji & Fede",73200,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
72,"CRUDELIA - I nervi",Marracash,71002,https://open.spotify.com/track/5dsz7MTrNdN9aMTrnp7sOG
73,Viceversa,"Francesco Gabbani",69616,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
74,"Me Gusta",Shakira,69371,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
75,"Don't Start Now","Dua Lipa",69067,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
76,"BRAVI A CADERE - I polmoni",Marracash,68828,https://open.spotify.com/track/3me7fQdjgO8NHscb3xPaBa
77,"Una voglia assurda",J-AX,68826,https://open.spotify.com/track/2MLz3Pgc9NwNrMfOlILmKt
78,Lento,"Boro Boro",68039,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
79,"Kyte sul tempo (feat. Vegas Jones) - prod. Strage","Dani Faiv",68004,https://open.spotify.com/track/1P6rqjjzUUdISsEyDL4yf8
80,"Fai rumore",Diodato,67916,https://open.spotify.com/track/5fQdJRMCHmIlYRC7s3y5GR
81,"The Box","Roddy Ricch",66689,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
82,"In Your Eyes","The Weeknd",65412,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
83,LONDRA,"Rosa Chemical",64664,https://open.spotify.com/track/1zBr4jTyegVrBeGUgZgy7l
84,"Before You Go","Lewis Capaldi",64446,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
85,"Freddy friendly (feat. Gemitaiz) - prod. Kanesh","Dani Faiv",64128,https://open.spotify.com/track/54LKshqvO5WDy9RWhvJYxy
86,"Weekend a Miami (feat. Shiva) - prod. Strage","Dani Faiv",63394,https://open.spotify.com/track/2Cft8QMGbXrhIMUWyllZ0s
87,Physical,"Dua Lipa",63348,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
88,"4L (feat. MamboLosco)","Dark Polo Gang",62616,https://open.spotify.com/track/73tvJPxq6K6J1Pd6p6it6t
89,"SAVAGE (feat. Tedua)","Dark Polo Gang",60757,https://open.spotify.com/track/4kG6FMpUB3bUmlwLAmv6PM
90,"ENJOY (feat. Tedua)",DrefGold,60727,https://open.spotify.com/track/2tAZzQ65C5GDJCIhuACs5o
91,"MALA SANTA","Becky G",60153,https://open.spotify.com/track/5e50NiIlOc2YJIftHzoehd
92,"Sour Candy (with BLACKPINK)","Lady Gaga",59908,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
93,"Marymango (feat. tha Supreme)",Ghali,59801,https://open.spotify.com/track/1ociMpeDbQ9iSXNUNTIfLV
94,"PAROLA - feat. Lazza, Emis Killa",Giaime,59306,https://open.spotify.com/track/4XxQOwmNM0DF3bKafSJBNw
95,POLKA,"Rosa Chemical",59209,https://open.spotify.com/track/6hcUMWNYcoRygbg7cdxrZL
96,"Stu core t'apparten","Rocco Hunt",59172,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
97,"MA IL CIELO E' SEMPRE BLU (ITALIANSTARS4LIFE)","ITALIAN ALLSTARS 4 LIFE",58283,https://open.spotify.com/track/2xqyJa4BRzrEM4HQVgeazW
98,"Lose Control",MEDUZA,58244,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
99,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,58139,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
100,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,57602,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
101,"WANNABE VOL. 3",Highsnob,57178,https://open.spotify.com/track/7hGMh0mpoxgju622XPhgEc
102,Arrogante,Irama,57060,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
103,"Cioilflow (feat. Salmo) - prod. Strage","Dani Faiv",56968,https://open.spotify.com/track/5g3lnGtMq0m30T6xHElZqJ
104,"Ride It",Regard,56757,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
105,"Machete Mob (feat. Lazza, Nitro, Hell Raton & Jack The Smoker) - prod. Low Kidd","Dani Faiv",56665,https://open.spotify.com/track/1jdSQIHOSFxVqDSsSDTM8m
106,"Someone You Loved","Lewis Capaldi",56360,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
107,SCACCIACANI,Ketama126,56267,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
108,JAMBO,"Takagi & Ketra",56212,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
109,"Polo nord - C+N Progressive Mix","Massimo Pericolo",55817,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
110,"Cracovia, Pt. 3","Il Tre",55477,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
111,"Non Avere Paura","Tommaso Paradiso",54196,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
112,Rossetto,Random,54033,https://open.spotify.com/track/4nWtDExgGzlOQwxmp5JjUT
113,"Ora che ti guardo bene",Gazzelle,54025,https://open.spotify.com/track/25rH6l9UjJaLu4Ckxku8XT
114,"RITMO (Bad Boys For Life)","Black Eyed Peas",53885,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
115,"È sempre bello",Coez,53804,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
116,"Allora ciao",Shade,53613,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
117,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)",Lazza,53404,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
118,"Margarita (con Marracash)",Elodie,53269,https://open.spotify.com/track/6KfwIpX0Xo0lelmuUOnyZV
119,Andromeda,Elodie,53102,https://open.spotify.com/track/0enRz21WfeQKKV9StgrKv7
120,Savage,"Megan Thee Stallion",52884,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
121,"In peggio - prod. Strage","Dani Faiv",52559,https://open.spotify.com/track/36jzkozloE2nFefpcJUw32
122,"Say So","Doja Cat",52076,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
123,"Ostia Lido",J-AX,51986,https://open.spotify.com/track/4WJ1fu0RntmhYGkP9IWTVL
124,"Piccola Stella",Ultimo,51982,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
125,"Tutto questo sei tu",Ultimo,51952,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
126,"Bando - Remix",ANNA,51687,https://open.spotify.com/track/1Upi1oHB1ly7XdlbOz7Gjd
127,"Sunday Best",Surfaces,51686,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
128,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,51676,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
129,"Per Un Milione",Boomdabash,51640,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
130,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",51506,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
131,"SPORT + muscoli (RMX) (feat. Lazza, Paky, Luchè & Taxi B)",Marracash,50844,https://open.spotify.com/track/7srDOLMwjMC07Dzs7mqCnv
132,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",50170,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
133,"La hit dell'estate",Shade,50143,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
134,"Mambo Salentino",Boomdabash,49975,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
135,ROXANNE,"Arizona Zervas",49404,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
136,Barrio,Mahmood,48899,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
137,"Sei bella come Roma","DANDY TURNER",48864,https://open.spotify.com/track/51MYYyG3fjM3rttqRByqTl
138,"Me ne frego","Achille Lauro",48780,https://open.spotify.com/track/4oDW4IEwiYMahMTsIP17R1
139,ENFASI,Sierra,48551,https://open.spotify.com/track/77VwA6u9JEb4WG5lWSkvU6
140,"FCK U (feat. Madame)",PSICOLOGI,48316,https://open.spotify.com/track/2UmjncBZmtyf9M92Q4va1k
141,Tikibombom,Levante,47773,https://open.spotify.com/track/4JNT4VElmvNmJaQUhwPzg9
142,"Soldi in Nero - feat. Sfera Ebbasta",Shiva,47099,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
143,"Il tuo profumo","Fred De Palma",47009,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
144,"BIBERON (feat. DrefGold & ANNA)","Dark Polo Gang",46979,https://open.spotify.com/track/6yPfQyMA9azhv5yRfu6P3V
145,"Life Is Good (feat. Drake)",Future,46853,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
146,"D'estate non vale (feat. Ana Mena)","Fred De Palma",46707,https://open.spotify.com/track/5IbiQAbMBe5T2K67mCAIx3
