,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Gang Shit (feat. Capo Plaza)","Dark Polo Gang",621422,https://open.spotify.com/track/7EkJMf7yOPU7wOK2FcryQg
2,R8,MadMan,444420,https://open.spotify.com/track/1Z5y1PBVbvBdl98UPybxdb
3,"Mignolo (feat. Mostro)",MadMan,414331,https://open.spotify.com/track/5xkSyjqdQhVOBTyemRI7BB
4,Ludovico,MadMan,360999,https://open.spotify.com/track/5Ev5WYvReWx5ScH5iYUjem
5,"Stamm Fort (feat. Sfera Ebbasta)",Luchè,350693,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD
6,Numeri,MadMan,346616,https://open.spotify.com/track/7mVV2Rb9IpbsklRP9Mfz11
7,"È sempre bello",Coez,338830,https://open.spotify.com/track/18LXrvm337xqvFxpaB9Puj
8,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,324060,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
9,24/7,MadMan,317102,https://open.spotify.com/track/30Cste6qnaVsOethYhyoAn
10,"Beatrix Kiddo (feat. Vale Lambo)",MadMan,309370,https://open.spotify.com/track/3NR8xopBopMRrl8yA3dOyI
11,"Calma - Remix","Pedro Capó",302274,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
12,"Supernova (feat. Emis Killa)",MadMan,296891,https://open.spotify.com/track/65qZmnEjaadebCi68eNLiZ
13,"Queen Rmx (feat. Geolier)",MadMan,283221,https://open.spotify.com/track/0XgFjNOKo4AlscZBJdZh8v
14,"A/R (feat. Priestess)",MadMan,269505,https://open.spotify.com/track/2WYP6nbGg20AL8zkgvZxex
15,"Fuori Piove",MadMan,239823,https://open.spotify.com/track/5VaaARS0gXiL4ysFlTgAiz
16,"Happy Birthday","Sfera Ebbasta",218211,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2
17,"TVTB (feat. Dark Polo Gang)",Fedez,218179,https://open.spotify.com/track/3J1ZGGnDdhfAN3z4qRRonq
18,"Uova D'Oro (feat. Lil Pin & Mattaman)",MadMan,215633,https://open.spotify.com/track/1ycMW5JWaH4vzzp5dSgUWq
19,"Baila Baila Baila",Ozuna,209601,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
20,"Sweet but Psycho","Ava Max",201362,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
21,"7/8 Sour",MadMan,198124,https://open.spotify.com/track/02jxUVBnihub7LKkcjadFI
22,"Comodino (feat. Nacho)",MadMan,196468,https://open.spotify.com/track/4QtcXJtIWeny5wVa753PYl
23,"Perry Mason",MadMan,189010,https://open.spotify.com/track/4WBWVJQABgcCH3bV0hVe76
24,"Cambiare Adesso","Dark Polo Gang",186048,https://open.spotify.com/track/01MJgnPL3AuwmYQ4EbHzD7
