,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Pablo,Rvssian,381565,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d
2,"Amore e Capoeira","Takagi & Ketra",373182,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
3,"Da zero a cento","Baby K",353312,https://open.spotify.com/track/4cQR1R25cpABjPMzpybNSQ
4,Nera,Irama,338669,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
5,Italiana,J-AX,246590,https://open.spotify.com/track/0ptaq4BSl6jrXfGyLzJjYE
6,"Fotografia (feat. Francesca Michielin & Fabri Fibra)","Carl Brave",243412,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu
7,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",240664,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
8,"In My Feelings",Drake,240418,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
9,"Felicità puttana",Thegiornalisti,216434,https://open.spotify.com/track/7iyhPEsF6Ea83e3eR87UjY
10,"Nero Bali",Elodie,214573,https://open.spotify.com/track/2hygc41DOo6dGocHEk6Jx1
11,"Davide (feat. Coez)",Gemitaiz,209018,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
12,"Non Ti Dico No",Boomdabash,202915,https://open.spotify.com/track/07Xuc7SQU2GAJY6Gnt93ub
13,Rollercoaster,"Emis Killa",201237,https://open.spotify.com/track/2Qe5XpRwGHFmMkZim0gRye
14,"Moscow Mule","Benji & Fede",192694,https://open.spotify.com/track/1Lfjom9CoL5hIyvjYey9zs
15,"Te Boté - Remix","Nio Garcia",183448,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
16,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",170230,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
17,"La Cintura","Alvaro Soler",168796,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
18,"D'estate non vale (feat. Ana Mena)","Fred De Palma",166441,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
19,"Faccio Quello Che Voglio","Fabio Rovazzi",161743,https://open.spotify.com/track/3ZSiGHNkkWgFInQqPEP0xb
