,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Happy Birthday","Sfera Ebbasta",775056,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2
2,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,431785,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
3,"Torna a casa",Måneskin,349868,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
4,"La fine del mondo",Anastasio,324392,https://open.spotify.com/track/3FhWEh7VTAOYK4edZqNWNB
5,"CABRIOLET (feat. Sfera Ebbasta)",Salmo,293803,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN
6,"oh 9od","tha Supreme",286334,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",260734,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
8,"STAI ZITTO (feat. Fabri Fibra)",Salmo,251115,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd
9,Cherofobia,"Martina Attili",243119,https://open.spotify.com/track/2TfcMUAZ4vH4fTA9eF53v2
10,90MIN,Salmo,235543,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
11,"Cascare nei tuoi occhi",Ultimo,204053,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
12,"SPARARE ALLA LUNA (feat. Coez)",Salmo,195534,https://open.spotify.com/track/4spkZ6gRKh827yp6JI6TN1
13,"Cambiare Adesso","Dark Polo Gang",190740,https://open.spotify.com/track/01MJgnPL3AuwmYQ4EbHzD7
14,LUNEDI',Salmo,187987,https://open.spotify.com/track/1VNARx6Sm6ZYAsDMCGiU1B
15,Pablo,Rvssian,185815,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d
16,"Prima di ogni cosa",Fedez,180339,https://open.spotify.com/track/0juSegsrO7siAAjlNATKV2
17,"Billets (feat. Ninho)","Capo Plaza",178950,https://open.spotify.com/track/2aD5ESGyEhXnXdoOsZvsR0
18,Coupé,"Capo Plaza",175277,https://open.spotify.com/track/0X6TgBHcxe20tNvWuwXEpn
19,"Fuoco e benzina","Emis Killa",175155,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc
20,"HO PAURA DI USCIRE",Salmo,166448,https://open.spotify.com/track/4Nc1FDBI1NUiN48MjTiXEi
21,"MIA (feat. Drake)","Bad Bunny",165319,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
22,"Bella e rovinata",Irama,160652,https://open.spotify.com/track/5uPQRVuGquShCnqzuOTq4B
23,"Los Angeles",Luna,156618,https://open.spotify.com/track/44oZqBLSPMKbxB0bOuUrEN
24,"RICCHI E MORTI",Salmo,149113,https://open.spotify.com/track/2sCkQ5AoGNKy0urYd2E3BT
25,Happier,Marshmello,143989,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
26,"Vaina Loca",Ozuna,141599,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
27,NewJeans,"Capo Plaza",140870,https://open.spotify.com/track/1C8KgGduDWKvwbFiqARcFq
28,"Posso (feat. Max Gazzé)","Carl Brave",140104,https://open.spotify.com/track/5N0nmOmc0MqPZTYKw4fVV6
29,"Bling Bling (Oro)",Guè,135009,https://open.spotify.com/track/11AXfsh0V6zCCU7Po6kQiY
30,RATATA,"Capo Plaza",134035,https://open.spotify.com/track/3QjM7blH1a157YfP8G33TA
31,"Se Piovesse Il Tuo Nome",Elisa,125647,https://open.spotify.com/track/7oETr2afFHIzjDIOpm4zPJ
32,"DISPOVERY CHANNEL (feat. Nitro)",Salmo,125278,https://open.spotify.com/track/77F0NNChJGfDBp3fTCWaDc
33,"In My Mind",Dynoro,123805,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
34,"thank u, next","Ariana Grande",123547,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
35,"All I Want for Christmas Is You","Mariah Carey",119660,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
36,PERDONAMI,Salmo,119318,https://open.spotify.com/track/4Yr7z1MFiI2D3QnldF107i
37,"Spunte Blu (feat. Guè)","Carl Brave",116818,https://open.spotify.com/track/1sjr6BBPbtlQjPZ6eHqis4
38,"Tutto tua madre",J-AX,116194,https://open.spotify.com/track/1PahySwtcIaiG7GUnCy9tx
39,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",113881,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
40,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",112073,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
41,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,109698,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
42,"D'estate non vale (feat. Ana Mena)","Fred De Palma",108474,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
43,Pianeti,Ultimo,105697,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
44,"Poesia senza veli",Ultimo,105452,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W
45,"Ridere Di Noi (feat. Luchè)","Carl Brave",104415,https://open.spotify.com/track/0MKvOTvAzkeID3kTnZT4Zi
46,Shallow,"Lady Gaga",104166,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
47,"Fumo Da Solo",Izi,103686,https://open.spotify.com/track/4sYbBt781iAS2S76IeMwIG
48,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","Imagine Dragons",103526,https://open.spotify.com/track/2bzitsPcImYC6DZWvvLCQi
49,"Un domani (feat. Mr.Rain)",Annalisa,101244,https://open.spotify.com/track/5ZUbSBnGDbmBGcH2l1575M
50,"Hola (I Say) (feat. Tom Walker)","Marco Mengoni",99808,https://open.spotify.com/track/42LrSpEHmXHfjEH8NeiQQi
51,"Davide (feat. Coez)",Gemitaiz,99720,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
52,Sopra,Gazzelle,99675,https://open.spotify.com/track/3Cbaa4ZmODhKEGSkMsbkOO
53,Vertigini,Tedua,99629,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU
54,Rollercoaster,"Emis Killa",98138,https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf
55,"New York",Thegiornalisti,97691,https://open.spotify.com/track/1nhEQjgj0NrtAoDuFEhMEL
56,PXM,Salmo,93605,https://open.spotify.com/track/6Jv6R1QvVm2CuCbqLi1nAT
57,Rockstar,"Sfera Ebbasta",91000,https://open.spotify.com/track/3js3wKPw8VxBWtcXtwyUnA
58,"ORA CHE FAI?",Salmo,89630,https://open.spotify.com/track/3ibnXjXTxiQQVJsoCffeo3
59,"Trap Phone (feat. Capo Plaza)",Guè,88465,https://open.spotify.com/track/4dcMymOM4uDaH0NrwdktgN
60,"Morirò da Re",Måneskin,87804,https://open.spotify.com/track/1aX0Ki80LFzzhqxqRlqbAV
61,Merci,"Carl Brave",85824,https://open.spotify.com/track/429kanJEBTPrcTKYBT8yPq
62,"PELLE D'OCA","Vegas Jones",85577,https://open.spotify.com/track/3SjNwo6aHnvKx8yeSXxTmT
63,MAMA,6ix9ine,85404,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
64,"Borsello (feat. Sfera Ebbasta & DrefGold)",Guè,84625,https://open.spotify.com/track/31wSmTMwl9CIr1RQds2Tvy
65,"Promises (with Sam Smith)","Calvin Harris",84223,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
66,"Uno squillo","Capo Plaza",81707,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
67,KIKA,6ix9ine,80920,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
68,"TIC TOC",6ix9ine,78802,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
69,Scintille,Gazzelle,78424,https://open.spotify.com/track/0IqQi6pcD94SRXXt8nqw2T
70,"Cupido (feat. Quavo)","Sfera Ebbasta",77548,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
71,BEBE,6ix9ine,77155,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
72,"Ne è valsa la pena (feat. Ghali)","Capo Plaza",76477,https://open.spotify.com/track/6GTCOWvhjvdk4pwlfrSjNO
