,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Superclassico,Ernia,347663,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
2,Destri,Gazzelle,314073,https://open.spotify.com/track/0WBg2If3H9nN9RFl2xO2SZ
3,"A Un Passo Dalla Luna","Rocco Hunt",279327,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
4,"Chico (feat. Rose Villain & Luchè)",Guè,271507,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
5,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,254668,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
6,"BELLA STORIA",Fedez,232951,https://open.spotify.com/track/0824Kyozhv4yBbM86aBFCG
7,Hypnotized,"Purple Disco Machine",224821,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
8,"22 settembre",Ultimo,223745,https://open.spotify.com/track/15RRpHBNzv0gvjIry4jyOs
9,Mediterranea,Irama,198637,https://open.spotify.com/track/2Up8QSKRV7WnZxZAQasEUq
10,"Paloma (feat. Anitta)","Fred De Palma",196550,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
11,"Te lo prometto","Il Tre",195101,https://open.spotify.com/track/72aqCNAdOo6H4nrPyAivSV
12,"Mood (feat. iann dior)",24kGoldn,189467,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
13,Spigoli,"Carl Brave",188899,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
14,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,177472,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
15,"Breaking Me",Topic,167274,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
16,"Head & Heart (feat. MNEK)","Joel Corry",163860,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,Karaoke,Boomdabash,160672,https://open.spotify.com/track/0D4GpOPInKiPxEfQMchu4p
18,"BIMBI PER STRADA (CHILDREN)",Fedez,158731,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
19,Autostop,Shade,138001,https://open.spotify.com/track/5ZgeeXOHGYUn0K3kuICyw9
20,"L'ultima volta - feat. Massimo Pericolo","Emis Killa",137450,https://open.spotify.com/track/3rOw9WmYFCRLHTRcbOjhUl
21,"Il bacio di Klimt","Emanuele Aloia",137168,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
22,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)","Takagi & Ketra",135213,https://open.spotify.com/track/2YGqtxaGdML9aM5jCwgRw9
23,"No Insta - feat. Lazza","Emis Killa",130166,https://open.spotify.com/track/3uHVhjDeFz9wF4Sf7wX6iU
24,"Sparami - feat. Salmo, Fabri Fibra","Emis Killa",129209,https://open.spotify.com/track/2goEcSJEnmaHyKgmBJJzNm
25,"Savage Love (Laxed - Siren Beat)","Jawsh 685",129151,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
26,"La storia infinita","Pinguini Tattici Nucleari",129063,https://open.spotify.com/track/0XAO6HaZDHa2HxbnWWKWCZ
27,"Watermelon Sugar","Harry Styles",127043,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
28,"Non mi basta più (feat. Chiara Ferragni)","Baby K",126442,https://open.spotify.com/track/5ZUeBvBEH8hpdLMW3yCmHb
