,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",380881,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
2,"Per Un Milione",Boomdabash,264889,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
3,"Con Calma","Daddy Yankee",241128,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
4,"È sempre bello",Coez,232921,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
5,Mademoiselle,"Sfera Ebbasta",227471,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c
6,"Calma - Remix","Pedro Capó",225992,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
7,"bad guy","Billie Eilish",201062,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
8,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,191523,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
9,Soldi,Mahmood,188888,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
10,"Sweet but Psycho","Ava Max",161082,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
11,"Baila Baila Baila",Ozuna,156087,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
12,"I Tuoi Particolari",Ultimo,155677,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
13,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)","Takagi & Ketra",152207,https://open.spotify.com/track/0swoHiwTazywpoqiKDUtGQ
14,"Adan y Eva","Paulo Londra",142496,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
15,"Rondini Al Guinzaglio",Ultimo,138492,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
16,"I Love You",Ghali,135858,https://open.spotify.com/track/7GOFNyZcCTwm1SsC5jOFpA
17,"Blu (feat. Elisa)",Rkomi,133994,https://open.spotify.com/track/0Q4v8N758nx98YxObfqkNC
18,HP,Maluma,133470,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
