,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MI FAI IMPAZZIRE",BLANCO,744344,https://open.spotify.com/track/1x3Qb8np6S1UvpSLthwEJN
2,malibu,sangiovanni,720585,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi
3,"MILLE – feat. Orietta Berti",Fedez,659120,https://open.spotify.com/track/6qdMhG7pRFi0csRlFGvLE4
4,Pistolero,"Elettra Lamborghini",479644,https://open.spotify.com/track/6Y3E68GAhdvbJramkIOKJK
5,"Un bacio all'improvviso","Rocco Hunt",459995,https://open.spotify.com/track/4iMigesJsEKt8JczIwUrBO
6,"NUOVO RANGE (con SFERA EBBASTA)",Rkomi,434348,https://open.spotify.com/track/3fxSSvnUS7ALxmhOckb7t6
7,"I WANNA BE YOUR SLAVE",Måneskin,394273,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
8,Loca,"Aka 7even",386691,https://open.spotify.com/track/6uS2uan3JwpHko4E8Bg0UR
9,"LUNA PIENA (con IRAMA)",Rkomi,342808,https://open.spotify.com/track/7xtDBQTR47nZwpBRu6pOdO
10,"Notti In Bianco",BLANCO,332657,https://open.spotify.com/track/38UoVEHcZ85EGBo6k79643
11,"Ti raggiungerò","Fred De Palma",322290,https://open.spotify.com/track/3Ks12KDKwrT1anFMW0tevG
12,Beggin',Måneskin,310555,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
13,"PARTIRE DA TE",Rkomi,302362,https://open.spotify.com/track/43mGIsFZwISk1WWTcAK728
14,MAREA,Madame,271510,https://open.spotify.com/track/7BKGYx89QYgfdnpVo3zapq
15,"ZITTI E BUONI",Måneskin,266799,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
16,Salsa,J-AX,265809,https://open.spotify.com/track/6VAdJCy8hFSxTNsxlBADSE
17,"Mohicani (feat. Baby K)",Boomdabash,259976,https://open.spotify.com/track/5Wml9i3afqwcm8UNDD1GXw
18,"Yo No Sé",Rvfv,252660,https://open.spotify.com/track/43ic0un1f9Nak0ZCQgvKjY
19,Effe,"Tony Effe",240246,https://open.spotify.com/track/56nvQibJaC1V84wVMqA3Ck
20,lady,sangiovanni,239673,https://open.spotify.com/track/7wXb66O5ZZU77xtqNDH0gl
21,"Movimento lento (feat. Federico Rossi)",Annalisa,235723,https://open.spotify.com/track/3H6wIwh1C3GVJI0LaWQF7P
