,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Un Passo Dalla Luna","Rocco Hunt",627829,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
2,Mediterranea,Irama,506152,https://open.spotify.com/track/47xPl1gvgdx4Z9dNUuloPg
3,Karaoke,Boomdabash,497272,https://open.spotify.com/track/0D4GpOPInKiPxEfQMchu4p
4,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,439192,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
5,"Non mi basta più (feat. Chiara Ferragni)","Baby K",402415,https://open.spotify.com/track/5ZUeBvBEH8hpdLMW3yCmHb
6,"0ffline (feat. bbno$)","tha Supreme",399387,https://open.spotify.com/track/6ZWsKJdmoYu1oFJbzCmtK9
7,"Paloma (feat. Anitta)","Fred De Palma",386388,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
8,"BIMBI PER STRADA (CHILDREN)",Fedez,338649,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
9,"Savage Love (Laxed - Siren Beat)","Jawsh 685",327083,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
10,"Sono un bravo ragazzo un po' fuori di testa",Random,313563,https://open.spotify.com/track/5EXLYWZGnmYC01H53WUAhi
11,MAMACITA,"Black Eyed Peas",304746,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
12,"Breaking Me",Topic,303197,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
13,Autostop,Shade,302806,https://open.spotify.com/track/5ZgeeXOHGYUn0K3kuICyw9
14,Superclassico,Ernia,299282,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
15,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)","Takagi & Ketra",282745,https://open.spotify.com/track/2YGqtxaGdML9aM5jCwgRw9
16,"Good Times",Ghali,282457,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
17,Guaranà,Elodie,275653,https://open.spotify.com/track/1KXpcoggYmNTPCRXIz2m9Z
18,Spigoli,"Carl Brave",272065,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
19,"Chico (feat. Rose Villain & Luchè)",Guè,264383,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,226653,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,"TesTa TrA Le NuVoLE, pT. 2 – prod. Yanomi",Alfa,215725,https://open.spotify.com/track/04UtYEP1Jc0GRxbvH1B6Nk
22,"Il bacio di Klimt","Emanuele Aloia",202871,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
23,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,201740,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
24,"2 TIRI (feat. tha Supreme)",Lazza,196767,https://open.spotify.com/track/3TwMhXQ6O1KGPfiYV5mxGN
25,"Nena (feat. Geolier & Andry The Hitmaker)","Boro Boro",193118,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
26,Hypnotized,"Purple Disco Machine",191931,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
27,Caramelo,Ozuna,187730,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
28,"Como Llora",Juanfran,186562,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
29,Portofino,"Il Pagante",179697,https://open.spotify.com/track/6xc77qJbTNh3yQzSopZEuw
30,"Watermelon Sugar","Harry Styles",170513,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
31,"TKN (feat. Travis Scott)",ROSALÍA,168353,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
32,"Una voglia assurda",J-AX,168258,https://open.spotify.com/track/0jaYrOJVG8KcDh9qrU2TU8
33,"ALYX (feat. Capo Plaza)",Lazza,162999,https://open.spotify.com/track/5ifarM7jfplX1EqkqMHlDq
34,"ELEGANTE (feat. Sfera Ebbasta)",DrefGold,156965,https://open.spotify.com/track/7qADAhkEs9vv3ll4hP8ybC
35,"Djadja (feat. Maluma) - Remix","Aya Nakamura",155739,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
36,"Roses - Imanbek Remix","SAINt JHN",155697,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
