,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,777638,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
2,"Dance Monkey","Tones And I",445307,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"APPARTENGO - Il sangue (feat. Massimo Pericolo)",Marracash,430445,https://open.spotify.com/track/2tpfOljBdskx8G331TjRps
4,"QUELLI CHE NON PENSANO - Il cervello (feat. Coez)",Marracash,418484,https://open.spotify.com/track/6l1Jnqfu7GAOV4MDgA2bNP
5,"CRUDELIA - I nervi",Marracash,408505,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
6,"QUALCOSA IN CUI CREDERE - Lo scheletro (feat. Guè Pequeno)",Marracash,404642,https://open.spotify.com/track/39hRcGieqFaKfZ7LN91Vy5
7,"SPORT - I muscoli (feat. Luchè)",Marracash,377929,https://open.spotify.com/track/3HVm4g9bZHo0aMsjzGS7Ro
8,"BODY PARTS - I denti",Marracash,360362,https://open.spotify.com/track/4WOXQYfq3fYVRMcaXuHBAD
9,"BRAVI A CADERE - I polmoni",Marracash,355270,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
10,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",349736,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
11,"NON SONO MARRA - La pelle (feat. Mahmood)",Marracash,340631,https://open.spotify.com/track/0pl6P6vTEB9pNABaD53SgS
12,"MADAME - L'anima (feat. Madame)",Marracash,340432,https://open.spotify.com/track/2wL96n9ToLGhekNTFrPhxj
13,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",310157,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
14,"POCO DI BUONO - Il fegato",Marracash,292331,https://open.spotify.com/track/4ykwdc532KqgY4z8CJcUwO
15,"G.O.A.T. - Il cuore",Marracash,288667,https://open.spotify.com/track/50c3vq2uUkSV8QrcbcPWW3
16,"DA BUTTARE - Il ca**o",Marracash,269427,https://open.spotify.com/track/2auOwPOpAxhGmJfIaxS0kQ
17,"Una volta ancora (feat. Ana Mena)","Fred De Palma",252456,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
18,"RITMO (Bad Boys For Life)","Black Eyed Peas",246066,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
19,Chiasso,Random,243672,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
20,Bossoli,Shiva,239166,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
21,"GRETA THUNBERG - Lo stomaco (feat. Cosmo)",Marracash,237036,https://open.spotify.com/track/38VKvSaq4ic5k5zCHshjMo
22,"Non Avere Paura","Tommaso Paradiso",235029,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
23,"TUTTO QUESTO NIENTE - Gli occhi",Marracash,234108,https://open.spotify.com/track/5Lwin5QMDUiC5W39iJ6nsi
24,Barrio,Mahmood,223243,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
