,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"∞ LOVE (feat. Guè)",Marracash,520199,https://open.spotify.com/track/2VyZWWKamfq7kVnh5gMgPd
2,"CRAZY LOVE",Marracash,313656,https://open.spotify.com/track/3HYK8FMGNQu1Whl8DdtsRC
3,"Pastello Bianco","Pinguini Tattici Nucleari",278029,https://open.spotify.com/track/0bKDQionn4VKcgNKbs4SWX
4,"NEMESI (feat. BLANCO)",Marracash,275187,https://open.spotify.com/track/1oMZnVIuo6GmUNnemu8sLu
5,KUMITE,Salmo,250798,https://open.spotify.com/track/6yaNNYWPjkWHbh1jADEyJO
6,IO,Marracash,225983,https://open.spotify.com/track/1U4dpTSsugnH510JzzCykV
7,DUBBI,Marracash,219509,https://open.spotify.com/track/7fI5RJec8R3jJ95pljZnkN
8,"MI FAI IMPAZZIRE",BLANCO,216768,https://open.spotify.com/track/1x3Qb8np6S1UvpSLthwEJN
9,"SAPORE – with Tedua",Fedez,210496,https://open.spotify.com/track/3QdtpN3K8s2aDsX6o10KZK
10,"TU MI HAI CAPITO (feat. Sfera Ebbasta)",Madame,189959,https://open.spotify.com/track/2tIyoiGw4F82z2C8zb7eZB
11,"Notti In Bianco",BLANCO,186305,https://open.spotify.com/track/1PWOkqMORYdGa0OEh2GaXM
12,LORO,Marracash,184819,https://open.spotify.com/track/0A85tPJ5uRYudixySOsfIV
13,"LAUREA AD HONOREM (feat. Calcutta)",Marracash,177973,https://open.spotify.com/track/5xJNgaimelFOPWnK9U4IUO
14,Paraocchi,BLANCO,177132,https://open.spotify.com/track/40zkeKA3HRN8Nzo6kbNOCp
15,"Come nelle canzoni",Coez,175771,https://open.spotify.com/track/0lwo64aO3YEjcnJGTFHYR1
16,"NUOVO RANGE (con SFERA EBBASTA)",Rkomi,175195,https://open.spotify.com/track/3fxSSvnUS7ALxmhOckb7t6
17,"Mi Piace (feat. Sfera Ebbasta)","Tony Effe",173838,https://open.spotify.com/track/5gCAQkBpp9HNKLB8unHgMj
18,"Blu Celeste",BLANCO,170129,https://open.spotify.com/track/0BeXxjO6mgLDzg4xA6UheO
19,"Finché Non Mi Seppelliscono",BLANCO,169719,https://open.spotify.com/track/16EJNayKtC09M0Fi7Py47s
20,PAGLIACCIO,Marracash,165983,https://open.spotify.com/track/5uMhO2tMkDsReokIzL1V3G
21,Pepas,Farruko,163101,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
22,NOI,Marracash,155993,https://open.spotify.com/track/0FvYrmmPglHGBKJ3AtZovH
23,COSPLAYER,Marracash,152125,https://open.spotify.com/track/09FMFnWC5RYkvvvsjOus9B
24,"La più bella",Mecna,149569,https://open.spotify.com/track/0sAroRXvF6YQqMdonRDE9e
25,"Easy On Me",Adele,144770,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
26,"GLI ALTRI (Giorni Stupidi)",Marracash,141625,https://open.spotify.com/track/6LC1d03JaBFQeRmwvcKi9s
27,abcdefu,GAYLE,139037,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
28,"STAY (with Justin Bieber)","The Kid LAROI",138905,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
