,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Cupido (feat. Quavo)","Sfera Ebbasta",301574,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
2,Rockstar,"Sfera Ebbasta",276009,https://open.spotify.com/track/3js3wKPw8VxBWtcXtwyUnA
3,"Sciroppo (feat. DrefGold)","Sfera Ebbasta",261507,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6
4,"Cara Italia",Ghali,220370,https://open.spotify.com/track/7K8krdGeSIvwDGw1WUqJuK
5,"God's Plan",Drake,207910,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
6,"Ricchi x Sempre","Sfera Ebbasta",203181,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx
7,"Serpenti A Sonagli","Sfera Ebbasta",189394,https://open.spotify.com/track/5Z0Mx6SeUAFA2rgZB9t1Nu
8,"Pem Pem","Elettra Lamborghini",177664,https://open.spotify.com/track/6NprDUe0yiLIVGgcnFGgtq
9,"Serio (feat. Capo Plaza)","Emis Killa",171476,https://open.spotify.com/track/2Cm9pUNjLYpLo2gjIiTBPa
10,"Il ballo delle incertezze",Ultimo,151037,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu
11,Uber,"Sfera Ebbasta",146440,https://open.spotify.com/track/4oZhBLWGhtIyBckervj3sb
12,"Non mi avete fatto niente","Ermal Meta",146094,https://open.spotify.com/track/6d3sJyECf0XccpnosXyxT7
13,Ipernova,Mr.Rain,136758,https://open.spotify.com/track/1TaSkLG2bXx84YuKmJvncw
14,"Centro (feat. Coez)",MadMan,134712,https://open.spotify.com/track/540qZ2h2nFsuky4w42Quw8
15,"Una Vita In Vacanza","Lo Stato Sociale",134508,https://open.spotify.com/track/554Cnj9FKhRGABIxSaGJGG
16,"La musica non c'è",Coez,120235,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
17,IDGAF,"Dua Lipa",112854,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
18,"Irraggiungibile (feat. Federica Carta)",Shade,107235,https://open.spotify.com/track/03PDOt4cRKQgpYfA9I9wnC
19,"Il mondo prima di te",Annalisa,106472,https://open.spotify.com/track/0qM6TGkkinhKFllbcRfL8u
20,"Tran Tran","Sfera Ebbasta",103938,https://open.spotify.com/track/3cGuiySfwJPXqvE15OiEEg
21,"Échame La Culpa","Luis Fonsi",103508,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
22,Bancomat,"Sfera Ebbasta",102172,https://open.spotify.com/track/0AQgJrBY3l12K49HTvnT99
23,"Leave a Light On","Tom Walker",100519,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
24,"20 Collane","Sfera Ebbasta",96291,https://open.spotify.com/track/6cj01yz96YqEgsMX15H6FN
25,"Psycho (feat. Ty Dolla $ign)","Post Malone",93255,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
26,XNX,"Sfera Ebbasta",90476,https://open.spotify.com/track/0W2dRTfCkaanZgRimFEMay
27,"Havana (feat. Young Thug)","Camila Cabello",87892,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
28,Leggenda,"Sfera Ebbasta",85110,https://open.spotify.com/track/17bXwlGLFeAGCaIMBwjq5k
29,Habibi,Ghali,83808,https://open.spotify.com/track/1lwpe8mLgHhytakM7m6R3W
30,"All The Stars (with SZA)","Kendrick Lamar",82354,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
31,"Guarda come flexo",MamboLosco,81924,https://open.spotify.com/track/7pNSr2gQMVghpTcZvQUroa
32,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,80374,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
33,"Whatever It Takes","Imagine Dragons",79379,https://open.spotify.com/track/7F3uo3304R2CTvOseU3H7u
34,"Giovane Fuoriclasse","Capo Plaza",76397,https://open.spotify.com/track/7GFCOl2gVEv9d6gwdY5Fvb
35,rockstar,"Post Malone",75506,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
36,"River (feat. Ed Sheeran)",Eminem,75305,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
37,Dura,"Daddy Yankee",74951,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
38,PERDONAMI,Salmo,72311,https://open.spotify.com/track/7kK2m2KDEL0W8oFq6fuOcf
39,"Thoiry Remix (Samba Trap Vol. 3 - Mitraglia Rec) (feat. Gemitaiz, Quentin40 & Puritano)","Achille Lauro",70371,https://open.spotify.com/track/1YTw1eDNxBn0sO78sDPkvr
40,"Me Rehúso","Danny Ocean",70120,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
41,Perfect,"Ed Sheeran",67848,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
42,"Come neve",Giorgia,66613,https://open.spotify.com/track/4J2sEQXwxYI0csO3AYsnh5
43,"Hollywood (feat. Gemitaiz)",MadMan,64712,https://open.spotify.com/track/1R1j6Z3HfBvkLnw1uTJJp0
44,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,64456,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
45,Magicabula,"JUNIOR CALLY",61589,https://open.spotify.com/track/0wBlRxVSWAPgezz4ZYDrGT
46,"Diego Armando Maradona","Dark Polo Gang",61507,https://open.spotify.com/track/42budRHAm0QroIwreRwF1l
47,"Sconosciuti da una vita",J-AX,61236,https://open.spotify.com/track/2x82H3RSJRRQKZDMFlIpG3
48,"Le luci della città",Coez,61129,https://open.spotify.com/track/381VH1JFj9q08V1OMlPU5m
49,Poetica,"Cesare Cremonini",60177,https://open.spotify.com/track/6m7ia7vhUezCfa1xWusWSF
50,"New Rules","Dua Lipa",58633,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
51,Chosen,Måneskin,57209,https://open.spotify.com/track/2lDgdWIGLYuk74pDeRPgPF
52,"Let You Down",NF,57204,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
53,"Him & I (with Halsey)",G-Eazy,56525,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
54,"What Lovers Do (feat. SZA)","Maroon 5",55107,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
55,"La legge del più forte",Tedua,54745,https://open.spotify.com/track/31ZxBLg6StdqVkvNAZ1eRu
56,Burnout,Tedua,54384,https://open.spotify.com/track/6ZacixqGSH8N9x8sVu4IGB
57,"El Party","Jake La Furia",53357,https://open.spotify.com/track/5xyExId5XWZplBvjmbIuy6
58,"L'amore è","Enrico Nigiotti",51538,https://open.spotify.com/track/0iOHkI1AyDXfDeoXEFaP2e
59,Nevermind,"Dennis Lloyd",51201,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
60,Salsa,MadMan,51104,https://open.spotify.com/track/0Y1nFWH68Dexbdna7jg4Zy
61,Wolves,"Selena Gomez",50504,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
62,Pianeti,Ultimo,50017,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
63,"Sempre In Due","Carl Brave x Franco126",49974,https://open.spotify.com/track/6ElWuGFrYbsf2mdHWUoGCk
64,"I Miss You (feat. Julia Michaels)","Clean Bandit",48005,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
65,Mine,Bazzi,47929,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
66,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",47689,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
67,"Bum Bum Tam Tam","MC Fioti",46775,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
68,Criminal,"Natti Natasha",46205,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
69,"Shape of You","Ed Sheeran",45852,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
70,"Milano Bachata",Rkomi,45730,https://open.spotify.com/track/0obKdyLE89Hrry8slkX9Ey
71,"How Long","Charlie Puth",45577,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
72,Pesto,"Calcutta ",45545,https://open.spotify.com/track/6PQqchEoE1JR2QNPN7lXz0
73,"No Roots","Alice Merton",44997,https://open.spotify.com/track/5iwvoI2MM2tOrdUhNjcsqf
74,"Faccio un casino",Coez,44948,https://open.spotify.com/track/6qNXkVk19OYLu4CoqjDfZ0
75,FRIENDS,Marshmello,44567,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
76,Wannabe,Highsnob,44221,https://open.spotify.com/track/7lRVkZcxB8NUKeJkhswwn8
77,"Io non abito al mare","Francesca Michielin",43869,https://open.spotify.com/track/2awDnmL1D9cyIJFVruAQcF
78,"Pray For Me (with Kendrick Lamar)","The Weeknd",43786,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
79,"She's On My Mind","JP Cooper",42509,https://open.spotify.com/track/1t0UbGPCjGpLeH7KiLBuBv
80,"Sick Boy","The Chainsmokers",42371,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
81,Successo,MadMan,41377,https://open.spotify.com/track/3dm91sRpZEcS2TShlHEdsr
82,"Frida (mai, mai, mai)","The Kolors",41096,https://open.spotify.com/track/4fZ7nNMi4W7wRABFUebKuy
83,"Buona fortuna","Benji & Fede",41048,https://open.spotify.com/track/59sZRCJ3OgYRNvtJxF2srM
84,"Il mago",Mudimbi,40930,https://open.spotify.com/track/0YBbqRe8qsWleM9cmBo77z
85,"More Than You Know","Axwell /\ Ingrosso",40929,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
86,"Da sola / In the night (feat. Tommaso Paradiso e Elisa)","Takagi & Ketra",40720,https://open.spotify.com/track/0X6qDfo1vU22juUE08yCjf
87,Trapano,MadMan,39976,https://open.spotify.com/track/0obdHfuDIl3oG5cxZZqvrO
88,"Allenamento #2","Capo Plaza",38851,https://open.spotify.com/track/2z3sYBYhLhsGTOKZe5vkcM
89,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",38808,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
90,"Sangue misto",Tedua,38538,https://open.spotify.com/track/47quNj56sFEMCBXN1xm5RO
91,Lamborghini,Guè,38421,https://open.spotify.com/track/7G8g5Zrr5rj2OoKoXGnRb1
92,Orgasmo,"Calcutta ",38174,https://open.spotify.com/track/5G22c0zkJae5EzQRyx3blf
93,Corazón,Maluma,38019,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
94,Linda,"Emis Killa",36938,https://open.spotify.com/track/7hH6PsrlKQdNlvESUYKz79
95,"Sogni appesi",Ultimo,36823,https://open.spotify.com/track/2HgBmx6tfhRO417ahshpeQ
96,"Veleno 6",MadMan,36465,https://open.spotify.com/track/7GfXjqXD9aBvDoBdZ7EwPH
