,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Auto Blu",Shiva,564311,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
2,"Fiori di Chernobyl",Mr.Rain,244078,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
3,Bando,ANNA,217348,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
4,"Good Times",Ghali,210548,https://open.spotify.com/track/6GpvHaqp0Yybx9P6YnodRD
5,"Blinding Lights","The Weeknd",176615,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Per sentirmi vivo",Fasma,175160,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
7,"Roses - Imanbek Remix","SAINt JHN",174997,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,"Boogieman (feat. Salmo)",Ghali,172017,https://open.spotify.com/track/10Q5VqDAAbwExYkNha3VKH
9,"blun7 a swishland","tha Supreme",170193,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
10,Rapide,Mahmood,158972,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
11,"Snitch E Impicci (con FSK SATELLITE)",DrefGold,153652,https://open.spotify.com/track/6HDdOPc6FWpMfjC8ebzdRC
12,"SPORT + muscoli (RMX) (feat. Lazza, Paky, Luchè & Taxi B)",Marracash,150737,https://open.spotify.com/track/7srDOLMwjMC07Dzs7mqCnv
13,"Ringo Starr","Pinguini Tattici Nucleari",142863,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
14,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",125990,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
15,Tusa,"KAROL G",123678,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
16,"death bed (coffee for your head)",Powfu,122620,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,"ANSIA NO","FSK SATELLITE",120784,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
18,"Dance Monkey","Tones And I",119458,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
19,"Musica (E Il Resto Scompare)","Elettra Lamborghini",114439,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
20,"Fai rumore",Diodato,113016,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
21,"Don't Start Now","Dua Lipa",108292,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
22,"fuck 3x","tha Supreme",105174,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
23,Falling,"Trevor Daniel",104544,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
24,"Marymango (feat. tha Supreme)",Ghali,103626,https://open.spotify.com/track/7eHHKYb2cRRqqzl8bbiwA3
25,Viceversa,"Francesco Gabbani",103450,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
26,"BRAVI A CADERE - I polmoni",Marracash,100693,https://open.spotify.com/track/3me7fQdjgO8NHscb3xPaBa
27,Calmo,Shiva,92876,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
28,"Before You Go","Lewis Capaldi",92811,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
29,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,91386,https://open.spotify.com/track/5EpBEqf5bnKeJ3p4zA1Sod
30,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,90033,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
31,"The Box","Roddy Ricch",84820,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
32,Courmayeur,"DJ Matrix",84816,https://open.spotify.com/track/3ueGWDwh5tMsoKjxJnUFcB
33,"Soldi in Nero - feat. Sfera Ebbasta",Shiva,83196,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
34,"Me ne frego","Achille Lauro",82158,https://open.spotify.com/track/1MF3gav7PNaNkv7ohlBKBD
35,"CRUDELIA - I nervi",Marracash,81990,https://open.spotify.com/track/5dsz7MTrNdN9aMTrnp7sOG
36,Chiasso,Random,81665,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
37,"In peggio - prod. Strage","Dani Faiv",81537,https://open.spotify.com/track/1ebQQD5Ws1eog2GRD5Zkpg
38,"Allora ciao",Shade,81347,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
39,"Tutto questo sei tu",Ultimo,80940,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
40,"PAROLA - feat. Lazza, Emis Killa",Giaime,80739,https://open.spotify.com/track/2tQ7vPjN88wkQl5hSNSbVF
41,"Una volta ancora (feat. Ana Mena)","Fred De Palma",80203,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
42,Physical,"Dua Lipa",78153,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
43,"NEON - Le Ali (feat. Elisa)",Marracash,77513,https://open.spotify.com/track/76cEI7LczlKZ1yLAHIoPBJ
44,"Stu core t'apparten","Rocco Hunt",77457,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
45,ROXANNE,"Arizona Zervas",76803,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
46,"Boss Bitch","Doja Cat",75320,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
47,"RAP SHIT (feat. tha Supreme & Gemitaiz) - prod. STABBER",Nitro,73903,https://open.spotify.com/track/2Fbj0y0HEUKCZkUsI71PUx
48,Tikibombom,Levante,72329,https://open.spotify.com/track/4JNT4VElmvNmJaQUhwPzg9
49,Bossoli,Shiva,71418,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
50,"Ne Hai Fatti 100 (feat. Tedua)","Gianni Bismark",69897,https://open.spotify.com/track/3XUYROEa5ie5RAQN5tiYIs
51,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,69250,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
52,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)",Lazza,68643,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
53,"Cin Cin",Alfa,67922,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
54,Andromeda,Elodie,66124,https://open.spotify.com/track/4iceKk4reL0vg2yDwXxQNF
55,"Break My Heart","Dua Lipa",65935,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
56,"La Strada È Nostra (feat. Geolier)","Gianni Bismark",64625,https://open.spotify.com/track/26Euhe1rtXA3UmRR75mcBw
57,"Polo nord - C+N Progressive Mix","Massimo Pericolo",62464,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
58,"Il tuo profumo","Fred De Palma",62358,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
59,"Chance (feat. Capo Plaza)",Shiva,62267,https://open.spotify.com/track/7CQwJNaHvxUPye0X7bTh7g
60,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",62159,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
61,"Che Poi","Carl Brave",61620,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
62,"Someone You Loved","Lewis Capaldi",61397,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
63,"Mon Fre - feat. Emis Killa",Shiva,59802,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
64,"RITMO (Bad Boys For Life)","Black Eyed Peas",59559,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
65,Lento,"Boro Boro",59322,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
66,SCACCIACANI,Ketama126,59070,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
67,"Mi Sento Vivo (feat. Franco126)","Gianni Bismark",58719,https://open.spotify.com/track/1c1OvbTdYjo1MJ3DhYn8P5
68,"GANG (feat. Geolier)","Samurai Jay",58428,https://open.spotify.com/track/2Yd6hF9rBSibtF4hlcnBEw
69,"Piccola Stella",Ultimo,58410,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
70,"Magnifico difetto","Benji & Fede",57833,https://open.spotify.com/track/0IKfkRzt3d1FoNla2dKi1J
71,Barrio,Mahmood,57719,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
72,Gaia,"Leon Faun",57246,https://open.spotify.com/track/5QBahtZ2TuUlFuppxJmcVO
73,"Dove e quando","Benji & Fede",56967,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
74,"Non Avere Paura","Tommaso Paradiso",56930,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
75,"La Mia Hit (feat. Max Pezzali)",J-AX,56466,https://open.spotify.com/track/4bMfWDvKPCFQ2df7Qf2UTs
76,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,56028,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
77,"Lose Control",MEDUZA,54720,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
78,"Godzilla (feat. Juice WRLD)",Eminem,54708,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
79,"Sei bella come Roma","DANDY TURNER",53917,https://open.spotify.com/track/51MYYyG3fjM3rttqRByqTl
80,Candy,VillaBanks,53178,https://open.spotify.com/track/3a3EzSxWvDno8RpTMv7Xch
81,"Dilemme (with tha Supreme & Mara Sattei)","Lous and The Yakuza",51822,https://open.spotify.com/track/1Whf2ZaesM1gXlU0z3Fslt
82,"Holly & Benji (feat. Capo Plaza & Shiva)",AVA,51702,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
83,"m12ano - feat. Mara Sattei","tha Supreme",51223,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
84,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,51097,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
85,"LOVE BANDANA",Ketama126,50621,https://open.spotify.com/track/15hXSWGLcvtUZLtzCY7E0Q
86,Chega,Gaia,50547,https://open.spotify.com/track/0XdjGLxXQhiPkOqXtAyEZ9
87,Rossetto,Random,50462,https://open.spotify.com/track/4nWtDExgGzlOQwxmp5JjUT
88,Rozzi,Paky,50343,https://open.spotify.com/track/3Y00k9cPoW8BnJesUEFoWn
89,ENFASI,Sierra,48387,https://open.spotify.com/track/77VwA6u9JEb4WG5lWSkvU6
90,"Carillon (with Achille Lauro)",Nahaze,47942,https://open.spotify.com/track/4uRx3SdWG2cNVfRNVPwHDS
91,"MADAME - L'anima (feat. Madame)",Marracash,47659,https://open.spotify.com/track/3go5ZuMoFTKl5ugai8nAKi
92,"MALA SANTA","Becky G",47086,https://open.spotify.com/track/5e50NiIlOc2YJIftHzoehd
93,"Say So","Doja Cat",46995,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
94,"Domani ci passa",Ludwig,46957,https://open.spotify.com/track/3elLXGwE5zaREuOzWdlRJ2
95,"Intentions (feat. Quavo)","Justin Bieber",46774,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
96,"Me Gusta",Shakira,46622,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
97,"Regina Coeli","Carl Brave",46548,https://open.spotify.com/track/5Ajd1Pr5GkoBbdC1D43ysH
98,"Milano Ovest - feat. Marracash",Shiva,46505,https://open.spotify.com/track/3cE4UNH9qcytquPyAhsm77
99,Muévelo,"Nicky Jam",46499,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
100,"Sunday Best",Surfaces,46296,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
101,Cenere,Nashley,46098,https://open.spotify.com/track/45xyKCey4BM3fMeFEsF1Hp
102,"On Gang","Thelonious B.",45950,https://open.spotify.com/track/4NR1cjgeRzp0KSTwqiJfWj
103,Savage,"Megan Thee Stallion",45622,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
104,90MIN,Salmo,45551,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
105,"Que Calor (with J Balvin & El Alfa)","Major Lazer",45511,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
106,"everything i wanted","Billie Eilish",45434,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
107,"È sempre bello",Coez,45307,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
108,"Twerk (con Boro Boro)",MamboLosco,45111,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
109,14,Jayred,44349,https://open.spotify.com/track/1veUzOYyrblgIzylvPzkAZ
110,"Blueberry Faygo","Lil Mosey",44332,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
111,Memories,"Maroon 5",44250,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
112,"Per Un Milione",Boomdabash,43821,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
113,m8nstar,"tha Supreme",43751,https://open.spotify.com/track/3vPXCd0uNm66sbDEDG5Vwd
114,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",43574,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
115,"Fuori E Dentro (feat. tha Supreme)",Gemitaiz,42845,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm
116,"bad guy","Billie Eilish",42798,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
117,"I Tuoi Particolari",Ultimo,42286,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
118,22:22,Ghali,42216,https://open.spotify.com/track/73hTfGHBSYC8iI6He1optV
119,"Nse Vedemo Mai","Gianni Bismark",42043,https://open.spotify.com/track/3Az742h1PAJTxfFydIHj96
120,POLKA,"Rosa Chemical",41873,https://open.spotify.com/track/20jG7WodtS52iOnWyGE1l4
121,Circles,"Post Malone",41756,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
122,"sw1n6o - feat. Salmo","tha Supreme",41712,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
123,"occh1 purpl3 - feat. Marracash","tha Supreme",41453,https://open.spotify.com/track/7gRPkCEa3YMaxET5ZYT7Ni
124,"Veleno 7",Gemitaiz,41425,https://open.spotify.com/track/2jkIbZ43eH3rM1yro2Ojzh
125,Boss,Paky,41266,https://open.spotify.com/track/4ijux7JMNY2IpBtTsuYrK4
126,"Margarita (con Marracash)",Elodie,41191,https://open.spotify.com/track/0nuoIoKRckjudWUPWezzz6
127,baby,Madame,41182,https://open.spotify.com/track/4EMLX3YmqnVNgajJ99I3gX
128,Pianeti,Ultimo,41077,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
129,"Nati Diversi","Gianni Bismark",41063,https://open.spotify.com/track/1gqh7Hg4NT86Ux99od87X4
130,"Na Na Na",Holden,40942,https://open.spotify.com/track/3arKLum0IMREFOSq3OkpaF
131,"Cracovia, Pt. 3","Il Tre",40884,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
132,"La hit dell'estate",Shade,40850,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
133,"Sole a mezzanotte","Gio Montana",40669,https://open.spotify.com/track/41wB7yyQG8YR284muocSv0
134,Arrogante,Irama,40625,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
135,"Uno squillo","Capo Plaza",40597,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
136,Autostima,PSICOLOGI,40474,https://open.spotify.com/track/5qf1k7zubHxjR3uinHmIKg
137,"Negativi (feat. Quentin40)","Gianni Bismark",40173,https://open.spotify.com/track/2jHNvNQt3cb4gyMEdKt7Jt
138,"Trip - feat. Nayt","Nicola Siciliano",40131,https://open.spotify.com/track/7cPnWOWOAe5yAvIPQCz8Lw
139,"LA PROVA DEL CUOCO","FSK SATELLITE",40127,https://open.spotify.com/track/6VPcfYrO6oSYbEg6HTncDo
140,"Senza Di Me (feat. Venerus & Franco126)",Gemitaiz,39944,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
141,"Vamos Pa La Banca (feat. Geolier, Samurai Jay & Lele Blade)","Dat Boi Dee",39880,https://open.spotify.com/track/4BWhorzhcnimKOoXxYnhz4
142,Marionette,Random,39844,https://open.spotify.com/track/4wkec1gwQgbPA1Pm1jQGAq
143,"Rondini Al Guinzaglio",Ultimo,39721,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
144,"In Your Eyes","The Weeknd",39680,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
145,"C'EST LA VIE",TY1,39429,https://open.spotify.com/track/5l93giGtSBNAJUVj8hPygt
146,Amici,"Massimo Pericolo",39215,https://open.spotify.com/track/7aVX95NjONZszSeb8vJZF3
147,JAMBO,"Takagi & Ketra",39172,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
148,"Va tutto bene","Giulia Molino",39132,https://open.spotify.com/track/0CJlRpkPomUEzt3jM9jCDM
149,"oh 9od - feat. Nayt","tha Supreme",39009,https://open.spotify.com/track/5Qy9jtZdxUnFXmgPp3u5VZ
150,"NO SPIE","FSK SATELLITE",39001,https://open.spotify.com/track/2TxDcppMX95JQv9WB5rtuB
151,"HO PAURA DI USCIRE 2 - prod. Mace",MACHETE,39001,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM
