,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,523603,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
2,"Una volta ancora (feat. Ana Mena)","Fred De Palma",453244,https://open.spotify.com/track/6gaeewGjNiQhWOUkWRSLTa
3,"Dove e quando","Benji & Fede",394499,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
4,Lento,"Boro Boro",366536,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
5,Señorita,"Shawn Mendes",358393,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
6,JAMBO,"Takagi & Ketra",343636,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
7,"Mambo Salentino",Boomdabash,343102,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
8,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",331374,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
9,"MARYLEAN (feat. Marracash) - prod. Low Kidd",MACHETE,322753,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ
10,"Ostia Lido",J-AX,315506,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5
11,"HO PAURA DI USCIRE 2 - prod. Mace",MACHETE,304080,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM
12,Chiasso,Random,286143,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
13,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",281422,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
14,"Look Back at It (feat. CAPO PLAZA)","A Boogie Wit da Hoodie",277090,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G
15,Playa,"Baby K",273719,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq
16,"Piece Of Your Heart",MEDUZA,254524,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
17,China,"Anuel AA",245020,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
18,"Cin Cin",Alfa,239115,https://open.spotify.com/track/0EThQdS5hqhByp2CLttKin
19,"La hit dell'estate",Shade,236744,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
20,Arrogante,Irama,235332,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
21,"Margarita (con Marracash)",Elodie,226603,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
22,"Mon Fre - feat. Emis Killa",Shiva,194516,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
23,"I Don't Care (with Justin Bieber)","Ed Sheeran",186158,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
24,"Maradona y Pelé",Thegiornalisti,181787,https://open.spotify.com/track/3xALgUxUFNYIrbMew1sbnC
25,"bad guy","Billie Eilish",178843,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
26,"STAR WARS - prod. Young Miles - Crookers x Nic Sarno",MACHETE,172553,https://open.spotify.com/track/2umL0eO9N7iNxDay6i2rVi
27,"NO WAY (feat. Nitro) - prod. Low Kidd",MACHETE,169798,https://open.spotify.com/track/2gUn6S1SuuXK0BvypPKnir
28,"MAMMASTOMALE (feat. Salmo) - prod. Dade",MACHETE,167589,https://open.spotify.com/track/5nFX29WZIulql4m4ic0KRw
29,"Someone You Loved","Lewis Capaldi",161767,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
30,"Con Calma","Daddy Yankee",157340,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
31,"Corazón Morado (feat. Sfera Ebbasta)","Elettra Lamborghini",155491,https://open.spotify.com/track/6stctriNY7UC7KyHcG7ZBH
32,"Te Robaré","Nicky Jam",153068,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
33,Domenica,Coez,150623,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL
34,"Veleno 7",Gemitaiz,149967,https://open.spotify.com/track/3fV9z98dnQLSIPIMMJXCm7
35,"DOPPIOGANG - prod. tha Supreme",MACHETE,148158,https://open.spotify.com/track/2nKUtJ6G05qVViRaXkXWQZ
36,"Vivere Tutte Le Vite - con Carl Brave",Elisa,139219,https://open.spotify.com/track/7l56nY7NMP1QDdWvRdJmmg
37,"È sempre bello",Coez,134392,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
38,"IO PUO' (feat. Salmo) - prod. Low Kidd",MACHETE,125223,https://open.spotify.com/track/2zVawCwOXmkr5pFw5O6MoB
39,"So cosa fare","Capo Plaza",124922,https://open.spotify.com/track/2bN0p91LZmBKmgmpIGu5RI
40,"Per Un Milione",Boomdabash,122050,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
41,Loco,"Lele Blade",121811,https://open.spotify.com/track/7hgyYHFOV2qrSub0hoezte
42,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,119288,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
43,"Rescue Me",OneRepublic,119152,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
44,m8nstar,"tha Supreme",118624,https://open.spotify.com/track/5Aw0QmDZJZID69ZcTvEzXI
45,"GANG! - prod. Strage",MACHETE,116754,https://open.spotify.com/track/1ZCzbEj3F8SqqtKSupWaBo
46,"48H (feat. Sfera Ebbasta)",Izi,115404,https://open.spotify.com/track/05mrU7mN3c1822bpY58UBC
47,"Rondini Al Guinzaglio",Ultimo,114346,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
48,"Senza Pensieri (feat. Loredana Bertè & J-AX)","Fabio Rovazzi",112877,https://open.spotify.com/track/1p9E8WC4aTSzArtqdQI1F5
49,"BUD SPENCER - prod. Dade - Low Kidd - Salmo",MACHETE,108757,https://open.spotify.com/track/46HYFOcfvg2W8a8FccaRvO
50,Mademoiselle,"Sfera Ebbasta",108738,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c
51,"WALTER WALZER - prod. Salmo",MACHETE,106937,https://open.spotify.com/track/76OIEsiXVKhoaVLQZifKjF
52,Lalala,Y2K,105704,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
53,"SCACCIACANI - feat. Massimo Pericolo - prod. Crookers & Nic Sarno",Ketama126,104216,https://open.spotify.com/track/2665YLaM0dLaIhkjpUHT7k
54,"Beautiful People (feat. Khalid)","Ed Sheeran",104075,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
55,"Calma - Remix","Pedro Capó",102157,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
