,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Torna a casa",Måneskin,419247,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",290259,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
3,"Cambiare Adesso","Dark Polo Gang",218219,https://open.spotify.com/track/01MJgnPL3AuwmYQ4EbHzD7
4,"Fuoco e benzina","Emis Killa",183618,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc
5,"Cascare nei tuoi occhi",Ultimo,162547,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
6,90MIN,Salmo,158043,https://open.spotify.com/track/1YzlPeHWPU0JeM0u4ya5zj
7,"Fumo Da Solo",Izi,144947,https://open.spotify.com/track/4sYbBt781iAS2S76IeMwIG
8,"In My Mind",Dynoro,141420,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
9,"Morirò da Re",Måneskin,132059,https://open.spotify.com/track/1aX0Ki80LFzzhqxqRlqbAV
10,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",131474,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
11,"D'estate non vale (feat. Ana Mena)","Fred De Palma",129831,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
12,Rollercoaster,"Emis Killa",124540,https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf
13,"Prima di ogni cosa",Fedez,121618,https://open.spotify.com/track/0juSegsrO7siAAjlNATKV2
14,"MIA (feat. Drake)","Bad Bunny",116302,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
15,Shallow,"Lady Gaga",113546,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
16,"Trap Phone (feat. Capo Plaza)",Guè,113290,https://open.spotify.com/track/50Vy6DvEWNLDaQV5j9TdDS
17,"Vaina Loca",Ozuna,112617,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
18,Pablo,Rvssian,110860,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d
19,"Davide (feat. Coez)",Gemitaiz,108894,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
20,"Poesia senza veli",Ultimo,108131,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W
21,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,106182,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
22,"L'altra dimensione",Måneskin,104982,https://open.spotify.com/track/36ONZ2CvV8KsLPapNPGTqa
23,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",101115,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
24,Nera,Irama,98628,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
25,"New York",Thegiornalisti,98324,https://open.spotify.com/track/1nhEQjgj0NrtAoDuFEhMEL
