,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,JAMBO,"Takagi & Ketra",435820,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
2,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",431580,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
3,"Ostia Lido",J-AX,407512,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5
4,"Dove e quando","Benji & Fede",402806,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
5,"Una volta ancora (feat. Ana Mena)","Fred De Palma",392717,https://open.spotify.com/track/6gaeewGjNiQhWOUkWRSLTa
6,"Mambo Salentino",Boomdabash,382010,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
7,Lento,"Boro Boro",333000,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
8,Señorita,"Shawn Mendes",278375,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
9,"I Don't Care (with Justin Bieber)","Ed Sheeran",256629,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
10,Playa,"Baby K",248585,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq
11,"Veleno 7",Gemitaiz,245269,https://open.spotify.com/track/3fV9z98dnQLSIPIMMJXCm7
12,"Look Back at It (feat. CAPO PLAZA)","A Boogie Wit da Hoodie",242526,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G
13,"Piece Of Your Heart",MEDUZA,242272,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
14,"bad guy","Billie Eilish",224817,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,Arrogante,Irama,222205,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
16,"Corazón Morado (feat. Sfera Ebbasta)","Elettra Lamborghini",218912,https://open.spotify.com/track/6stctriNY7UC7KyHcG7ZBH
17,"Maradona y Pelé",Thegiornalisti,201908,https://open.spotify.com/track/3xALgUxUFNYIrbMew1sbnC
18,"Con Calma","Daddy Yankee",200387,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
19,"So cosa fare","Capo Plaza",200027,https://open.spotify.com/track/2bN0p91LZmBKmgmpIGu5RI
20,"La hit dell'estate",Shade,188970,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
21,"Cin Cin",Alfa,186950,https://open.spotify.com/track/4GoLVIAplQyplhitHFabfy
22,"Someone You Loved","Lewis Capaldi",184695,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"Loco Contigo (with J. Balvin & Tyga)","DJ Snake",176096,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo
24,"Te Robaré","Nicky Jam",166364,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
25,Domenica,Coez,153656,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL
26,"Old Town Road","Lil Nas X",147482,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
27,"Don't Call Me Up",Mabel,146478,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
28,"Calma - Remix","Pedro Capó",138022,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
29,"È sempre bello",Coez,137926,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
30,"Per Un Milione",Boomdabash,137065,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
31,"Vivere Tutte Le Vite - con Carl Brave",Elisa,136322,https://open.spotify.com/track/7l56nY7NMP1QDdWvRdJmmg
32,m8nstar,"tha Supreme",132080,https://open.spotify.com/track/5Aw0QmDZJZID69ZcTvEzXI
33,"48H (feat. Sfera Ebbasta)",Izi,130974,https://open.spotify.com/track/05mrU7mN3c1822bpY58UBC
34,Mademoiselle,"Sfera Ebbasta",130780,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c
35,Elisir,Tedua,126670,https://open.spotify.com/track/7sbVjYS23l02aoYoUsKSbQ
36,"Margarita (con Marracash)",Elodie,123938,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
37,"I Love You",Ghali,121121,https://open.spotify.com/track/7GOFNyZcCTwm1SsC5jOFpA
38,"Pensare Male (con Elodie)","The Kolors",120978,https://open.spotify.com/track/0vUhEAJIaTGqBJfDsOZoNt
39,"Taki Taki","Dark Polo Gang",120577,https://open.spotify.com/track/5NF5Y4xv0tnTJFJgrqbA5o
40,Parliamo,Luchè,119885,https://open.spotify.com/track/2O2wjjBU0BB0OOA3dCOOfr
