,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,KUMITE,Salmo,277641,https://open.spotify.com/track/6yaNNYWPjkWHbh1jADEyJO
2,"MI FAI IMPAZZIRE",BLANCO,257468,https://open.spotify.com/track/1x3Qb8np6S1UvpSLthwEJN
3,"TU MI HAI CAPITO (feat. Sfera Ebbasta)",Madame,240608,https://open.spotify.com/track/2tIyoiGw4F82z2C8zb7eZB
4,m%n,"tha Supreme",225326,https://open.spotify.com/track/5VSmYYZYuSCSlOweGMpM1A
5,"Blu Celeste",BLANCO,221534,https://open.spotify.com/track/0BeXxjO6mgLDzg4xA6UheO
6,"Notti In Bianco",BLANCO,212308,https://open.spotify.com/track/1PWOkqMORYdGa0OEh2GaXM
7,Paraocchi,BLANCO,194059,https://open.spotify.com/track/40zkeKA3HRN8Nzo6kbNOCp
8,Pepas,Farruko,192916,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
9,"Pastello Bianco","Pinguini Tattici Nucleari",185247,https://open.spotify.com/track/0bKDQionn4VKcgNKbs4SWX
10,"uNa DiReZioNe giUsTa","yungest Moonstar",164925,https://open.spotify.com/track/1ktyKCzfI8hooCJP3X2yP5
11,"NUOVO RANGE (con SFERA EBBASTA)",Rkomi,164230,https://open.spotify.com/track/3fxSSvnUS7ALxmhOckb7t6
12,"STAY (with Justin Bieber)","The Kid LAROI",162425,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
13,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",153908,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
14,"Easy On Me",Adele,147733,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
15,"PARTIRE DA TE",Rkomi,140854,https://open.spotify.com/track/43mGIsFZwISk1WWTcAK728
16,"Finché Non Mi Seppelliscono",BLANCO,138672,https://open.spotify.com/track/16EJNayKtC09M0Fi7Py47s
17,"Quanto ti vorrei",chiello,136786,https://open.spotify.com/track/2KdcUxAJWAARnGTWmSWxwu
18,"Bad Habits","Ed Sheeran",136107,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
19,"Quello che fa male",LDA,134591,https://open.spotify.com/track/1LNWoDTDsfIt9I4WM68xEa
20,Shivers,"Ed Sheeran",133631,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
21,"Cold Heart - PNAU Remix","Elton John",133325,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
22,UHLALA,"Sfera Ebbasta",132978,https://open.spotify.com/track/1D7sdScaOxtmb0lInM90SN
23,Lucciole,BLANCO,132866,https://open.spotify.com/track/7HmgMA9PqikUtSG4eusHy2
24,Niente,Ultimo,129512,https://open.spotify.com/track/7l87A53SidoE3XQ1aaG7Qt
25,"Angelina Jolie",Bresh,127092,https://open.spotify.com/track/0tD4EXZRm1JGDYWtKYFLWK
26,"La più bella",Mecna,126600,https://open.spotify.com/track/0sAroRXvF6YQqMdonRDE9e
27,"Heat Waves","Glass Animals",125455,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,"MEGLIO DEL CINEMA",Fedez,124667,https://open.spotify.com/track/6byHOsfSzBH0R5WQ6QRv54
29,"LUNA PIENA (con IRAMA)",Rkomi,124578,https://open.spotify.com/track/7xtDBQTR47nZwpBRu6pOdO
30,"Scrivile Scemo","Pinguini Tattici Nucleari",116498,https://open.spotify.com/track/71r3UlkV7sWvUYjas5paqi
31,"Blueface (feat. Izi, Tedua)",Disme,116367,https://open.spotify.com/track/2Ctj9DfXfh9kW3erTp907i
32,"L'ultima notte",ARIETE,115871,https://open.spotify.com/track/63mdY4U0KvnbMkUEc7FHN8
33,OPINEL,"Simba La Rue",115123,https://open.spotify.com/track/05HGu6fi32RmJRO5PBJ4Va
34,"Triste (with Feid)","Sfera Ebbasta",113389,https://open.spotify.com/track/1IovaNgcqPCJpJGd0V2eXl
35,malibu,sangiovanni,113050,https://open.spotify.com/track/4p0o4pBoJPxYMXKhYbRzzw
36,WALLAH,Ghali,111408,https://open.spotify.com/track/39CXkMn8AAFu3qwnZHJCNo
37,"Rompo (feat. Boro Boro)",VillaBanks,101137,https://open.spotify.com/track/4oPh7HAoMR1bLBbxwqKmgn
38,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,100968,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
39,MAMMAMIA,Måneskin,98983,https://open.spotify.com/track/78SCmQ8A7KQSMdkem2SwBP
40,"Extendo (feat. Paky)","Lele Blade",98085,https://open.spotify.com/track/2MF9dzFQxu3YTywQ72Bhax
41,MAREA,Madame,97844,https://open.spotify.com/track/7BKGYx89QYgfdnpVo3zapq
42,Millevoci,Albe,97481,https://open.spotify.com/track/2Jn6Aiv9uOkNcPa1kHNCpc
43,"Giovane e triste",Nashley,95715,https://open.spotify.com/track/56WecW5HnWstqg0GvhseEP
44,"My Universe",Coldplay,95234,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
45,"Colpevole RMX (feat. Geolier)","Tony Effe",94499,https://open.spotify.com/track/5j0YJ7MrqKqtVyoOT1ruUF
46,"MILLE – feat. Orietta Berti",Fedez,91584,https://open.spotify.com/track/6qdMhG7pRFi0csRlFGvLE4
47,"Sai Cosa C’è",BLANCO,91376,https://open.spotify.com/track/3NI4VgVswVf503sOiZvv4m
48,Beggin',Måneskin,88682,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
49,"Rubini (feat. Elisa)",Mahmood,88671,https://open.spotify.com/track/0LgTs0nP7zgSaCMQHGsnEh
50,STUPIDO,"Massimo Pericolo",83304,https://open.spotify.com/track/6HVRRlc2sBlkcKEkhlsp86
51,"I WANNA BE YOUR SLAVE",Måneskin,82886,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
52,"LA CHIAVE - feat. Marracash",Salmo,82578,https://open.spotify.com/track/20Op27p3aV0WiaP7qOTlWP
53,L,ARIETE,79891,https://open.spotify.com/track/1zDFKQ2JfsRQpQSivgFFkR
54,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",79461,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
55,MONEY,LISA,77455,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
56,"Sul finale",Ultimo,75661,https://open.spotify.com/track/3yup5llqOkS6nYSqAggq1S
57,"Drippin' in Milano",ANNA,74695,https://open.spotify.com/track/1TrjxEcRPHvaLF3saKCSs4
58,"love nwantiti (ah ah ah)",CKay,74497,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
59,"Ferma A Guardare (feat. Pinguini Tattici Nucleari)",Ernia,72898,https://open.spotify.com/track/1eDC4NiUYgQSKpKDIvXxi4
60,"Ladro Di Fiori",BLANCO,72315,https://open.spotify.com/track/18E4wq8is4m6wL8HxrEaQ9
61,Woman,"Doja Cat",72148,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
62,"Sogni al cielo","Alex W",72035,https://open.spotify.com/track/6Mp7YpHLtFGmmPxygBN9VG
63,"ONLYFANS (feat. MamboLosco)",Slings,71497,https://open.spotify.com/track/1FAhWNoesPUUfBSl8fSe4L
64,Loco,"Justin Quiles",70860,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
65,"SHAWTY (feat. Sacky)",Rondodasosa,70792,https://open.spotify.com/track/6yX3lSkO4F3FKx5wDJi4J0
66,MAKUMBA,Noemi,68230,https://open.spotify.com/track/2opRyiaqpnQCH0jfCY9Wjd
