,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"blun7 a swishland","tha Supreme",558327,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
2,"Soldi in Nero - feat. Sfera Ebbasta",Shiva,430282,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
3,"fuck 3x","tha Supreme",356704,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
4,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,311721,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
5,"Dance Monkey","Tones And I",303751,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"CRUDELIA - I nervi",Marracash,265752,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
7,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",246427,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
8,"RITMO (Bad Boys For Life)","Black Eyed Peas",221593,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
9,"sw1n6o - feat. Salmo","tha Supreme",216961,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
10,"m12ano - feat. Mara Sattei","tha Supreme",213631,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
11,"occh1 purpl3 - feat. Marracash","tha Supreme",195551,https://open.spotify.com/track/7gRPkCEa3YMaxET5ZYT7Ni
12,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",195424,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
13,Chiasso,Random,171136,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
14,Bossoli,Shiva,167700,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
15,"ch1 5ei te","tha Supreme",163896,https://open.spotify.com/track/0tRj4m46GRFrBS7IsbS0Gk
16,"Non Avere Paura","Tommaso Paradiso",162731,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
17,Barrio,Mahmood,159645,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
18,"no14 - feat. Dani Faiv","tha Supreme",159205,https://open.spotify.com/track/7KksdXBhdufqWDxGxyt4I7
19,"BRAVI A CADERE - I polmoni",Marracash,157107,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
20,m8nstar,"tha Supreme",151328,https://open.spotify.com/track/3vPXCd0uNm66sbDEDG5Vwd
21,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)",Lazza,150239,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
22,"Ho Fatto Strada","Capo Plaza",144348,https://open.spotify.com/track/28ZiptPMVab1reyfj4hNwt
23,"MADAME - L'anima (feat. Madame)",Marracash,144091,https://open.spotify.com/track/2wL96n9ToLGhekNTFrPhxj
24,"come fa1","tha Supreme",144030,https://open.spotify.com/track/5tlRHNdTy4la5CuTkbYeQE
25,scuol4,"tha Supreme",143272,https://open.spotify.com/track/1V7hvLe3fpZTMoqKLkBDgW
26,"GANG (feat. Geolier)","Samurai Jay",140777,https://open.spotify.com/track/2Yd6hF9rBSibtF4hlcnBEw
27,Memories,"Maroon 5",138872,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,2ollipop,"tha Supreme",135532,https://open.spotify.com/track/5nL0vuUo0oBm26obUe5Ogu
29,"Cin Cin",Alfa,135404,https://open.spotify.com/track/0EThQdS5hqhByp2CLttKin
30,"Una volta ancora (feat. Ana Mena)","Fred De Palma",132810,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
31,"oh 9od - feat. Nayt","tha Supreme",129939,https://open.spotify.com/track/5Qy9jtZdxUnFXmgPp3u5VZ
32,"Twerk (con Boro Boro)",MamboLosco,129586,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
33,"Piccola Stella",Ultimo,127113,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
34,"pers0na2 - feat. Gemitaiz, Madman","tha Supreme",121441,https://open.spotify.com/track/75UNZ7tjYzsoTMgmpWdzw6
35,Rossetto,Random,116921,https://open.spotify.com/track/4nWtDExgGzlOQwxmp5JjUT
36,"6itch remix - feat. Nitro","tha Supreme",116375,https://open.spotify.com/track/5zYSf28jARgmMwk8FIaHnI
37,"Il tuo profumo","Fred De Palma",114812,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
38,"gua10 - feat. Lazza","tha Supreme",109745,https://open.spotify.com/track/5Bjp0v6Pi3AS8PzZQG2nrg
39,Lento,"Boro Boro",108640,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
40,"Fuori E Dentro (feat. tha Supreme)",Gemitaiz,108196,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm
41,"La tua canzone",Coez,108042,https://open.spotify.com/track/4Z43nMEiOiNeDrqu2BN0JD
42,ENFASI,Sierra,107968,https://open.spotify.com/track/77VwA6u9JEb4WG5lWSkvU6
43,"Mon Fre - feat. Emis Killa",Shiva,105548,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
44,"All I Want for Christmas Is You","Mariah Carey",103180,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
45,"APPARTENGO - Il sangue (feat. Massimo Pericolo)",Marracash,101964,https://open.spotify.com/track/2tpfOljBdskx8G331TjRps
46,"Ayy Macarena",Tyga,98347,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
47,"bubb1e 9um","tha Supreme",97177,https://open.spotify.com/track/06SzxHiKstZ859RmekMlJx
48,"QUELLI CHE NON PENSANO - Il cervello (feat. Coez)",Marracash,95569,https://open.spotify.com/track/6l1Jnqfu7GAOV4MDgA2bNP
49,"C'EST LA VIE",TY1,93941,https://open.spotify.com/track/5l93giGtSBNAJUVj8hPygt
50,"QUALCOSA IN CUI CREDERE - Lo scheletro (feat. Guè Pequeno)",Marracash,92581,https://open.spotify.com/track/39hRcGieqFaKfZ7LN91Vy5
51,"Glock (feat. DrefGold & Giaime)","Dark Polo Gang",92084,https://open.spotify.com/track/66lsHFgvKb6H28JRQ9vTPK
52,"Tuta Black",Paky,91179,https://open.spotify.com/track/7yYegdhi4lwCPPmyROOr4O
53,"Don't Start Now","Dua Lipa",91158,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
54,5olo,"tha Supreme",90951,https://open.spotify.com/track/1IenHo9pFzeysdcfbpAXUO
55,"parano1a k1d - feat. Fabri Fibra","tha Supreme",90711,https://open.spotify.com/track/2lcX7to2eZFOkVCJjSwdAz
56,ROXANNE,"Arizona Zervas",90356,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
57,"Na Na Na",Holden,89342,https://open.spotify.com/track/3arKLum0IMREFOSq3OkpaF
58,SCACCIACANI,Ketama126,88606,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
59,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,87488,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
60,"8rosk1 - feat. Mahmood","tha Supreme",86014,https://open.spotify.com/track/65OaFb3aPqlknH4WQXzHtF
61,"Non sto più in zona",Shiva,85650,https://open.spotify.com/track/2PQuj6TMxl5hcgMG30e2Ij
62,"Duemila volte","Marco Mengoni",84636,https://open.spotify.com/track/6IYrpbDnFljm6QSj1KGuZD
63,"MI AMI O NO (feat. Capo Plaza)",Giaime,84297,https://open.spotify.com/track/2UsAeEA2JH7kKSOflP23zY
64,Circles,"Post Malone",83564,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
65,"Dove e quando","Benji & Fede",83289,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
66,"LOVE BANDANA",Ketama126,78783,https://open.spotify.com/track/15hXSWGLcvtUZLtzCY7E0Q
67,"Que Calor (with J Balvin & El Alfa)","Major Lazer",77948,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
68,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,77307,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
69,"everything i wanted","Billie Eilish",76819,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
70,Falling,"Trevor Daniel",74822,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
71,"G.O.A.T. - Il cuore",Marracash,74646,https://open.spotify.com/track/50c3vq2uUkSV8QrcbcPWW3
72,FIORI,Giaime,73933,https://open.spotify.com/track/500c6DLy4ag8gFAnkuzTxP
73,"Accetto Miracoli","Tiziano Ferro",73839,https://open.spotify.com/track/2dSimaa1gqyr0U0il3gMmd
74,"Last Christmas",Wham!,73106,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
75,"SPORT - I muscoli (feat. Luchè)",Marracash,72166,https://open.spotify.com/track/3HVm4g9bZHo0aMsjzGS7Ro
76,"Someone You Loved","Lewis Capaldi",71730,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
77,"È sempre bello",Coez,70029,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
78,"NON SONO MARRA - La pelle (feat. Mahmood)",Marracash,69732,https://open.spotify.com/track/0pl6P6vTEB9pNABaD53SgS
79,"7rapper ma1","tha Supreme",69249,https://open.spotify.com/track/4B8LIsJKpPyBbuSEQE6i41
80,"Polo nord - C+N Progressive Mix","Massimo Pericolo",69143,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
81,Cenere,Nashley,68442,https://open.spotify.com/track/45xyKCey4BM3fMeFEsF1Hp
82,"Rondini Al Guinzaglio",Ultimo,68120,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
83,Wanderlust!,Alfa,68050,https://open.spotify.com/track/5XGRcuFaRKIGd7ruTiJCUj
84,"Lose Control",MEDUZA,67650,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
85,Rozzi,Paky,66932,https://open.spotify.com/track/3Y00k9cPoW8BnJesUEFoWn
86,"BODY PARTS - I denti",Marracash,66876,https://open.spotify.com/track/4WOXQYfq3fYVRMcaXuHBAD
87,"Mambo (feat. Sick Luke)","Nicola Siciliano",66230,https://open.spotify.com/track/4ibUxNAjSdg19dYEMlisTy
88,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",65997,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
89,1990,"Achille Lauro",65973,https://open.spotify.com/track/40vSLe0L3uOrK3tRTw9KYJ
90,Girasoli,"Emanuele Aloia",63371,https://open.spotify.com/track/3lumKk7Mrt6KhFDZURTv0t
91,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",62292,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
92,"Il Giro Del Mondo",Alfa,62246,https://open.spotify.com/track/3a1ysVvXPrh0byxO6HHWBN
93,"Beautiful People (feat. Khalid)","Ed Sheeran",62207,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
94,Pianeti,Ultimo,62055,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
95,"Sale (feat. Shari)","Benji & Fede",61270,https://open.spotify.com/track/6lWKO0d9288UeeOfVBTCo7
96,"I Tuoi Particolari",Ultimo,60994,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
97,Arrogante,Irama,60753,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
98,90MIN,Salmo,60079,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
99,"Cracovia, Pt. 3","Il Tre",60055,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
100,"La hit dell'estate",Shade,59450,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
101,"Margarita (con Marracash)",Elodie,59292,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
102,Señorita,"Shawn Mendes",58657,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
103,"Mambo Salentino",Boomdabash,58291,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
104,"Nisciun' (feat. Geolier)","Rocco Hunt",57354,https://open.spotify.com/track/6nUJr7wd4hiPBLjC8Db2Cr
105,"MARYLEAN (feat. Marracash) - prod. Low Kidd",MACHETE,57138,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ
