,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Calmo,Shiva,383555,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
2,"blun7 a swishland","tha Supreme",362262,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
3,"Chance (feat. Capo Plaza)",Shiva,319876,https://open.spotify.com/track/7CQwJNaHvxUPye0X7bTh7g
4,"Milano Ovest - feat. Marracash",Shiva,285918,https://open.spotify.com/track/3cE4UNH9qcytquPyAhsm77
5,"ANSIA NO","FSK SATELLITE",279618,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
6,"Boogieman (feat. Salmo)",Ghali,263183,https://open.spotify.com/track/7awUp2mRP7xjX9wBKhuwRu
7,"Dance Monkey","Tones And I",253937,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"fuck 3x","tha Supreme",235499,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
9,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",233689,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
10,Domani,Shiva,227155,https://open.spotify.com/track/4Rl6JXohwpj0pqwl1TwTAk
11,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,195969,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
12,"BRAVI A CADERE - I polmoni",Marracash,195608,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
13,Scarabeo,Shiva,189680,https://open.spotify.com/track/5pGox0nPJNbhxAPCkduUS8
14,Rapide,Mahmood,189270,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
15,"Stu core t'apparten","Rocco Hunt",186022,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
16,"CRUDELIA - I nervi",Marracash,184541,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
17,Falling,"Trevor Daniel",182062,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
18,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",172911,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
19,"Tutto questo sei tu",Ultimo,168850,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
20,"RITMO (Bad Boys For Life)","Black Eyed Peas",167708,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
21,"Figlio della Calle",Shiva,162718,https://open.spotify.com/track/5GnA7KKO5JuCy9bZYz4S2K
22,"Diario di Noel",Shiva,160541,https://open.spotify.com/track/35hk0WaDrwIic6VNISSCOS
23,"Godzilla (feat. Juice WRLD)",Eminem,159499,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
24,"Blinding Lights","The Weeknd",158446,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
25,"Allora ciao",Shade,153948,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
