,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"River (feat. Ed Sheeran)",Eminem,48129,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
56,Pesto,"Calcutta ",46710,https://open.spotify.com/track/6PQqchEoE1JR2QNPN7lXz0
57,"The Middle",Zedd,46657,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
58,"Yankee Candle","Vegas Jones",46348,https://open.spotify.com/track/3js3i9hDnqzh2qPJxxQh0b
59,"Let You Down",NF,46217,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
60,"20 Collane","Sfera Ebbasta",45295,https://open.spotify.com/track/6cj01yz96YqEgsMX15H6FN
61,Bellaria,"Vegas Jones",43197,https://open.spotify.com/track/5EtBSQL12ekWn2DjzSXdXI
62,"Call Out My Name","The Weeknd",43182,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
63,Moonlight,XXXTENTACION,42982,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
64,"EL BAÑO (feat. Bad Bunny)","Enrique Iglesias",42497,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
65,"In My Blood","Shawn Mendes",41744,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
66,"Like I Do","David Guetta",40954,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
67,"3 Chances (Dilla tutta)",Tedua,40919,https://open.spotify.com/track/5lUxWWt9fmQ29jkv8HNVzn
68,"Nessuno Vuole Essere Robin","Cesare Cremonini",40742,https://open.spotify.com/track/2BWWqHu2HsHyDgt5V0uG4f
69,"Síguelo Bailando",Ozuna,40354,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
70,"Him & I (with Halsey)",G-Eazy,40215,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
71,"Allenamento #2","Capo Plaza",39589,https://open.spotify.com/track/2z3sYBYhLhsGTOKZe5vkcM
72,Criminal,"Natti Natasha",39282,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
73,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",39163,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
74,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,38991,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
75,XNX,"Sfera Ebbasta",38829,https://open.spotify.com/track/0W2dRTfCkaanZgRimFEMay
76,"Shape of You","Ed Sheeran",38658,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
77,Perfect,"Ed Sheeran",37709,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
78,Machika,"J Balvin",37599,https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy
79,"Da sola / In the night (feat. Tommaso Paradiso e Elisa)","Takagi & Ketra",37495,https://open.spotify.com/track/0X6qDfo1vU22juUE08yCjf
80,"Diego Armando Maradona","Dark Polo Gang",37307,https://open.spotify.com/track/42budRHAm0QroIwreRwF1l
81,"Me Niego (feat. Ozuna & Wisin)",Reik,37097,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
82,Leggenda,"Sfera Ebbasta",36933,https://open.spotify.com/track/17bXwlGLFeAGCaIMBwjq5k
