,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Cambiare Adesso","Dark Polo Gang",413849,https://open.spotify.com/track/01MJgnPL3AuwmYQ4EbHzD7
2,90MIN,Salmo,316687,https://open.spotify.com/track/1YzlPeHWPU0JeM0u4ya5zj
3,"Torna a casa",Måneskin,244765,https://open.spotify.com/track/7dV2UrZQ58Mn18u0V19S3Y
4,Splash,"Dark Polo Gang",242116,https://open.spotify.com/track/3plul4vw51AF1e8FRykm96
5,"Trap Phone (feat. Capo Plaza)",Guè,213856,https://open.spotify.com/track/50Vy6DvEWNLDaQV5j9TdDS
6,"Borsello (feat. Sfera Ebbasta & DrefGold)",Guè,192157,https://open.spotify.com/track/6gAySqc7QK27KEASxmc7Ag
7,"Toy Boy","Dark Polo Gang",179826,https://open.spotify.com/track/7CoEfOFe6fmJ2IIkTxQ2EK
8,"D'estate non vale (feat. Ana Mena)","Fred De Palma",173129,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
9,Pablo,Rvssian,170930,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d
10,"2% (feat. Frah Quintale)",Guè,161401,https://open.spotify.com/track/1GZPzAyqLxOu9ANPIKMlCs
11,Balla,Zoda,149482,https://open.spotify.com/track/1ex3YwDpPLF2JeA8ZgPBto
12,Rollercoaster,"Emis Killa",146162,https://open.spotify.com/track/2Qe5XpRwGHFmMkZim0gRye
13,Nera,Irama,143796,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
14,"Young Rich Gang","Dark Polo Gang",141186,https://open.spotify.com/track/4OxhRzZVJmCraeu8F45fxe
15,"Davide (feat. Coez)",Gemitaiz,135561,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
16,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",135541,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
17,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",134503,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,"Modalità Aereo (feat. Luchè & Marracash)",Guè,134026,https://open.spotify.com/track/6rvSAESqueLmDe00pudWtr
19,"In My Mind",Dynoro,133844,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
20,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",132446,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
21,"Amore e Capoeira","Takagi & Ketra",127805,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
22,"Guarda Come Flexo 2",MamboLosco,126348,https://open.spotify.com/track/6PX2GtCt8YJzOQ4ulJM41k
23,"I Love It (& Lil Pump)","Kanye West",125126,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
24,"Fotografia (feat. Francesca Michielin & Fabri Fibra)","Carl Brave",117385,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu
25,"Felicità puttana",Thegiornalisti,115491,https://open.spotify.com/track/695AOnYHYnvHIMaTNKjkA5
26,"Da zero a cento","Baby K",112332,https://open.spotify.com/track/4cQR1R25cpABjPMzpybNSQ
27,"Uomini E Donne","Dark Polo Gang",112005,https://open.spotify.com/track/18gUkxXyOVGMo6rhPokdX7
28,"Claro (feat. Tony Effe & Prynce)",Guè,107826,https://open.spotify.com/track/56f4pUF10wZMmGtjtw569u
29,"Bella Giornata (prod. Dogslife, Mago del blocco) (feat. Dogslife & Mago del Blocco)","OG Eastbull",107501,https://open.spotify.com/track/76xea5TfeyVu8c4dGWpFD2
30,"Te Boté - Remix","Nio Garcia",107153,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
31,"Poesia senza veli",Ultimo,104699,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W
32,"Moscow Mule","Benji & Fede",103868,https://open.spotify.com/track/1Lfjom9CoL5hIyvjYey9zs
33,"Expensive (feat. MamboLosco)","Dark Polo Gang",101912,https://open.spotify.com/track/2zScwPtvHOlnnADbzRgeoS
34,"New York",Thegiornalisti,101516,https://open.spotify.com/track/1nhEQjgj0NrtAoDuFEhMEL
35,"Cascare nei tuoi occhi",Ultimo,101356,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
36,"Solo (feat. Demi Lovato)","Clean Bandit",100270,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
37,"Vaina Loca",Ozuna,99197,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
38,"Ne è valsa la pena (feat. Ghali)","Capo Plaza",96339,https://open.spotify.com/track/6GTCOWvhjvdk4pwlfrSjNO
39,"Nero Bali",Elodie,96087,https://open.spotify.com/track/2hygc41DOo6dGocHEk6Jx1
40,"Falling Down - Bonus Track","Lil Peep",95094,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
41,"Jackie Chan",Tiësto,94998,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
42,"Mwaka Moon - Remix",Kalash,94983,https://open.spotify.com/track/1OGORI9Hx45AEYqxkndMhN
43,"In My Feelings",Drake,93334,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
44,British,"Dark Polo Gang",91880,https://open.spotify.com/track/3JEvpERjiUoFXZO1BUc2dv
45,"Che Bello Essere Dark","Dark Polo Gang",90753,https://open.spotify.com/track/2RfAGzUkdm6uc41xNBBCvT
46,"Peace & Love","Charlie Charles",90675,https://open.spotify.com/track/4BGmYEDOK1swwoxTtfmVZD
47,"Uno squillo","Capo Plaza",90378,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
48,"Bling Bling (Oro)",Guè,89992,https://open.spotify.com/track/0UyV3ehXT0z3wzkuW7fSxo
49,Happier,Marshmello,87483,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
50,"Porto Cervo",Lazza,87378,https://open.spotify.com/track/0TAt3c8KXb1D3sWT8ENar8
51,"Faccio Quello Che Voglio","Fabio Rovazzi",87370,https://open.spotify.com/track/3ZSiGHNkkWgFInQqPEP0xb
52,"Solo Te E Me (feat. Giulia Jean)",GionnyScandal,87354,https://open.spotify.com/track/7zPr2eaVerEShHQ36BHQTD
53,Mala,"Elettra Lamborghini",86750,https://open.spotify.com/track/2N85HU7TqO8lAmHA7AkNdP
54,Vertigini,Tedua,85150,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU
55,Malibu,"Vegas Jones",85030,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw
56,"Promises (with Sam Smith)","Calvin Harris",83387,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
57,"Torna Da Me",Luchè,83359,https://open.spotify.com/track/5iSHLCuc0K3pUW16b7sSP4
58,"Morirò da Re",Måneskin,79245,https://open.spotify.com/track/47LqR8uKRA8WcZcSXkdAbz
59,Italiana,J-AX,78564,https://open.spotify.com/track/0ptaq4BSl6jrXfGyLzJjYE
60,"I Like It","Cardi B",78538,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
61,"La stessa","Alessandra Amoroso",78083,https://open.spotify.com/track/0x7pHyBX8Ph2j4knBp1he9
62,SAD!,XXXTENTACION,77816,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
63,"Bastardi Senza Gloria (feat. Noyz Narcos)",Guè,77397,https://open.spotify.com/track/2ssOc4e6FAIneETAB2fQZK
64,Pianeti,Ultimo,75904,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
65,"Lucky You (feat. Joyner Lucas)",Eminem,75231,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
66,Moonlight,XXXTENTACION,73366,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
67,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,72654,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
68,Bulldozer,"JUNIOR CALLY",72546,https://open.spotify.com/track/15iRDprdBB9CvBIRPvThj6
69,"Un domani (feat. Mr.Rain)",Annalisa,71072,https://open.spotify.com/track/5ZUbSBnGDbmBGcH2l1575M
70,"My Life Is Going On - Burak Yeter Remix","Burak Yeter",71045,https://open.spotify.com/track/2qzyXvxqBlOx4BUzbTzPvu
71,"Keanu Reeves (feat. Achille Lauro)",Gemitaiz,70647,https://open.spotify.com/track/1MGXWglFoINJdrcp2W0U0w
72,"Peter Pan","Dark Polo Gang",70608,https://open.spotify.com/track/2srViJ0h1uUgJ5oPmflH4L
73,"Non Abbiamo Età",Luchè,69171,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3
74,"Solletico (feat. Tedua & The Night Skinny)",Rkomi,68662,https://open.spotify.com/track/6gan8nbS78t2sUy0M9UpAX
75,"Tutto tua madre",J-AX,67445,https://open.spotify.com/track/1PahySwtcIaiG7GUnCy9tx
76,"Hands Up (feat. DNCE)","Merk & Kremont",67411,https://open.spotify.com/track/0nlyO7lNTOYB0gjDp7NI7H
77,"La musica non c'è",Coez,67139,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
78,"Il ballo delle incertezze",Ultimo,66788,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu
79,"Eastside (with Halsey & Khalid)","benny blanco",65260,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
80,"Questa nostra stupida canzone d'amore",Thegiornalisti,64907,https://open.spotify.com/track/1Kw6V4wiZKTVwLZ5YcYJR3
81,Youngblood,"5 Seconds of Summer",64611,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
82,"Be Alright","Dean Lewis",64089,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
83,"Acqua Fiji","Dark Polo Gang",64039,https://open.spotify.com/track/28u8Mb0sgLcR0MpkwhOJUJ
84,Calypso,"Luis Fonsi",59989,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
85,Hotel,Guè,59792,https://open.spotify.com/track/36Hq9MRDTBi2XY4SBJ7rM8
86,"One Kiss (with Dua Lipa)","Calvin Harris",59330,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
87,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,58959,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
88,Natural,"Imagine Dragons",58696,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
89,"Cupido (feat. Quavo)","Sfera Ebbasta",58586,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
90,"Non Ti Dico No",Boomdabash,58462,https://open.spotify.com/track/07Xuc7SQU2GAJY6Gnt93ub
91,"Baby Che Noia","Dark Polo Gang",58280,https://open.spotify.com/track/1M8iEJN6ZEluilaGXZrb60
92,Simba,Ernia,56791,https://open.spotify.com/track/69d3X2Nv5AWHUeTktfOqpV
93,Rise,"Jonas Blue",56029,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
94,"Ricchi x Sempre","Sfera Ebbasta",55883,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx
95,PERDONAMI,Salmo,54604,https://open.spotify.com/track/7kK2m2KDEL0W8oFq6fuOcf
96,Casper,"Dark Polo Gang",54340,https://open.spotify.com/track/3rbtxqLio1iVz3T8p3QAfe
97,"Better Now","Post Malone",54058,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
98,"Sempre In Due","Carl Brave x Franco126",53991,https://open.spotify.com/track/6ElWuGFrYbsf2mdHWUoGCk
99,"Purple Rain (feat. Gemitaiz & Frenetik&Orang3)","Achille Lauro",53718,https://open.spotify.com/track/0PpB4YTfszDRmQxLirA4pM
