,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"LA CANZONE NOSTRA ⟁ (con BLANCO & Salmo)",MACE,318347,https://open.spotify.com/track/0aQi1JGO1oKWEmKGfvf8TF
2,"Non Fare Così","Capo Plaza",241982,https://open.spotify.com/track/769M2rTiAoL7x2lKDHLjRa
3,"Allenamento #4","Capo Plaza",207880,https://open.spotify.com/track/3TzSpxjKOnmVrtNOhtK8mx
4,lady,sangiovanni,187419,https://open.spotify.com/track/2uyQXAGGwHuQVsu04OTVsB
5,"Baby (with J Balvin)","Sfera Ebbasta",182404,https://open.spotify.com/track/4L5ZhW0VJeQ6je2iqvqZ4X
6,"SEVEN 7oo (feat. Rondodasosa, Sacky, Vale Pain, Neima Ezza, Kilimoney, Keta, Nko)","SEVEN 7oo",181079,https://open.spotify.com/track/2KYLg9El0wzvX4S13CDoZf
7,"Ferma A Guardare (feat. Pinguini Tattici Nucleari)",Ernia,176999,https://open.spotify.com/track/1eDC4NiUYgQSKpKDIvXxi4
8,Destri,Gazzelle,173494,https://open.spotify.com/track/0WBg2If3H9nN9RFl2xO2SZ
9,"Scooby Doo","Pinguini Tattici Nucleari",171068,https://open.spotify.com/track/1P6TlFb8EVH2nCX3luVpZW
10,Street,"Capo Plaza",162201,https://open.spotify.com/track/1AA3XZWWaLTcOgVdeSWg3S
11,"Venere e Marte (feat. Marco Mengoni, Frah Quintale)","Takagi & Ketra",162019,https://open.spotify.com/track/4O3sAZoZDIhNRcfHNuU4Ps
12,"drivers license","Olivia Rodrigo",159444,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,"Demonio (feat. Sfera Ebbasta)","Capo Plaza",156985,https://open.spotify.com/track/6jawrhd9Ad5td8mIvEZkjm
14,"SLATT (feat. Capo Plaza)",Rondodasosa,154532,https://open.spotify.com/track/1YvhcTM8aIRTg03AavA2HJ
15,Belva,Gazzelle,150785,https://open.spotify.com/track/6U5TPU2eZMqD6vQ0dd9Wyi
16,"ALTALENE (feat. Mara Sattei & Coez)","BLOODY VINYL",148188,https://open.spotify.com/track/2zqxUV6h5y6Y9WhyH0FVvX
17,"Hecha Pa' Mi",Boza,142714,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
18,Superclassico,Ernia,142163,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
19,Concedimi,"Matteo Romano",139771,https://open.spotify.com/track/0pFjYM7JdNJhjuooMgesks
20,DÁKITI,"Bad Bunny",139179,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
21,"SPLASH (feat. Enzo Dong)","MV Killa",137544,https://open.spotify.com/track/0CjTQ01ADXx3BMO07LxpKx
22,OMG,"Capo Plaza",134054,https://open.spotify.com/track/3BMcrqAXwQi6EnnAonfXF0
23,"Mambo (feat. Sean Paul, El Alfa, Sfera Ebbasta & Play-N-Skillz)","Steve Aoki",130421,https://open.spotify.com/track/3mQvO4Ra4gcexGJPiqEybJ
24,"VVS (feat. Gunna)","Capo Plaza",125244,https://open.spotify.com/track/6t5avACouegDhYdGljoKt1
25,"Mantieni il bacio","Michele Bravi",123813,https://open.spotify.com/track/291ozGPjR0HnVyKZOgkPGG
26,"No Stress (feat. A Boogie wit da Hoodie)","Capo Plaza",118071,https://open.spotify.com/track/1g2CMj45LJZWxGQYoBye0X
27,"Paradise (feat. Dermot Kennedy)",MEDUZA,117004,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
28,Plaza,"Capo Plaza",115619,https://open.spotify.com/track/7wnKS5lo0w9V04E6yXzhxV
29,"Mood (feat. iann dior)",24kGoldn,112296,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
30,"Bottiglie Privè","Sfera Ebbasta",106718,https://open.spotify.com/track/4hExiZDbGdegofpEc9t0Fu
31,INCUBO,PSICOLOGI,106449,https://open.spotify.com/track/3MFOUxCJgIdlBRQyf7clL8
32,"Save Your Tears","The Weeknd",104877,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
33,"Fiamme Alte","Capo Plaza",104811,https://open.spotify.com/track/5N7x4uvQWF0Nte0yZX1fjn
34,"Tik Tok (feat. Marracash & Guè Pequeno)","Sfera Ebbasta",100625,https://open.spotify.com/track/11jGgkrtDbYaKlN0y1nPbC
35,Whoopty,CJ,100068,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
36,"Don't Worry",Boomdabash,99255,https://open.spotify.com/track/3Bd5A7Yxg4zxFeiKiYlMId
37,"Head & Heart (feat. MNEK)","Joel Corry",99176,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
38,"Richard Mille (feat. Lil Tjay)","Capo Plaza",98878,https://open.spotify.com/track/1S18KuCTCEh4kq6I0OQStN
39,MIA,Lortex,96694,https://open.spotify.com/track/1SIl1FBbHmGa4PmJu5q6Lm
40,"The Business",Tiësto,94743,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
41,VENT'ANNI,Måneskin,94482,https://open.spotify.com/track/34r4voojt51Kk6ax5FJI1M
42,"BELLA STORIA",Fedez,94312,https://open.spotify.com/track/0824Kyozhv4yBbM86aBFCG
43,"Pasticche (feat. Capo Plaza)",VillaBanks,92442,https://open.spotify.com/track/7KnC2wSD0I5Fju3A7qCFX8
44,Estate,Will,90304,https://open.spotify.com/track/7AKMq2HTg8FQs9LE0v9uoy
45,"Pezzo Di Cuore (con Alessandra Amoroso)",Emma,89338,https://open.spotify.com/track/0BNaXcSSUeuARA4W8iB18E
46,"A Un Passo Dalla Luna","Rocco Hunt",87305,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
47,"Il Cielo Contromano",Deddy,85912,https://open.spotify.com/track/2zE2D5b8xKpdsVyWM2vlTt
48,"Track 1","Capo Plaza",85586,https://open.spotify.com/track/0YABp1f1xnK8gkTguBi8wm
49,Problemas,"Paris Boy",83557,https://open.spotify.com/track/2aQJOc2QUTdQl1J2Z9VxYO
50,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,83114,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
51,"Blue Jeans (feat. Calcutta)",Franco126,82335,https://open.spotify.com/track/3teW1cB7e8HMmtHUeWF7Je
52,"Chico (feat. Rose Villain & Luchè)",Guè,79275,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
53,"SaN LoREnZo (feat. Annalisa) - prod. Yanomi",Alfa,76960,https://open.spotify.com/track/0sTiM4EWUkJe1em8SZCs8t
54,"L'urlo di Munch","Emanuele Aloia",75342,https://open.spotify.com/track/6UP3eoMcJDoEssjjHqAdjn
55,"Pioggia - Single Version","Il Tre",75227,https://open.spotify.com/track/3Jxv90Ey423ZApqYfqSNue
56,"$€ Freestyle","Sfera Ebbasta",74943,https://open.spotify.com/track/2j9wr1cxfYcMJoANfmoJA9
57,Hypnotized,"Purple Disco Machine",74075,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
58,"Mama (feat. Nitro)",Gemitaiz,72517,https://open.spotify.com/track/1ws9IBGum9LLNEdSVNO2pH
59,"Take You Dancing","Jason Derulo",72319,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
60,"Notti In Bianco",BLANCO,72044,https://open.spotify.com/track/38UoVEHcZ85EGBo6k79643
61,"guccy bag",sangiovanni,71760,https://open.spotify.com/track/755xh1CnKw8zg2m3Uv4TEX
