,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bando,ANNA,342265,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
2,"Boogieman (feat. Salmo)",Ghali,331397,https://open.spotify.com/track/10Q5VqDAAbwExYkNha3VKH
3,"Good Times",Ghali,321650,https://open.spotify.com/track/6GpvHaqp0Yybx9P6YnodRD
4,"Snitch E Impicci (con FSK SATELLITE)",DrefGold,305980,https://open.spotify.com/track/6HDdOPc6FWpMfjC8ebzdRC
5,"Ringo Starr","Pinguini Tattici Nucleari",267132,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
6,"Per sentirmi vivo",Fasma,259639,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
7,"Musica (E Il Resto Scompare)","Elettra Lamborghini",231260,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
8,"blun7 a swishland","tha Supreme",225436,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
9,"Fai rumore",Diodato,225377,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
10,Rapide,Mahmood,219243,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
11,"Marymango (feat. tha Supreme)",Ghali,209623,https://open.spotify.com/track/7eHHKYb2cRRqqzl8bbiwA3
12,Viceversa,"Francesco Gabbani",208094,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
13,"Blinding Lights","The Weeknd",176761,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
14,"Me ne frego","Achille Lauro",176502,https://open.spotify.com/track/1MF3gav7PNaNkv7ohlBKBD
15,"ANSIA NO","FSK SATELLITE",160451,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
16,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",157127,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
17,Andromeda,Elodie,149114,https://open.spotify.com/track/4iceKk4reL0vg2yDwXxQNF
18,"Dance Monkey","Tones And I",146883,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
19,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,141736,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
20,"BRAVI A CADERE - I polmoni",Marracash,141112,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
21,Tikibombom,Levante,135115,https://open.spotify.com/track/4JNT4VElmvNmJaQUhwPzg9
22,"CRUDELIA - I nervi",Marracash,134687,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
23,"Stu core t'apparten","Rocco Hunt",132519,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
24,"Before You Go","Lewis Capaldi",128764,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,Falling,"Trevor Daniel",126045,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
26,Tusa,"KAROL G",122669,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
27,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,120447,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
28,"fuck 3x","tha Supreme",119442,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
29,Calmo,Shiva,118853,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
30,ROXANNE,"Arizona Zervas",117907,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
31,"Allora ciao",Shade,116720,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
32,"Don't Start Now","Dua Lipa",111454,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
33,"Tutto questo sei tu",Ultimo,110087,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
34,"PAROLA - feat. Lazza, Emis Killa",Giaime,103995,https://open.spotify.com/track/2tQ7vPjN88wkQl5hSNSbVF
35,"Vamos Pa La Banca (feat. Geolier, Samurai Jay & Lele Blade)","Dat Boi Dee",99206,https://open.spotify.com/track/4BWhorzhcnimKOoXxYnhz4
36,Chiasso,Random,95886,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
37,"RITMO (Bad Boys For Life)","Black Eyed Peas",95087,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
38,"The Box","Roddy Ricch",93510,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
39,"Il tuo profumo","Fred De Palma",91249,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
40,"Una volta ancora (feat. Ana Mena)","Fred De Palma",90031,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
41,22:22,Ghali,89360,https://open.spotify.com/track/73hTfGHBSYC8iI6He1optV
42,Courmayeur,"DJ Matrix",89321,https://open.spotify.com/track/3ueGWDwh5tMsoKjxJnUFcB
43,"La Mia Hit (feat. Max Pezzali)",J-AX,89227,https://open.spotify.com/track/4bMfWDvKPCFQ2df7Qf2UTs
44,DNA,Ghali,87027,https://open.spotify.com/track/3ciPiuilE79SH0UQzeL3xe
45,"Chance (feat. Capo Plaza)",Shiva,86650,https://open.spotify.com/track/7CQwJNaHvxUPye0X7bTh7g
46,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",86259,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
47,"LOCO (feat. Dark Polo Gang)","Kidd Keo",85644,https://open.spotify.com/track/5pjl42Dy5v88ZLbuV34xpQ
48,"Che Poi","Carl Brave",83672,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
