,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"È sempre bello",Coez,380438,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
2,Mademoiselle,"Sfera Ebbasta",342298,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c
3,"Con Calma","Daddy Yankee",335292,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
4,"Per Un Milione",Boomdabash,324266,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
5,"Calma - Remix","Pedro Capó",266833,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
6,Soldi,Mahmood,260918,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
7,"Mon Cheri (feat. Sfera Ebbasta)",Rkomi,252481,https://open.spotify.com/track/66UkKyxN5YbJl9z7YamQOR
8,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,247651,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
9,"Sweet but Psycho","Ava Max",228743,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
10,"Baila Baila Baila",Ozuna,215215,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
11,"Adan y Eva","Paulo Londra",209667,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
12,"I Tuoi Particolari",Ultimo,197978,https://open.spotify.com/track/524euygKKFWurhvIdSrkg6
13,"Blu (feat. Elisa)",Rkomi,186489,https://open.spotify.com/track/0Q4v8N758nx98YxObfqkNC
14,Domenica,Coez,179944,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL
15,"Stamm Fort (feat. Sfera Ebbasta)",Luchè,174722,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD
16,HP,Maluma,156201,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
17,"Bad Liar","Imagine Dragons",154917,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
18,Wow.,"Post Malone",148341,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
19,"Senza farlo apposta",Shade,144847,https://open.spotify.com/track/55t2S1tpx1Bj3C5bIEn2BF
20,"La ragazza con il cuore di latta",Irama,144444,https://open.spotify.com/track/0NmyHZZMfVBiUSOfDmz9Bf
21,"bad guy","Billie Eilish",143437,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"I Love You",Ghali,142526,https://open.spotify.com/track/7GOFNyZcCTwm1SsC5jOFpA
23,"Boogie Nights (feat. Ghali)",Rkomi,140665,https://open.spotify.com/track/4MmTsaYqv9QR3yzbMeiNS5
24,"Hola (I Say) (feat. Tom Walker)","Marco Mengoni",135569,https://open.spotify.com/track/42LrSpEHmXHfjEH8NeiQQi
25,"Senza Di Me (feat. Venerus & Franco126)",Gemitaiz,132838,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
26,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)","Takagi & Ketra",131977,https://open.spotify.com/track/0swoHiwTazywpoqiKDUtGQ
27,Catene,Coez,131686,https://open.spotify.com/track/3oyfNrrR0GHepmHjXyNhBV
28,Shallow,"Lady Gaga",128518,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
29,"Dove Gli Occhi Non Arrivano",Rkomi,128068,https://open.spotify.com/track/5sMechyaVyijGsbp01E9x2
30,"Visti Dall'Alto (feat. Dardust)",Rkomi,126489,https://open.spotify.com/track/50Im1CDeBfRbJUPacCEIOS
31,"bury a friend","Billie Eilish",124118,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
32,90MIN,Salmo,123148,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
33,"2% (feat. Frah Quintale)",Guè,119986,https://open.spotify.com/track/5ODlTG5qxhCsC05E36Rv25
34,"Posso (feat. Max Gazzé)","Carl Brave",119949,https://open.spotify.com/track/5N0nmOmc0MqPZTYKw4fVV6
35,"High Hopes","Panic! At The Disco",118900,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
36,Happier,Marshmello,118860,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
37,"Mal di gola",Coez,118849,https://open.spotify.com/track/35lxmFFvcSrhSrT4zAoVNe
38,"La tua canzone",Coez,118370,https://open.spotify.com/track/4Z43nMEiOiNeDrqu2BN0JD
39,"Certi Giorni (feat. Nitro)",Ernia,118318,https://open.spotify.com/track/2MiWbrDdfI2B56wiJPfObl
40,"Giant (with Rag'n'Bone Man)","Calvin Harris",115241,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
41,"C'est la vie","Achille Lauro",111768,https://open.spotify.com/track/3SPMfYd6tTY9paDekK8KB2
42,Secreto,"Anuel AA",111744,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
43,"Fuoco e benzina","Emis Killa",111159,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc
44,"Happy Birthday","Sfera Ebbasta",110097,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2
45,"Billets (feat. Ninho)","Capo Plaza",108984,https://open.spotify.com/track/2aD5ESGyEhXnXdoOsZvsR0
46,"Fuori di me",Coez,108894,https://open.spotify.com/track/11s1vpQsmDGKqrbsvUed1d
47,"Cascare nei tuoi occhi",Ultimo,103402,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
48,Gratis,Coez,101534,https://open.spotify.com/track/0S5kRC9LFXhks9dzk07gfA
49,LUNEDI',Salmo,99192,https://open.spotify.com/track/1VNARx6Sm6ZYAsDMCGiU1B
50,"7 rings","Ariana Grande",99073,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
51,MALA,6ix9ine,98796,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
52,"Anche Fragile",Elisa,98467,https://open.spotify.com/track/7fXTNTj6tiyaIvcezY8k5f
53,"Impressione (feat. Carl Brave)",Rkomi,95893,https://open.spotify.com/track/5F6MepcJc6Fr81PsWvoSfa
54,"Let Me Down Slowly","Alec Benjamin",93762,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
55,Gioco,Rkomi,90268,https://open.spotify.com/track/4vKbul7TavBtbzXOqh6njN
56,"oh 9od","tha Supreme",90054,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr
57,"Te Robaré","Nicky Jam",88391,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
58,Barking,Ramz,88031,https://open.spotify.com/track/2U5cq89GCnsR1yixKkC8d5
59,"Como Te (feat. Emis Killa)",Geolier,87647,https://open.spotify.com/track/7dX7Vn3NP5sa5nTQg4oKMN
60,"Torna a casa",Måneskin,87288,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
61,"Don't Call Me Up",Mabel,86586,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
62,Netflix,Lazza,84768,https://open.spotify.com/track/1XiF40UZiMZstIl37DdRaC
63,Pianeti,Ultimo,83464,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
64,"Uno squillo","Capo Plaza",83155,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
65,"CABRIOLET (feat. Sfera Ebbasta)",Salmo,82188,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN
66,"STAI ZITTO (feat. Fabri Fibra)",Salmo,81882,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd
67,"Catrame (feat. Tedua)",Lazza,81553,https://open.spotify.com/track/5qbVso0dAtoI2gFhj7V8oG
68,"Cambiare Adesso","Dark Polo Gang",81429,https://open.spotify.com/track/2xjxaKiYssIdDU6DCPpZPt
69,"Canzone (feat. Jovanotti)",Rkomi,78201,https://open.spotify.com/track/6unF0kCie7IJvCecFXWws5
70,Aeroplani,Coez,78138,https://open.spotify.com/track/4O4lg9VyNzcYldPUVQhNDC
71,Vertigini,Tedua,77125,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU
72,"La U",Rkomi,76691,https://open.spotify.com/track/2SjEDxRu23IVlloDoh6hMz
73,Alice,Rkomi,76336,https://open.spotify.com/track/4E6szWuu03VKnqQtJL82sM
74,Sucker,"Jonas Brothers",76065,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
75,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",75543,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
76,"NI BIEN NI MAL","Bad Bunny",75484,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
77,"Gli occhi della tigre",Nayt,73941,https://open.spotify.com/track/5pL8J6weoydzXglhsoJ6Vw
78,Mikado,Rkomi,73754,https://open.spotify.com/track/5HsglKdfpcJRYxYjdSVsXz
79,"Davide (feat. Coez)",Gemitaiz,73569,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
80,"Say My Name","David Guetta",73540,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
81,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",72199,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
82,"Porto Cervo",Lazza,70734,https://open.spotify.com/track/7imppCsqBzOEkpqm1jXCZP
83,"MIA (feat. Drake)","Bad Bunny",70691,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
84,"Non Abbiamo Età",Luchè,70080,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3
85,"Cuore Rotto (feat. Gemitaiz)","Rocco Hunt",69901,https://open.spotify.com/track/6WKS4X4lHXCoUr5tbjMSIi
86,Mammà,Anthony,68938,https://open.spotify.com/track/67r86uxegtwPsl9dLoU1QP
87,"Per Un No",Rkomi,68687,https://open.spotify.com/track/2pK3WgyFRvaACHWE1aAirK
88,Merci,"Carl Brave",67512,https://open.spotify.com/track/429kanJEBTPrcTKYBT8yPq
89,"Ti dedico il silenzio",Ultimo,67498,https://open.spotify.com/track/6GLmGfALwjzCaOiHwgfU7g
90,Toradol,Gemitaiz,67407,https://open.spotify.com/track/3Rmv3h4ovgt9xVgWOfMlLx
91,"Vai con Dio",Coez,67226,https://open.spotify.com/track/1aGk2OnR9jDCdzEuipKLnS
92,"wish you were gay","Billie Eilish",65416,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
93,"Sunset Lover","Petit Biscuit",65332,https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
94,"Fumo Da Solo",Izi,65205,https://open.spotify.com/track/4sYbBt781iAS2S76IeMwIG
95,"Gang Shit (feat. Capo Plaza)","Dark Polo Gang",65069,https://open.spotify.com/track/6iY75XEmQ6o6F2gSLjgAmD
