,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ANTIPATICO,Salmo,854743,https://open.spotify.com/track/5mJDKaEsF02C8BOZoJ14rl
2,"GHIGLIOTTINA - feat. Noyz Narcos",Salmo,785716,https://open.spotify.com/track/01BCvCKQNDmFQQQSjrzPnm
3,"MI SENTO BENE",Salmo,774722,https://open.spotify.com/track/2v4kWcQ7LWML8TEQmLDAEO
4,KUMITE,Salmo,764332,https://open.spotify.com/track/6yaNNYWPjkWHbh1jADEyJO
5,"LA CHIAVE - feat. Marracash",Salmo,751430,https://open.spotify.com/track/20Op27p3aV0WiaP7qOTlWP
6,CRIMINALE,Salmo,694334,https://open.spotify.com/track/6FCWM1nmcM5fEPgS2EUAtB
7,"IN TRAPPOLA",Salmo,635072,https://open.spotify.com/track/25zlvKhD4wtNyjWQ91APzB
8,"YHWH - feat. Guè",Salmo,631081,https://open.spotify.com/track/3Oot2B5eeU7WTwlk4wsMJE
9,"CHE NE SO",Salmo,580312,https://open.spotify.com/track/2P0wERnEOoWN2PC5ubmaV3
10,"HELLVISBACK 2",Salmo,567086,https://open.spotify.com/track/1RUb1k0SOaaajHR9szL4bA
11,"FUORI DI TESTA - feat. Par-T-One",Salmo,536015,https://open.spotify.com/track/2et2A0W3In3OYaRdJrY6m9
12,"A DIO",Salmo,527770,https://open.spotify.com/track/2sLjcE5PnsLf33zW432MFg
13,MARLA,Salmo,482447,https://open.spotify.com/track/5bYINUZAHhHaC4J0sdeWnl
14,"L'ANGELO CADUTO - feat. Shari",Salmo,458505,https://open.spotify.com/track/3eZUF65HbA141qh7OGsBER
15,"Blu Celeste",BLANCO,457406,https://open.spotify.com/track/0BeXxjO6mgLDzg4xA6UheO
16,"Notti In Bianco",BLANCO,448786,https://open.spotify.com/track/1PWOkqMORYdGa0OEh2GaXM
17,FLOP!,Salmo,447380,https://open.spotify.com/track/0dsivsEA2U7cMVWq8aRjcW
18,"ALDO RITMO",Salmo,444682,https://open.spotify.com/track/1kZtyxJakwddLIxfEDDXEx
19,"MI FAI IMPAZZIRE",BLANCO,434580,https://open.spotify.com/track/1x3Qb8np6S1UvpSLthwEJN
20,Paraocchi,BLANCO,405749,https://open.spotify.com/track/40zkeKA3HRN8Nzo6kbNOCp
21,VIVO,Salmo,362521,https://open.spotify.com/track/0O7YPBpKbvmwQN5LrKeLtN
22,"TU MI HAI CAPITO (feat. Sfera Ebbasta)",Madame,359295,https://open.spotify.com/track/2tIyoiGw4F82z2C8zb7eZB
23,"MEGLIO DEL CINEMA",Fedez,340150,https://open.spotify.com/track/6byHOsfSzBH0R5WQ6QRv54
24,Lucciole,BLANCO,337827,https://open.spotify.com/track/7HmgMA9PqikUtSG4eusHy2
25,"NUOVO RANGE (con SFERA EBBASTA)",Rkomi,291921,https://open.spotify.com/track/3fxSSvnUS7ALxmhOckb7t6
26,"STAY (with Justin Bieber)","The Kid LAROI",278002,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
27,"uNa DiReZioNe giUsTa","yungest Moonstar",277905,https://open.spotify.com/track/1ktyKCzfI8hooCJP3X2yP5
28,Pepas,Farruko,270459,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
29,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",263998,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
30,"PARTIRE DA TE",Rkomi,237811,https://open.spotify.com/track/43mGIsFZwISk1WWTcAK728
31,"Sai Cosa C’è",BLANCO,237385,https://open.spotify.com/track/3NI4VgVswVf503sOiZvv4m
32,"L'ultima notte",ARIETE,235892,https://open.spotify.com/track/63mdY4U0KvnbMkUEc7FHN8
33,"Pastello Bianco","Pinguini Tattici Nucleari",226126,https://open.spotify.com/track/0bKDQionn4VKcgNKbs4SWX
34,"Finché Non Mi Seppelliscono",BLANCO,221640,https://open.spotify.com/track/16EJNayKtC09M0Fi7Py47s
35,"Scrivile Scemo","Pinguini Tattici Nucleari",218620,https://open.spotify.com/track/71r3UlkV7sWvUYjas5paqi
36,malibu,sangiovanni,215260,https://open.spotify.com/track/4p0o4pBoJPxYMXKhYbRzzw
37,"LUNA PIENA (con IRAMA)",Rkomi,210071,https://open.spotify.com/track/7xtDBQTR47nZwpBRu6pOdO
38,"Bad Habits","Ed Sheeran",199986,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
39,"Ladro Di Fiori",BLANCO,196285,https://open.spotify.com/track/18E4wq8is4m6wL8HxrEaQ9
40,"MILLE – feat. Orietta Berti",Fedez,192691,https://open.spotify.com/track/6qdMhG7pRFi0csRlFGvLE4
41,"Mezz’Ora Di Sole",BLANCO,191487,https://open.spotify.com/track/0GMrDNkDnTcSX7NDJoCj64
42,"Angelina Jolie",Bresh,189201,https://open.spotify.com/track/0tD4EXZRm1JGDYWtKYFLWK
43,"Extendo (feat. Paky)","Lele Blade",185206,https://open.spotify.com/track/2MF9dzFQxu3YTywQ72Bhax
44,MAREA,Madame,185077,https://open.spotify.com/track/7BKGYx89QYgfdnpVo3zapq
45,"Rompo (feat. Boro Boro)",VillaBanks,184334,https://open.spotify.com/track/4oPh7HAoMR1bLBbxwqKmgn
46,"Pornografia (Bianco Paradiso)",BLANCO,183439,https://open.spotify.com/track/7vWjyIST4LV6AOJsI0lolL
47,L,ARIETE,176951,https://open.spotify.com/track/1zDFKQ2JfsRQpQSivgFFkR
48,"Cold Heart - PNAU Remix","Elton John",165721,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
