,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,377267,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
2,"Je ne sais pas (feat. Sfera Ebbasta)","Lous and The Yakuza",210592,https://open.spotify.com/track/0AGOXOfcDIRXwZtny26RDd
3,"Venere e Marte (feat. Marco Mengoni, Frah Quintale)","Takagi & Ketra",182467,https://open.spotify.com/track/4O3sAZoZDIhNRcfHNuU4Ps
4,lady,sangiovanni,173830,https://open.spotify.com/track/2uyQXAGGwHuQVsu04OTVsB
5,"Ferma A Guardare (feat. Pinguini Tattici Nucleari)",Ernia,173568,https://open.spotify.com/track/1eDC4NiUYgQSKpKDIvXxi4
6,"No Cap (feat. Geolier)","Emis Killa",171122,https://open.spotify.com/track/3uqFFmxrCv4nzkKFSNbXHv
7,"MOVIE (feat. Central Cee)",Rondodasosa,158984,https://open.spotify.com/track/5CnjFQT0Yr5WxIwfLpzRhc
8,"Non Fare Così","Capo Plaza",154980,https://open.spotify.com/track/769M2rTiAoL7x2lKDHLjRa
9,"Che me chiamme a fa?","Rocco Hunt",152637,https://open.spotify.com/track/5uXJrO4X6m7Xp0HC3zeklj
10,"Save Your Tears","The Weeknd",150295,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,"Scooby Doo","Pinguini Tattici Nucleari",148814,https://open.spotify.com/track/1P6TlFb8EVH2nCX3luVpZW
12,"Hecha Pa' Mi",Boza,144928,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
13,Destri,Gazzelle,139683,https://open.spotify.com/track/53LX6p75hOcCtAelMDyB8B
14,"Baby (with J Balvin)","Sfera Ebbasta",132598,https://open.spotify.com/track/3eblNP3Zd5b5J3JaOckl8Y
15,"Coltellata (feat. tha Supreme)",Gazzelle,127054,https://open.spotify.com/track/6pswDYZetJz39k41bCXNif
16,DÁKITI,"Bad Bunny",126935,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,Paraocchi,BLANCO,126574,https://open.spotify.com/track/3c1hhyuDTsP3hqRztpg2S5
18,"ALTALENE (feat. Mara Sattei & Coez)","BLOODY VINYL",123180,https://open.spotify.com/track/2zqxUV6h5y6Y9WhyH0FVvX
19,Superclassico,Ernia,122399,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
20,Street,"Capo Plaza",121792,https://open.spotify.com/track/1AA3XZWWaLTcOgVdeSWg3S
