,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Soldi,Mahmood,584776,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
2,"I Tuoi Particolari",Ultimo,410406,https://open.spotify.com/track/524euygKKFWurhvIdSrkg6
3,"Con Calma","Daddy Yankee",392341,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
4,"Per Un Milione",Boomdabash,320844,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
5,"La ragazza con il cuore di latta",Irama,317063,https://open.spotify.com/track/0NmyHZZMfVBiUSOfDmz9Bf
6,"Calma - Remix","Pedro Capó",312241,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
7,"È sempre bello",Coez,306004,https://open.spotify.com/track/18LXrvm337xqvFxpaB9Puj
8,"Sweet but Psycho","Ava Max",298406,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
9,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,272451,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
10,"Baila Baila Baila",Ozuna,267295,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
11,"Senza farlo apposta",Shade,235698,https://open.spotify.com/track/55t2S1tpx1Bj3C5bIEn2BF
12,"Catrame (feat. Tedua)",Lazza,231621,https://open.spotify.com/track/5qbVso0dAtoI2gFhj7V8oG
13,Shallow,"Lady Gaga",226883,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
14,"Box Logo (feat. Fabri Fibra)",Lazza,215717,https://open.spotify.com/track/62HMQx6P4BOuHCjbyldghK
15,"Stamm Fort (feat. Sfera Ebbasta)",Luchè,213885,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD
16,"Hola (I Say) (feat. Tom Walker)","Marco Mengoni",191868,https://open.spotify.com/track/42LrSpEHmXHfjEH8NeiQQi
17,Happier,Marshmello,191681,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
18,"Cazal (feat. Izi)",Lazza,189461,https://open.spotify.com/track/1f2HUukV14tz4cBtqpYJBb
19,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)","Takagi & Ketra",183017,https://open.spotify.com/track/0swoHiwTazywpoqiKDUtGQ
20,"Rolls Royce (feat. Boss Doms & Frenetik&Orang3)","Achille Lauro",177972,https://open.spotify.com/track/68IBz8C8oFUIVC4Xgf0f0g
21,Netflix,Lazza,177649,https://open.spotify.com/track/1XiF40UZiMZstIl37DdRaC
22,"Adan y Eva","Paulo Londra",171293,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
