,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",489075,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
2,"Ostia Lido",J-AX,340843,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5
3,"bad guy","Billie Eilish",299897,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
4,"Per Un Milione",Boomdabash,298690,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
5,"Con Calma","Daddy Yankee",254491,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
6,"È sempre bello",Coez,244562,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
7,"I Don't Care (with Justin Bieber)","Ed Sheeran",238673,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
8,m8nstar,"tha Supreme",236144,https://open.spotify.com/track/5Aw0QmDZJZID69ZcTvEzXI
9,Mademoiselle,"Sfera Ebbasta",233551,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c
10,"48H (feat. Sfera Ebbasta)",Izi,232156,https://open.spotify.com/track/05mrU7mN3c1822bpY58UBC
11,"Calma - Remix","Pedro Capó",230336,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
12,"Taki Taki","Dark Polo Gang",226822,https://open.spotify.com/track/5NF5Y4xv0tnTJFJgrqbA5o
13,"Someone You Loved","Lewis Capaldi",222628,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,JAMBO,"Takagi & Ketra",200887,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
15,"Te Robaré","Nicky Jam",186276,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
16,"Old Town Road","Lil Nas X",183919,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
17,"Rondini Al Guinzaglio",Ultimo,182193,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
18,Soldi,Mahmood,181949,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
19,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,180050,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
20,"Adan y Eva","Paulo Londra",176798,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
21,"Sex On The Beach","Dark Polo Gang",176598,https://open.spotify.com/track/3xKe1DOJinKfVTZyuHjFWz
22,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)","Takagi & Ketra",174099,https://open.spotify.com/track/0swoHiwTazywpoqiKDUtGQ
23,"I Love You",Ghali,171549,https://open.spotify.com/track/7GOFNyZcCTwm1SsC5jOFpA
24,Panamera,NDG,171147,https://open.spotify.com/track/0Zvdpp7GLZYT3OVtx4myHl
25,"Don't Call Me Up",Mabel,169022,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
26,"I Tuoi Particolari",Ultimo,166988,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
27,"Baila Baila Baila",Ozuna,165948,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
28,Domenica,Coez,158151,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL
29,"Maradona y Pelé",Thegiornalisti,154170,https://open.spotify.com/track/3xALgUxUFNYIrbMew1sbnC
30,"Sweet but Psycho","Ava Max",154007,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
31,"Blu (feat. Elisa)",Rkomi,148371,https://open.spotify.com/track/0Q4v8N758nx98YxObfqkNC
32,"Contra La Pared","Sean Paul",143068,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
