,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,262361,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
2,"Happy Birthday","Sfera Ebbasta",205258,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2
3,"Torna a casa",Måneskin,179850,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
4,90MIN,Salmo,152021,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",149728,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
6,"La fine del mondo",Anastasio,145264,https://open.spotify.com/track/3FhWEh7VTAOYK4edZqNWNB
7,"Cambiare Adesso","Dark Polo Gang",139711,https://open.spotify.com/track/01MJgnPL3AuwmYQ4EbHzD7
8,"Senza Di Me (feat. Venerus & Franco126)",Gemitaiz,133240,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
9,"CABRIOLET (feat. Sfera Ebbasta)",Salmo,121060,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN
10,"oh 9od","tha Supreme",112713,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr
11,"Cascare nei tuoi occhi",Ultimo,109687,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
12,"STAI ZITTO (feat. Fabri Fibra)",Salmo,107206,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd
13,"Calma - Remix","Pedro Capó",102875,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
14,"In My Mind",Dynoro,102785,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
15,"Fuoco e benzina","Emis Killa",102611,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc
16,"MIA (feat. Drake)","Bad Bunny",101606,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
17,MALA,6ix9ine,100003,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
18,Happier,Marshmello,99008,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
19,Toradol,Gemitaiz,93811,https://open.spotify.com/track/3Rmv3h4ovgt9xVgWOfMlLx
20,"Los Angeles",Luna,92331,https://open.spotify.com/track/44oZqBLSPMKbxB0bOuUrEN
21,"Giuro Che (feat. Priestess & Quentin40)",Gemitaiz,87757,https://open.spotify.com/track/0Pi8hOfhyPYQOg8PL6tcT9
22,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",87278,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
23,LUNEDI',Salmo,86050,https://open.spotify.com/track/1VNARx6Sm6ZYAsDMCGiU1B
24,"Davide (feat. Coez)",Gemitaiz,83052,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
