,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Baby (with J Balvin)","Sfera Ebbasta",160734,https://open.spotify.com/track/4L5ZhW0VJeQ6je2iqvqZ4X
2,"SLATT (feat. Capo Plaza)",Rondodasosa,141189,https://open.spotify.com/track/1YvhcTM8aIRTg03AavA2HJ
3,"Bottiglie Privè","Sfera Ebbasta",133709,https://open.spotify.com/track/4hExiZDbGdegofpEc9t0Fu
4,Superclassico,Ernia,129741,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
5,Destri,Gazzelle,126972,https://open.spotify.com/track/0WBg2If3H9nN9RFl2xO2SZ
6,"ALTALENE (feat. Mara Sattei & Coez)","BLOODY VINYL",126888,https://open.spotify.com/track/2zqxUV6h5y6Y9WhyH0FVvX
7,"Tik Tok (feat. Marracash & Guè Pequeno)","Sfera Ebbasta",115711,https://open.spotify.com/track/11jGgkrtDbYaKlN0y1nPbC
8,"Una Canzone D'Amore Buttata Via","Vasco Rossi",110021,https://open.spotify.com/track/3hV8uIYz5D5orhpgqixZHj
9,"Scooby Doo","Pinguini Tattici Nucleari",108845,https://open.spotify.com/track/1P6TlFb8EVH2nCX3luVpZW
10,DÁKITI,"Bad Bunny",106122,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
11,"Mood (feat. iann dior)",24kGoldn,105405,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
12,Concedimi,"Matteo Romano",104496,https://open.spotify.com/track/0pFjYM7JdNJhjuooMgesks
13,"SPLASH (feat. Enzo Dong)","MV Killa",92802,https://open.spotify.com/track/0CjTQ01ADXx3BMO07LxpKx
14,Problemas,"Paris Boy",91096,https://open.spotify.com/track/2aQJOc2QUTdQl1J2Z9VxYO
15,"Pasticche (feat. Capo Plaza)",VillaBanks,88784,https://open.spotify.com/track/7KnC2wSD0I5Fju3A7qCFX8
16,"Chico (feat. Rose Villain & Luchè)",Guè,84987,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
17,"Head & Heart (feat. MNEK)","Joel Corry",84818,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
18,"A Un Passo Dalla Luna","Rocco Hunt",83791,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
19,"Hollywood (feat. Diplo)","Sfera Ebbasta",82040,https://open.spotify.com/track/4CvW0iHAs7yJhbpnJ3NSnS
20,"BELLA STORIA",Fedez,80987,https://open.spotify.com/track/0824Kyozhv4yBbM86aBFCG
21,Whoopty,CJ,78665,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
22,"$€ Freestyle","Sfera Ebbasta",78419,https://open.spotify.com/track/2j9wr1cxfYcMJoANfmoJA9
23,Hypnotized,"Purple Disco Machine",76643,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
24,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,75651,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
25,"Abracadabra (feat. Future)","Sfera Ebbasta",72908,https://open.spotify.com/track/0lSVjlxmAMSJGFSjVB1FtU
26,"Cuore Nero - prod. Frenetik&Orang3",Blind,72268,https://open.spotify.com/track/1MGReaXx6mzqSzOpeyhbHD
27,Famoso,"Sfera Ebbasta",71011,https://open.spotify.com/track/57pRUe152ADvLINx0or1m8
28,VENT'ANNI,Måneskin,69011,https://open.spotify.com/track/34r4voojt51Kk6ax5FJI1M
