,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",397692,https://open.spotify.com/track/1MtmXPxXP4ntSjfF5xnOyM
2,Chiasso,Random,320959,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
3,"Una volta ancora (feat. Ana Mena)","Fred De Palma",316538,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
4,"Fuori E Dentro (feat. tha Supreme)",Gemitaiz,285695,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm
5,Barrio,Mahmood,232842,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
6,"Non Avere Paura","Tommaso Paradiso",231724,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
7,Lento,"Boro Boro",230838,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
8,Bossoli,Shiva,221705,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
9,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",220190,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
10,"Cin Cin",Alfa,218732,https://open.spotify.com/track/0EThQdS5hqhByp2CLttKin
11,"MI AMI O NO (feat. Capo Plaza)",Giaime,217843,https://open.spotify.com/track/2UsAeEA2JH7kKSOflP23zY
12,"Dove e quando","Benji & Fede",206784,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h
13,"YOSHI (feat. tha Supreme, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]",MACHETE,193037,https://open.spotify.com/track/0VU34EBWTAlHVIZE3aWlZA
14,"Esagono (feat. Salmo)",Gemitaiz,185249,https://open.spotify.com/track/0Rsfm3UqHkNzKsb6L0Yz3Y
15,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,182285,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
16,"Mon Fre - feat. Emis Killa",Shiva,179068,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
17,"Dance Monkey","Tones And I",175431,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,"Margarita (con Marracash)",Elodie,173573,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
19,Lalala,Y2K,168614,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
20,"Na Na Na",Holden,167024,https://open.spotify.com/track/1cg6IqyZgBCU6P34gY161z
21,"Piccola Stella",Ultimo,163586,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
22,"Twerk (con Boro Boro)",MamboLosco,161863,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
23,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)","Charlie Charles",161720,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
24,"La hit dell'estate",Shade,154860,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
25,"Karate (feat. Mahmood)",Gemitaiz,153904,https://open.spotify.com/track/2OtQyoZSL78nBC4mUUKMav
26,Señorita,"Shawn Mendes",151175,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
27,"Fiori (feat. Marracash & Guè)",Gemitaiz,151102,https://open.spotify.com/track/0zlAKx6NDKKGWjWJE1AX1S
