,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Cupido (feat. Quavo)","Sfera Ebbasta",502331,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
2,"Cara Italia",Ghali,438696,https://open.spotify.com/track/7K8krdGeSIvwDGw1WUqJuK
3,Rockstar,"Sfera Ebbasta",430621,https://open.spotify.com/track/3js3wKPw8VxBWtcXtwyUnA
4,"Sciroppo (feat. DrefGold)","Sfera Ebbasta",429016,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6
5,"Ricchi x Sempre","Sfera Ebbasta",328350,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx
6,"Serpenti A Sonagli","Sfera Ebbasta",306133,https://open.spotify.com/track/5Z0Mx6SeUAFA2rgZB9t1Nu
7,Uber,"Sfera Ebbasta",249875,https://open.spotify.com/track/4oZhBLWGhtIyBckervj3sb
8,XNX,"Sfera Ebbasta",187635,https://open.spotify.com/track/0W2dRTfCkaanZgRimFEMay
9,"Centro (feat. Coez)",MadMan,186548,https://open.spotify.com/track/04hKEdR7G9CL9Y8nrx8oYd
10,Bancomat,"Sfera Ebbasta",182933,https://open.spotify.com/track/0AQgJrBY3l12K49HTvnT99
11,"20 Collane","Sfera Ebbasta",181114,https://open.spotify.com/track/6cj01yz96YqEgsMX15H6FN
12,Leggenda,"Sfera Ebbasta",171191,https://open.spotify.com/track/17bXwlGLFeAGCaIMBwjq5k
13,"Tran Tran","Sfera Ebbasta",163020,https://open.spotify.com/track/3cGuiySfwJPXqvE15OiEEg
14,Ipernova,Mr.Rain,154464,https://open.spotify.com/track/1TaSkLG2bXx84YuKmJvncw
15,"La musica non c'è",Coez,147859,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
16,"Irraggiungibile (feat. Federica Carta)",Shade,130962,https://open.spotify.com/track/03PDOt4cRKQgpYfA9I9wnC
17,Habibi,Ghali,114949,https://open.spotify.com/track/1lwpe8mLgHhytakM7m6R3W
18,"Havana (feat. Young Thug)","Camila Cabello",110317,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
19,"Échame La Culpa","Luis Fonsi",107991,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
20,"Leave a Light On","Tom Walker",97176,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
21,Perfect,"Ed Sheeran",94817,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
22,Chosen,Måneskin,92423,https://open.spotify.com/track/2lDgdWIGLYuk74pDeRPgPF
23,rockstar,"Post Malone",88302,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
24,"God's Plan",Drake,87136,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
25,"River (feat. Ed Sheeran)",Eminem,85986,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
26,PERDONAMI,Salmo,85795,https://open.spotify.com/track/7kK2m2KDEL0W8oFq6fuOcf
