,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"blun7 a swishland","tha Supreme",329168,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
2,"fuck 3x","tha Supreme",211487,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
3,"Dance Monkey","Tones And I",208212,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",172841,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
5,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)",Marracash,171900,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
6,"ANSIA NO","FSK SATELLITE",158392,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
7,"RITMO (Bad Boys For Life)","Black Eyed Peas",154542,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
8,"CRUDELIA - I nervi",Marracash,144099,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
9,"Pookie (feat. Capo Plaza) - Remix","Aya Nakamura",143378,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
10,"Soldi in Nero - feat. Sfera Ebbasta",Shiva,137017,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
11,"Tutto questo sei tu",Ultimo,119707,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
12,"CHARLES MANSON (BUON NATALE2) (feat. Lazza)",Salmo,116025,https://open.spotify.com/track/4z6l90HzhLLCd0hWddzbrh
13,"BRAVI A CADERE - I polmoni",Marracash,115143,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
14,Chiasso,Random,114485,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
15,"Holly & Benji (feat. Capo Plaza & Shiva)",AVA,113726,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
16,Falling,"Trevor Daniel",111071,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,"Una volta ancora (feat. Ana Mena)","Fred De Palma",108985,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
18,Barrio,Mahmood,108035,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
19,"Cin Cin",Alfa,107385,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
20,"m12ano - feat. Mara Sattei","tha Supreme",107087,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
21,"sw1n6o - feat. Salmo","tha Supreme",106206,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
22,Memories,"Maroon 5",106086,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,Bossoli,Shiva,102875,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
24,ROXANNE,"Arizona Zervas",100591,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
25,"Ayy Macarena",Tyga,97065,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
26,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)",Lazza,95288,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
27,"Non Avere Paura","Tommaso Paradiso",93036,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
28,"Twerk (con Boro Boro)",MamboLosco,92244,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
29,"Don't Start Now","Dua Lipa",91668,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
30,"occh1 purpl3 - feat. Marracash","tha Supreme",90619,https://open.spotify.com/track/7gRPkCEa3YMaxET5ZYT7Ni
31,m8nstar,"tha Supreme",85242,https://open.spotify.com/track/3vPXCd0uNm66sbDEDG5Vwd
32,Lento,"Boro Boro",85048,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
33,"Piccola Stella",Ultimo,84832,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
34,"GANG (feat. Geolier)","Samurai Jay",81967,https://open.spotify.com/track/2Yd6hF9rBSibtF4hlcnBEw
35,"Il tuo profumo","Fred De Palma",81861,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
36,"ch1 5ei te","tha Supreme",76932,https://open.spotify.com/track/0tRj4m46GRFrBS7IsbS0Gk
37,"Mon Fre - feat. Emis Killa",Shiva,75801,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
38,SCACCIACANI,Ketama126,75456,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
39,scuol4,"tha Supreme",75288,https://open.spotify.com/track/1V7hvLe3fpZTMoqKLkBDgW
40,"MADAME - L'anima (feat. Madame)",Marracash,75119,https://open.spotify.com/track/2wL96n9ToLGhekNTFrPhxj
41,"Dove e quando","Benji & Fede",74718,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
42,ENFASI,Sierra,73492,https://open.spotify.com/track/77VwA6u9JEb4WG5lWSkvU6
43,"YOSHI (feat. Fabri Fibra) - prod. Strage",MACHETE,72413,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
44,"La tua canzone",Coez,71869,https://open.spotify.com/track/4Z43nMEiOiNeDrqu2BN0JD
45,"no14 - feat. Dani Faiv","tha Supreme",71719,https://open.spotify.com/track/7KksdXBhdufqWDxGxyt4I7
46,"oh 9od - feat. Nayt","tha Supreme",70495,https://open.spotify.com/track/5Qy9jtZdxUnFXmgPp3u5VZ
47,Circles,"Post Malone",69055,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
