,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,malibu,sangiovanni,974811,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi
2,"ZITTI E BUONI",Måneskin,481255,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
3,Loca,"Aka 7even",478900,https://open.spotify.com/track/6uS2uan3JwpHko4E8Bg0UR
4,"NUOVO RANGE (con SFERA EBBASTA)",Rkomi,422249,https://open.spotify.com/track/3fxSSvnUS7ALxmhOckb7t6
5,lady,sangiovanni,379477,https://open.spotify.com/track/7wXb66O5ZZU77xtqNDH0gl
6,"PARTIRE DA TE",Rkomi,317338,https://open.spotify.com/track/43mGIsFZwISk1WWTcAK728
7,"Ti raggiungerò","Fred De Palma",314108,https://open.spotify.com/track/3Ks12KDKwrT1anFMW0tevG
8,"tutta la notte",sangiovanni,306931,https://open.spotify.com/track/7ftzLN04T6FZkVDdqjEukH
9,"I WANNA BE YOUR SLAVE",Måneskin,302832,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
10,"Las Vegas",Tancredi,281301,https://open.spotify.com/track/34fqJK3MV1eToqwBm6vo33
11,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,244085,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
12,"La genesi del tuo colore",Irama,243578,https://open.spotify.com/track/0HyDNYQmQ3obfA81D3y9tG
13,"Mi Manchi","Aka 7even",240804,https://open.spotify.com/track/7mWPjS3fX0ymPSrkDJrVaP
14,"Notti In Bianco",BLANCO,234316,https://open.spotify.com/track/38UoVEHcZ85EGBo6k79643
15,"0 passi",Deddy,227506,https://open.spotify.com/track/1feGbMzfkaybNk96cXcqnO
16,"Yo No Sé",Rvfv,223194,https://open.spotify.com/track/43ic0un1f9Nak0ZCQgvKjY
17,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,198296,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
