,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Amore e Capoeira","Takagi & Ketra",250542,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
2,Nera,Irama,248887,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
3,"D'estate non vale (feat. Ana Mena)","Fred De Palma",242031,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
4,Pablo,Rvssian,239346,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d
5,"Da zero a cento","Baby K",226197,https://open.spotify.com/track/4cQR1R25cpABjPMzpybNSQ
6,Rollercoaster,"Emis Killa",196065,https://open.spotify.com/track/2Qe5XpRwGHFmMkZim0gRye
7,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",191200,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
8,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",189218,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
9,"Felicità puttana",Thegiornalisti,183532,https://open.spotify.com/track/7iyhPEsF6Ea83e3eR87UjY
10,"Fotografia (feat. Francesca Michielin & Fabri Fibra)","Carl Brave",178368,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu
11,"The Ringer",Eminem,176938,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
12,"Te Boté - Remix","Nio Garcia",176139,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
13,"In My Feelings",Drake,172535,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
14,"Nero Bali",Elodie,171399,https://open.spotify.com/track/2hygc41DOo6dGocHEk6Jx1
15,"Moscow Mule","Benji & Fede",168462,https://open.spotify.com/track/1Lfjom9CoL5hIyvjYey9zs
16,"Davide (feat. Coez)",Gemitaiz,166614,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
17,Italiana,J-AX,165053,https://open.spotify.com/track/0ptaq4BSl6jrXfGyLzJjYE
18,"Lucky You (feat. Joyner Lucas)",Eminem,152049,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
19,"Faccio Quello Che Voglio","Fabio Rovazzi",141560,https://open.spotify.com/track/3ZSiGHNkkWgFInQqPEP0xb
20,"Solo (feat. Demi Lovato)","Clean Bandit",140266,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
21,"Non Ti Dico No",Boomdabash,133244,https://open.spotify.com/track/07Xuc7SQU2GAJY6Gnt93ub
22,"Jackie Chan",Tiësto,131513,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
23,"In My Mind",Dynoro,125583,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
24,Greatest,Eminem,122018,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
25,"Poesia senza veli",Ultimo,120913,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W
26,"Morirò da Re",Måneskin,117181,https://open.spotify.com/track/47LqR8uKRA8WcZcSXkdAbz
27,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,116499,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
28,"Mwaka Moon - Remix",Kalash,113129,https://open.spotify.com/track/1OGORI9Hx45AEYqxkndMhN
29,Malibu,"Vegas Jones",111872,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw
30,"One Kiss (with Dua Lipa)","Calvin Harris",111626,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
31,"Ne è valsa la pena (feat. Ghali)","Capo Plaza",111624,https://open.spotify.com/track/6GTCOWvhjvdk4pwlfrSjNO
32,"I Like It","Cardi B",110249,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
33,"Vaina Loca",Ozuna,104042,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
34,Kamikaze,Eminem,103527,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
35,"Peace & Love","Charlie Charles",102743,https://open.spotify.com/track/4BGmYEDOK1swwoxTtfmVZD
36,"La Cintura","Alvaro Soler",101626,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
37,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,98168,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
38,X,"Nicky Jam",95533,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
39,"Porto Cervo",Lazza,93308,https://open.spotify.com/track/0TAt3c8KXb1D3sWT8ENar8
40,SAD!,XXXTENTACION,92982,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
41,"Not Alike (feat. Royce Da 5'9)",Eminem,90378,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
42,Calypso,"Luis Fonsi",89981,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
43,"Uno squillo","Capo Plaza",89036,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
44,"Bella Giornata (prod. Dogslife, Mago del blocco) (feat. Dogslife & Mago del Blocco)","OG Eastbull",83550,https://open.spotify.com/track/76xea5TfeyVu8c4dGWpFD2
45,Simba,Ernia,83040,https://open.spotify.com/track/4yo8MP7l786kgyJQyyrwrX
46,Normal,Eminem,82423,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
47,British,"Dark Polo Gang",79651,https://open.spotify.com/track/3eIRxkHV1xKsSJ8WWFfGjE
