,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,Ridere,"Pinguini Tattici Nucleari",64517,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
54,"MACHETE SATELLITE (feat. Salmo, Taxi B & Greg Willen)","BLOODY VINYL",64451,https://open.spotify.com/track/3CHiuPXn9ufDJhVy1xI4Jf
55,"BIMBI PER STRADA (CHILDREN)",Fedez,64423,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
56,"TELEPHONE (feat. Capo Plaza & Sick Luke)","BLOODY VINYL",63876,https://open.spotify.com/track/0ejf33zIXZlhUnCKRMWx6q
57,Estate,Will,63704,https://open.spotify.com/track/2cE6O4O1P2nXRtUhpZVRdg
58,"Take You Dancing","Jason Derulo",63386,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
59,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,63339,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
60,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,59646,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
61,positions,"Ariana Grande",59196,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
62,"Se Te Nota (with Guaynaa)","Lele Pons",58422,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
63,"Blinding Lights","The Weeknd",58177,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
64,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",57838,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
65,"It's Beginning to Look a Lot like Christmas","Michael Bublé",57636,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
66,"VITTORIA - prod. Strage – Slait",Casadilego,57262,https://open.spotify.com/track/05gPdrxGchpTIxZ2FRNA5N
67,"Parli Parli (feat. Elodie)","Carl Brave",57107,https://open.spotify.com/track/0rDTJxpzN085tKKFpDVP3a
68,"Paloma (feat. Anitta)","Fred De Palma",57040,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
69,"SaN LoREnZo (feat. Annalisa) - prod. Yanomi",Alfa,56947,https://open.spotify.com/track/0sTiM4EWUkJe1em8SZCs8t
70,"Tick Tock (feat. 24kGoldn)","Clean Bandit",55808,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
71,"Watermelon Sugar","Harry Styles",55692,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
72,"Resta Cu Me - feat. Ketama126","Nicola Siciliano",55398,https://open.spotify.com/track/6rmf2cJ9HM4kZpnKzpdm1e
73,"Prisoner (feat. Dua Lipa)","Miley Cyrus",55215,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
74,"CRUDELIA - I nervi",Marracash,54647,https://open.spotify.com/track/5dsz7MTrNdN9aMTrnp7sOG
75,"La storia infinita","Pinguini Tattici Nucleari",54499,https://open.spotify.com/track/0XAO6HaZDHa2HxbnWWKWCZ
76,Lacri-ma,Gazzelle,53934,https://open.spotify.com/track/0N6QZADGv1zv3JbVIX6ctx
77,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",53847,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
78,"Via di qua (feat. Mr. Rain)",J-AX,52680,https://open.spotify.com/track/1IfUEsJO6WzC9RCoIwVMIO
79,"ALYX (feat. Capo Plaza)",Lazza,52318,https://open.spotify.com/track/5ifarM7jfplX1EqkqMHlDq
80,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",52251,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
81,"Alright (feat. Emis Killa, Geolier)",Gemitaiz,52168,https://open.spotify.com/track/7hhg8fAx3sc2zOOW028BLs
82,"0ffline (feat. bbno$)","tha Supreme",52004,https://open.spotify.com/track/6ZWsKJdmoYu1oFJbzCmtK9
83,"L'ultima volta - feat. Massimo Pericolo","Emis Killa",51496,https://open.spotify.com/track/3rOw9WmYFCRLHTRcbOjhUl
84,"Good Times",Ghali,51453,https://open.spotify.com/track/3vgclHni3T3qu7ZXz8idsk
85,"SBALLO SHALLO - feat. Salmo","Vegas Jones",51320,https://open.spotify.com/track/2vGrTgyxyIpjg8ziukBiDf
86,"WEEKEND (feat. Lazza, Madame & Massimo Pericolo)","BLOODY VINYL",50972,https://open.spotify.com/track/1FVZhwZiab6cEAxAOS9j5v
87,"Fiori di Chernobyl",Mr.Rain,50771,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
88,"Per sentirmi vivo",Fasma,50424,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
89,"Lonely (with benny blanco)","Justin Bieber",50273,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
90,Louboutin,"Vale pain",50007,https://open.spotify.com/track/7fzaDe7qR6IX2w275uX4Th
91,Capo,Geolier,49920,https://open.spotify.com/track/7A9lnmpkWR2tPkcPWGbMqo
92,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,48759,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
93,"Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)","Achille Lauro",48597,https://open.spotify.com/track/5i12eplaUT5pPE5iC6B2FZ
94,"The Business",Tiësto,47249,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
95,"BABY (feat. Rosa Chemical)","BLOODY VINYL",46424,https://open.spotify.com/track/3jtMheZu2P0tbWzAYYWhvS
96,"blun7 a swishland","tha Supreme",46371,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
97,Karaoke,Boomdabash,45849,https://open.spotify.com/track/0D4GpOPInKiPxEfQMchu4p
98,"Deep End",Fousheé,45165,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
99,"25 ore RMX (feat. Ernia & Shablo)",Guè,44874,https://open.spotify.com/track/0Q7Y2E8cj8uvNXI3hs9Mvc
100,MIA,Lortex,44838,https://open.spotify.com/track/1SIl1FBbHmGa4PmJu5q6Lm
101,Diamonds,"Sam Smith",44662,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
