,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Un Passo Dalla Luna","Rocco Hunt",407064,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
2,Superclassico,Ernia,370912,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
3,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,343516,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
4,"Chico (feat. Rose Villain & Luchè)",Guè,333861,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
5,Mediterranea,Irama,319870,https://open.spotify.com/track/2Up8QSKRV7WnZxZAQasEUq
6,"Paloma (feat. Anitta)","Fred De Palma",288290,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
7,Hypnotized,"Purple Disco Machine",263411,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
8,Karaoke,Boomdabash,257027,https://open.spotify.com/track/0D4GpOPInKiPxEfQMchu4p
9,"BIMBI PER STRADA (CHILDREN)",Fedez,248712,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
10,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,246007,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
11,"Non mi basta più (feat. Chiara Ferragni)","Baby K",229337,https://open.spotify.com/track/5ZUeBvBEH8hpdLMW3yCmHb
12,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)","Takagi & Ketra",213950,https://open.spotify.com/track/2YGqtxaGdML9aM5jCwgRw9
13,Spigoli,"Carl Brave",211072,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
14,Autostop,Shade,210953,https://open.spotify.com/track/5ZgeeXOHGYUn0K3kuICyw9
15,"Breaking Me",Topic,210281,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
16,"Savage Love (Laxed - Siren Beat)","Jawsh 685",191615,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
17,"0ffline (feat. bbno$)","tha Supreme",190190,https://open.spotify.com/track/6ZWsKJdmoYu1oFJbzCmtK9
18,"Sono un bravo ragazzo un po' fuori di testa",Random,183732,https://open.spotify.com/track/5EXLYWZGnmYC01H53WUAhi
19,"Il bacio di Klimt","Emanuele Aloia",182937,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
20,"Good Times",Ghali,175212,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
21,Guaranà,Elodie,165902,https://open.spotify.com/track/1KXpcoggYmNTPCRXIz2m9Z
22,"TesTa TrA Le NuVoLE, pT. 2 – prod. Yanomi",Alfa,161246,https://open.spotify.com/track/04UtYEP1Jc0GRxbvH1B6Nk
23,Caramelo,Ozuna,160440,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
24,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,154528,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
25,MAMACITA,"Black Eyed Peas",154420,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
26,"Watermelon Sugar","Harry Styles",153003,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,"La storia infinita","Pinguini Tattici Nucleari",147829,https://open.spotify.com/track/0XAO6HaZDHa2HxbnWWKWCZ
28,"ELEGANTE (feat. Sfera Ebbasta)",DrefGold,147593,https://open.spotify.com/track/7qADAhkEs9vv3ll4hP8ybC
29,Portofino,"Il Pagante",144524,https://open.spotify.com/track/6xc77qJbTNh3yQzSopZEuw
30,"Djadja (feat. Maluma) - Remix","Aya Nakamura",144366,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
31,Capo,Geolier,141565,https://open.spotify.com/track/7A9lnmpkWR2tPkcPWGbMqo
32,Ridere,"Pinguini Tattici Nucleari",140235,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
33,"Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)","Achille Lauro",138005,https://open.spotify.com/track/3Oc9ywNtQuuutK3ovrYIfe
34,"Fuego Del Calor (feat. Ozuna, Tyga & Capo Plaza)","Scott Storch",130064,https://open.spotify.com/track/7FX4EvQht57zUc2P313cEZ
