,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La musica non c'è",Coez,113722,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
2,"Havana (feat. Young Thug)","Camila Cabello",93984,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3,"Irraggiungibile (feat. Federica Carta)",Shade,91432,https://open.spotify.com/track/03PDOt4cRKQgpYfA9I9wnC
4,Perfect,"Ed Sheeran",85414,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
5,rockstar,"Post Malone",84202,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
6,PERDONAMI,Salmo,69789,https://open.spotify.com/track/7kK2m2KDEL0W8oFq6fuOcf
7,"Me Rehúso","Danny Ocean",66428,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
8,"New Rules","Dua Lipa",62988,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
9,"Échame La Culpa","Luis Fonsi",62148,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
10,"Giovane Fuoriclasse","Capo Plaza",61387,https://open.spotify.com/track/4f7xpneUOcob0RoRyae6ax
11,Chosen,Måneskin,60996,https://open.spotify.com/track/2lDgdWIGLYuk74pDeRPgPF
12,Habibi,Ghali,55971,https://open.spotify.com/track/1lwpe8mLgHhytakM7m6R3W
13,"More Than You Know","Axwell /\ Ingrosso",54950,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
14,"Shape of You","Ed Sheeran",54898,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
15,"River (feat. Ed Sheeran)",Eminem,54125,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
16,"What Lovers Do (feat. SZA)","Maroon 5",54009,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
17,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",52894,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
18,"Sconosciuti da una vita",J-AX,52377,https://open.spotify.com/track/2x82H3RSJRRQKZDMFlIpG3
19,"L'amore è","Enrico Nigiotti",49897,https://open.spotify.com/track/0iOHkI1AyDXfDeoXEFaP2e
20,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,49208,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
21,Thunder,"Imagine Dragons",47484,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
22,"Leave a Light On","Tom Walker",46905,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
23,"Faccio un casino",Coez,46659,https://open.spotify.com/track/6qNXkVk19OYLu4CoqjDfZ0
24,"Le luci della città",Coez,46646,https://open.spotify.com/track/381VH1JFj9q08V1OMlPU5m
25,"Something Just Like This","The Chainsmokers",45907,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
26,"Mi Gente","J Balvin",45420,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
27,Fuori,Gemitaiz,44572,https://open.spotify.com/track/2TgKrHaHbkAV8EGJWH4zJM
28,"Whatever It Takes","Imagine Dragons",44216,https://open.spotify.com/track/4IWAyPf1KMq7JCyGeCjTeH
29,"Tran Tran","Sfera Ebbasta",43914,https://open.spotify.com/track/1S2VLr8j9KVbroLn76RF4i
30,"Perfect Symphony (Ed Sheeran & Andrea Bocelli)","Ed Sheeran",43721,https://open.spotify.com/track/3zl7j5ua8mF4JDYuxrfo01
31,"La legge del più forte",Tedua,43582,https://open.spotify.com/track/31ZxBLg6StdqVkvNAZ1eRu
32,"Gucci Gang","Lil Pump",42957,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
33,Nevermind,"Dennis Lloyd",42783,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
34,"El Party","Jake La Furia",41317,https://open.spotify.com/track/5xyExId5XWZplBvjmbIuy6
35,Wolves,"Selena Gomez",40072,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
36,Orgasmo,"Calcutta ",40046,https://open.spotify.com/track/5G22c0zkJae5EzQRyx3blf
37,"Stavo Pensando A Te","Fabri Fibra",38661,https://open.spotify.com/track/6cjyaU5VscMdHi69q2w5Fo
38,"Ti Fa Stare Bene",Caparezza,38378,https://open.spotify.com/track/4nnu4hEwa5oejaEMpizXxY
39,"Galway Girl","Ed Sheeran",37523,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
40,Magicabula,"JUNIOR CALLY",37498,https://open.spotify.com/track/0wBlRxVSWAPgezz4ZYDrGT
41,"Favorisca i sentimenti",J-AX,37473,https://open.spotify.com/track/6T7auXdjnEFnifaWc796YQ
42,"Guarda come flexo",MamboLosco,37374,https://open.spotify.com/track/7pNSr2gQMVghpTcZvQUroa
43,Poetica,"Cesare Cremonini",37306,https://open.spotify.com/track/6m7ia7vhUezCfa1xWusWSF
44,"There's Nothing Holdin' Me Back","Shawn Mendes",37234,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
45,"Too Good At Goodbyes","Sam Smith",36667,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
46,"Come neve",Giorgia,35916,https://open.spotify.com/track/7flx8835YXeRbhFBGaZ42g
47,"Katchi - Ofenbach vs. Nick Waterhouse",Ofenbach,34263,https://open.spotify.com/track/2NF8A7C6tICScdRaZ0BrEe
