,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MI FAI IMPAZZIRE",BLANCO,565745,https://open.spotify.com/track/1x3Qb8np6S1UvpSLthwEJN
2,"Notti In Bianco",BLANCO,455145,https://open.spotify.com/track/38UoVEHcZ85EGBo6k79643
3,"STAY (with Justin Bieber)","The Kid LAROI",394045,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"NUOVO RANGE (con SFERA EBBASTA)",Rkomi,354508,https://open.spotify.com/track/3fxSSvnUS7ALxmhOckb7t6
5,Paraocchi,BLANCO,352514,https://open.spotify.com/track/3c1hhyuDTsP3hqRztpg2S5
6,malibu,sangiovanni,334013,https://open.spotify.com/track/4p0o4pBoJPxYMXKhYbRzzw
7,"MILLE – feat. Orietta Berti",Fedez,312357,https://open.spotify.com/track/6qdMhG7pRFi0csRlFGvLE4
8,"uNa DiReZioNe giUsTa","yungest Moonstar",291123,https://open.spotify.com/track/1ktyKCzfI8hooCJP3X2yP5
9,"PARTIRE DA TE",Rkomi,287849,https://open.spotify.com/track/43mGIsFZwISk1WWTcAK728
10,MAKUMBA,Noemi,280759,https://open.spotify.com/track/2opRyiaqpnQCH0jfCY9Wjd
11,"Un bacio all'improvviso","Rocco Hunt",276501,https://open.spotify.com/track/4iMigesJsEKt8JczIwUrBO
12,"Bad Habits","Ed Sheeran",255240,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
13,"L'ultima notte",ARIETE,254213,https://open.spotify.com/track/63mdY4U0KvnbMkUEc7FHN8
14,MAREA,Madame,253680,https://open.spotify.com/track/7BKGYx89QYgfdnpVo3zapq
15,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",249259,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
16,"LUNA PIENA (con IRAMA)",Rkomi,245136,https://open.spotify.com/track/7xtDBQTR47nZwpBRu6pOdO
17,"Scrivile Scemo","Pinguini Tattici Nucleari",228260,https://open.spotify.com/track/71r3UlkV7sWvUYjas5paqi
18,"I WANNA BE YOUR SLAVE",Måneskin,223405,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
19,"Movimento lento (feat. Federico Rossi)",Annalisa,219576,https://open.spotify.com/track/3H6wIwh1C3GVJI0LaWQF7P
20,"Un altro ballo (feat. Anitta)","Fred De Palma",214193,https://open.spotify.com/track/0pmtvLQaPHx6nqZmi2KDbr
21,"Drippin' in Milano",ANNA,203491,https://open.spotify.com/track/1TrjxEcRPHvaLF3saKCSs4
22,Pistolero,"Elettra Lamborghini",199772,https://open.spotify.com/track/6Y3E68GAhdvbJramkIOKJK
23,Loca,"Aka 7even",191489,https://open.spotify.com/track/6uS2uan3JwpHko4E8Bg0UR
24,"Mohicani (feat. Baby K)",Boomdabash,189693,https://open.spotify.com/track/5Wml9i3afqwcm8UNDD1GXw
25,"Ma stasera","Marco Mengoni",189121,https://open.spotify.com/track/0k6Ru4EOidm7czaSvDjTX1
26,Beggin',Måneskin,187165,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
27,"Melodia proibita",Irama,183226,https://open.spotify.com/track/3WZ0y6ycgr5PpOeygirDvu
28,"Never Going Home",Kungs,179726,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
29,"Tuttecose (feat. Mara Sattei)",Gazzelle,177399,https://open.spotify.com/track/6KLjClrXcuXiX4PWGHtmDk
30,Pepas,Farruko,165876,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
31,"Angelina Jolie",Bresh,163674,https://open.spotify.com/track/0tD4EXZRm1JGDYWtKYFLWK
32,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,163228,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
33,"Non è mai troppo tardi","Federico Rossi",159235,https://open.spotify.com/track/0tsYxB1pizmaX2jEd5XVar
34,Loco,"Justin Quiles",152281,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
35,"In Da Getto","J Balvin",146207,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
36,STUPIDO,"Massimo Pericolo",144219,https://open.spotify.com/track/6HVRRlc2sBlkcKEkhlsp86
37,"Open Bar","Il Pagante",140847,https://open.spotify.com/track/3EyZw5sCXxOkE8EWsOIkB1
38,"Ti raggiungerò","Fred De Palma",139843,https://open.spotify.com/track/3cqu5fPwdsXZHIRpDeXPoh
39,Salsa,J-AX,138350,https://open.spotify.com/track/5lHIcwvuMNAWRP8OQwpou7
40,"Yo No Sé",Rvfv,138078,https://open.spotify.com/track/43ic0un1f9Nak0ZCQgvKjY
41,"In un'ora",Shade,137275,https://open.spotify.com/track/2g7xewu0kXt7Uo3X8MBlgj
42,Run,OneRepublic,136676,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
43,"10 RAGAZZE (con ERNIA)",Rkomi,135802,https://open.spotify.com/track/4rstEjIOddR5CuzzLv2bhS
44,Hurricane,"Kanye West",133317,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
45,lady,sangiovanni,124982,https://open.spotify.com/track/1h9HxkDH67X8cig593BBOb
46,"ZITTI E BUONI",Måneskin,121777,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
47,"SHIMMY SHIMMY","Takagi & Ketra",121607,https://open.spotify.com/track/1stFp5p3h2svKierTqfEN6
48,"Rompo (feat. Boro Boro)",VillaBanks,115958,https://open.spotify.com/track/4oPh7HAoMR1bLBbxwqKmgn
49,"Todo De Ti","Rauw Alejandro",106037,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
50,"Qué Más Pues?","J Balvin",104412,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
51,Thunder,"Gabry Ponte",103418,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
52,"Ferma A Guardare (feat. Pinguini Tattici Nucleari)",Ernia,103382,https://open.spotify.com/track/1eDC4NiUYgQSKpKDIvXxi4
53,"MONTERO (Call Me By Your Name)","Lil Nas X",101842,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
54,"Off The Grid","Kanye West",101760,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
55,"Ma Chérie (feat. Capo Plaza)","Baby Gang",100328,https://open.spotify.com/track/56oawXplSFrfIJSyZjBgez
56,"Ladro Di Fiori",BLANCO,100297,https://open.spotify.com/track/2vsxduDEhjLTFcxd0hSVv5
57,Jail,"Kanye West",99040,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK
58,Woman,"Doja Cat",98568,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
59,"Las Vegas",Tancredi,98427,https://open.spotify.com/track/34fqJK3MV1eToqwBm6vo33
60,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,97190,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
61,"Dancing On Dangerous (feat. Sofía Reyes)",Imanbek,96438,https://open.spotify.com/track/6OYZvwKN8GaauTrJS1TuuH
62,"ONLYFANS (feat. MamboLosco)",Slings,95314,https://open.spotify.com/track/1FAhWNoesPUUfBSl8fSe4L
63,Ridere,"Pinguini Tattici Nucleari",94026,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
64,"Bongo Cha Cha Cha",Goodboys,91906,https://open.spotify.com/track/7J4zszAZxAyowZp7gNUIUI
65,"Love Again","Dua Lipa",89247,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
66,"Meglio di sera (feat. Álvaro De Luna & Astol)","Emma Muscat",88991,https://open.spotify.com/track/6SRvdgAhYkPso4J09N23fC
67,"Need to Know","Doja Cat",88508,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
68,"Body (Remix) [feat. Capo Plaza & Rondodasosa]","Tion Wayne",84949,https://open.spotify.com/track/1JAkXiY10vwLhSbcsiimrp
69,"Your Love (9PM)",ATB,83768,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
70,"Don't Go Yet","Camila Cabello",83546,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
71,"Praise God","Kanye West",82984,https://open.spotify.com/track/0Zm7NKJgoKY6ZWwtoEUILK
72,"Take My Breath - Single Version","The Weeknd",80138,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
73,"Iko Iko (My Bestie)","Justin Wellington",79237,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
74,Superclassico,Ernia,77639,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
75,Destri,Gazzelle,77628,https://open.spotify.com/track/53LX6p75hOcCtAelMDyB8B
76,"good 4 u","Olivia Rodrigo",76634,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
77,"La genesi del tuo colore",Irama,76202,https://open.spotify.com/track/0HyDNYQmQ3obfA81D3y9tG
78,"DIECIMILAVOCI (con ARIETE)",Rkomi,74192,https://open.spotify.com/track/2u2ZTMuRZx0UG7g7w4J76R
