,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Karaoke,Boomdabash,586724,https://open.spotify.com/track/0D4GpOPInKiPxEfQMchu4p
2,Mediterranea,Irama,519857,https://open.spotify.com/track/47xPl1gvgdx4Z9dNUuloPg
3,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,513963,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
4,"Sono un bravo ragazzo un po' fuori di testa",Random,346943,https://open.spotify.com/track/5EXLYWZGnmYC01H53WUAhi
5,MAMACITA,"Black Eyed Peas",325607,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
6,"Non mi basta più (feat. Chiara Ferragni)","Baby K",315579,https://open.spotify.com/track/5ZUeBvBEH8hpdLMW3yCmHb
7,"Good Times",Ghali,292798,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
8,Superclassico,Ernia,292565,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
9,"Breaking Me",Topic,281696,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
10,"BIMBI PER STRADA (CHILDREN)",Fedez,275119,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
11,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,251475,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
12,"Chico (feat. Rose Villain & Luchè)",Guè,249038,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
13,"Il bacio di Klimt","Emanuele Aloia",248233,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
14,Guaranà,Elodie,239877,https://open.spotify.com/track/1KXpcoggYmNTPCRXIz2m9Z
15,"ELEGANTE (feat. Sfera Ebbasta)",DrefGold,235307,https://open.spotify.com/track/7qADAhkEs9vv3ll4hP8ybC
16,"Immortale (feat. Sfera Ebbasta)",Guè,232605,https://open.spotify.com/track/2bF1qPRPlrODKWFMGtQXq1
17,"Cyborg (feat. Geolier)",Guè,229306,https://open.spotify.com/track/54wRUYPMEHLttFdLImOlAt
18,Spigoli,"Carl Brave",227450,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
19,"Savage Love (Laxed - Siren Beat)","Jawsh 685",225693,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
20,"TesTa TrA Le NuVoLE, pT. 2 – prod. Yanomi",Alfa,223340,https://open.spotify.com/track/04UtYEP1Jc0GRxbvH1B6Nk
21,"Medellin (feat. Lazza)",Guè,210268,https://open.spotify.com/track/1hqV0kb6c8Rp9jvJRPcDy7
22,"Como Llora",Juanfran,200213,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
23,"Ti Levo Le Collane (feat. Paky)",Guè,196898,https://open.spotify.com/track/48NEryJWd2W3T6V6yKHzz6
24,"Nena (feat. Geolier & Andry The Hitmaker)","Boro Boro",189046,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
25,"Roses - Imanbek Remix","SAINt JHN",187930,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
26,"Tardissimo (feat. Mahmood & Marracash)",Guè,180558,https://open.spotify.com/track/4P3ZKz4tnPiaGIflQElKgJ
27,Chega,Gaia,169533,https://open.spotify.com/track/76w5oLSdgYvA0Bt4dTUe0Z
28,Saigon,Guè,164657,https://open.spotify.com/track/0nd1tWz1bmTQ2ObCnZCLV9
29,Tusa,"KAROL G",164056,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
30,"death bed (coffee for your head)",Powfu,158294,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
31,"Una voglia assurda",J-AX,155917,https://open.spotify.com/track/2MLz3Pgc9NwNrMfOlILmKt
32,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)","Takagi & Ketra",155075,https://open.spotify.com/track/2YGqtxaGdML9aM5jCwgRw9
33,"Puro Sinaloa (feat. Tedua, Rkomi & Lazza)",Ernia,154890,https://open.spotify.com/track/5E75l3Zb0vzdiDNJczr29z
34,"Fiori di Chernobyl",Mr.Rain,150239,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
35,"Auto Blu",Shiva,147000,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
36,"Polvere (feat. Capo Plaza)",Tedua,144580,https://open.spotify.com/track/0ZzXPo0gS5h718w7WErG44
37,Autostop,Shade,140959,https://open.spotify.com/track/5ZgeeXOHGYUn0K3kuICyw9
38,"Kings & Queens","Ava Max",130636,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
39,"Il Tipo",Guè,130560,https://open.spotify.com/track/6YOLMt6WZAuojclLoNOXaB
40,GOOBA,6ix9ine,128387,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
41,Ridere,"Pinguini Tattici Nucleari",127297,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
