,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Amore e Capoeira","Takagi & Ketra",411241,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
2,Nera,Irama,367569,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
3,Italiana,J-AX,286318,https://open.spotify.com/track/0ptaq4BSl6jrXfGyLzJjYE
4,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",284273,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
5,"Davide (feat. Coez)",Gemitaiz,227539,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
6,"Da zero a cento","Baby K",223580,https://open.spotify.com/track/4cQR1R25cpABjPMzpybNSQ
7,"La Cintura","Alvaro Soler",206367,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
8,"Fotografia (feat. Francesca Michielin & Fabri Fibra)","Carl Brave",197733,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu
9,SAD!,XXXTENTACION,193091,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
10,"Peace & Love","Charlie Charles",192776,https://open.spotify.com/track/4BGmYEDOK1swwoxTtfmVZD
11,X,"Nicky Jam",177290,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
12,"One Kiss (with Dua Lipa)","Calvin Harris",168821,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
13,"Morirò da Re",Måneskin,155851,https://open.spotify.com/track/47LqR8uKRA8WcZcSXkdAbz
14,Malibu,"Vegas Jones",154020,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw
15,"Questa nostra stupida canzone d'amore",Thegiornalisti,150018,https://open.spotify.com/track/2LYt5nf0m90Bz8fuudLQd1
16,"Non Ti Dico No",Boomdabash,147260,https://open.spotify.com/track/07Xuc7SQU2GAJY6Gnt93ub
17,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,147151,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
18,British,"Dark Polo Gang",146098,https://open.spotify.com/track/3eIRxkHV1xKsSJ8WWFfGjE
19,"Te Boté - Remix","Nio Garcia",144767,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
20,Crazy,"Lost Frequencies",127539,https://open.spotify.com/track/2hqy4QmpvMeVz6zeolDeLQ
21,"Mwaka Moon - Remix",Kalash,123840,https://open.spotify.com/track/1OGORI9Hx45AEYqxkndMhN
22,"Ne è valsa la pena (feat. Ghali)","Capo Plaza",121920,https://open.spotify.com/track/6GTCOWvhjvdk4pwlfrSjNO
23,"Cupido (feat. Quavo)","Sfera Ebbasta",119763,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
24,Flames,"David Guetta",117785,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
25,"Felicità puttana",Thegiornalisti,113268,https://open.spotify.com/track/7iyhPEsF6Ea83e3eR87UjY
26,"Don’t Matter To Me",Drake,109300,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
27,Dura,"Daddy Yankee",109105,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
28,Rollercoaster,"Emis Killa",105902,https://open.spotify.com/track/2Qe5XpRwGHFmMkZim0gRye
29,"Solo (feat. Demi Lovato)","Clean Bandit",101712,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
30,"Moscow Mule","Benji & Fede",100315,https://open.spotify.com/track/1Lfjom9CoL5hIyvjYey9zs
31,"Pem Pem","Elettra Lamborghini",98546,https://open.spotify.com/track/6NprDUe0yiLIVGgcnFGgtq
32,"God's Plan",Drake,98203,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
33,Moonlight,XXXTENTACION,94026,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
34,"Torna Da Me",Luchè,91392,https://open.spotify.com/track/5iSHLCuc0K3pUW16b7sSP4
35,"Cara Italia",Ghali,89970,https://open.spotify.com/track/3atDsUhlUgDlQQrI0XFh7I
36,"Échame La Culpa","Luis Fonsi",89020,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
37,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",88205,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
38,"Me Niego (feat. Ozuna & Wisin)",Reik,87927,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
