,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"NUOVO RANGE (con SFERA EBBASTA)",Rkomi,411023,https://open.spotify.com/track/3fxSSvnUS7ALxmhOckb7t6
2,lady,sangiovanni,316943,https://open.spotify.com/track/2uyQXAGGwHuQVsu04OTVsB
3,"Mi manchi","Aka 7even",316699,https://open.spotify.com/track/5Q47Vr7OH4XdXR6tqdwTE2
4,"10 RAGAZZE (con ERNIA)",Rkomi,295633,https://open.spotify.com/track/4rstEjIOddR5CuzzLv2bhS
5,VOCE,Madame,274331,https://open.spotify.com/track/4ylL1oPx1rY1yFivslLFOR
6,"PARTIRE DA TE",Rkomi,259495,https://open.spotify.com/track/43mGIsFZwISk1WWTcAK728
7,"tutta la notte",sangiovanni,257276,https://open.spotify.com/track/32SclbEhaMKvlMbncpy8W2
8,"LUNA PIENA (con IRAMA)",Rkomi,248293,https://open.spotify.com/track/7xtDBQTR47nZwpBRu6pOdO
9,"DIECIMILAVOCI (con ARIETE)",Rkomi,247583,https://open.spotify.com/track/2u2ZTMuRZx0UG7g7w4J76R
10,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,246176,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
11,"HO SPENTO IL CIELO (con TOMMASO PARADISO)",Rkomi,239331,https://open.spotify.com/track/0O4g4sRSY8SmVu95k5z9mq
12,"La genesi del tuo colore",Irama,235841,https://open.spotify.com/track/0HyDNYQmQ3obfA81D3y9tG
13,"Musica leggerissima",Colapesce,234569,https://open.spotify.com/track/67qxSUoyng1ohzvfyOyNWW
14,"MONTERO (Call Me By Your Name)","Lil Nas X",232914,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
15,"0 passi",Deddy,232372,https://open.spotify.com/track/7kbWJ8cCpn2IlsQTEagWi7
16,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,231783,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
17,"ME O LE MIE CANZONI? (con GAZZELLE)",Rkomi,231733,https://open.spotify.com/track/6ejXRb28P9wvSU4CRdIcbm
18,"Ti raggiungerò","Fred De Palma",217890,https://open.spotify.com/track/3Ks12KDKwrT1anFMW0tevG
19,"CANCELLI DI MEZZANOTTE (con CHIELLO)",Rkomi,207897,https://open.spotify.com/track/3tWjdQHkeqgFQCydN5N241
20,"Buongiorno vita",Ultimo,199881,https://open.spotify.com/track/0IxDw5m8XyFBnrCXAppF53
21,"PARADISO VS. INFERNO (INTERLUDE) (con ROSHELLE)",Rkomi,192132,https://open.spotify.com/track/1hNmQc9kFq67hSxA92ODcE
22,"Yo No Sé",Rvfv,178911,https://open.spotify.com/track/43ic0un1f9Nak0ZCQgvKjY
23,"SOPRA LE CANZONI (con DARDUST)",Rkomi,177919,https://open.spotify.com/track/4ROnDd2DPnce7w44tt6YVO
24,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",177732,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
25,"Las Vegas",Tancredi,175482,https://open.spotify.com/track/7jQjC63euHxAuB9ZEo8Bw1
26,"MARE CHE NON SEI (con GAIA)",Rkomi,168122,https://open.spotify.com/track/3aiuFr7ABrrRo2qJhZ6AEA
27,"ZITTI E BUONI",Måneskin,161256,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
28,"FANTASMI (feat. Geolier & Marracash)",TY1,158397,https://open.spotify.com/track/3uNEz1wYbu8s34jKDVVhMs
29,"TAXI DRIVER",Rkomi,156500,https://open.spotify.com/track/6LbluAYZw4tTjLPyucyH5I
30,"CHIAMAMI PER NOME","Francesca Michielin",155616,https://open.spotify.com/track/0ZqHo6eTBHUcOVjZzPvftT
31,"Ferma A Guardare (feat. Pinguini Tattici Nucleari)",Ernia,152682,https://open.spotify.com/track/1eDC4NiUYgQSKpKDIvXxi4
32,"Your Love (9PM)",ATB,148364,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
33,Dieci,Annalisa,145569,https://open.spotify.com/track/3RqausOoS1TMLly9Q12JgT
34,"SOLO CON ME (con TOMMY DALI)",Rkomi,145015,https://open.spotify.com/track/11M65eBc6Nn2Xz4sSqp74t
35,DUBAI,Rondodasosa,140271,https://open.spotify.com/track/57GZGMVY9ivqEqKIDPA1HK
36,Parlami,Fasma,135503,https://open.spotify.com/track/00QN58Gx571pB1MEuBAcmL
37,"Fiamme negli occhi",Coma_Cose,130940,https://open.spotify.com/track/60nw7bwqYjVsrccNjF6TMO
38,"Hecha Pa' Mi",Boza,129636,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
39,"Il Cielo Contromano",Deddy,127303,https://open.spotify.com/track/2zE2D5b8xKpdsVyWM2vlTt
40,Glicine,Noemi,115458,https://open.spotify.com/track/3oTNtTmOOekaUDvDiqM4br
41,Meteoriti,Mr.Rain,115147,https://open.spotify.com/track/1Lf1F7qEOS4O4wl9l8lmUq
42,"Astronaut In The Ocean","Masked Wolf",109136,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
43,Lifestyle,Guè,106863,https://open.spotify.com/track/20XT7TO32dN1s9xtowLPuR
44,"Envidioso (feat. Morad)","Capo Plaza",106272,https://open.spotify.com/track/4jEPGkpoaINmlOYGVs79Ok
45,Superclassico,Ernia,105155,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
46,"Smith & Wesson Freestyle (feat. Marracash)",Guè,104347,https://open.spotify.com/track/596fQREtpVHWRl3xCmVhEM
47,BED,"Joel Corry",99517,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
48,"Venere e Marte (feat. Marco Mengoni, Frah Quintale)","Takagi & Ketra",99341,https://open.spotify.com/track/4O3sAZoZDIhNRcfHNuU4Ps
49,"Follow You","Imagine Dragons",94861,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
50,"Non Fare Così","Capo Plaza",92775,https://open.spotify.com/track/769M2rTiAoL7x2lKDHLjRa
51,"Notti In Bianco",BLANCO,91033,https://open.spotify.com/track/38UoVEHcZ85EGBo6k79643
52,"Your Power","Billie Eilish",90076,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
53,hype,sangiovanni,89527,https://open.spotify.com/track/5TpiEQwR25UTdvIGh6Zdz1
54,INTRO,Rkomi,87148,https://open.spotify.com/track/7JW6Lv3deDmYmUP6785FU1
55,MARILÙ,"Achille Lauro",87093,https://open.spotify.com/track/7JlPKH9G2KLUzJlfFFAxEO
56,Amare,"La rappresentante di lista",86553,https://open.spotify.com/track/6hhuex6bSsCfgDffHJmRo9
57,"No Cap (feat. Geolier)","Emis Killa",86200,https://open.spotify.com/track/3uqFFmxrCv4nzkKFSNbXHv
58,"Scooby Doo","Pinguini Tattici Nucleari",85503,https://open.spotify.com/track/1P6TlFb8EVH2nCX3luVpZW
59,"Sorriso Grande","Alessandra Amoroso",83924,https://open.spotify.com/track/7um5BZo08PrrB87Itmml9V
60,"A Un Passo Dalla Luna","Rocco Hunt",83641,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
61,"L'urlo di Munch","Emanuele Aloia",83218,https://open.spotify.com/track/4pWFqZNa1THbgHcAo8u4p9
62,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",83165,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
63,"Alex (feat. Lazza & Salmo)",Guè,81196,https://open.spotify.com/track/6VjVQnDH8wXVhVhGx2sF0r
64,Destri,Gazzelle,80942,https://open.spotify.com/track/53LX6p75hOcCtAelMDyB8B
65,"Champagne 4 The Pain (feat. Gemitaiz & Noyz Narcos)",Guè,79519,https://open.spotify.com/track/3X2hj2FtEjHTYr6CMRO2my
66,"Fireworks (feat. Moss Kena & The Knocks)","Purple Disco Machine",79515,https://open.spotify.com/track/1kTlT3phtU2yqTJYT1x6hb
67,"guccy bag",sangiovanni,78367,https://open.spotify.com/track/755xh1CnKw8zg2m3Uv4TEX
68,"GIRL LIKE ME","Black Eyed Peas",77846,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
69,Runaway,AURORA,76040,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
