,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Bottiglie Privè","Sfera Ebbasta",518916,https://open.spotify.com/track/3E2KP5AWn6Wx0NcPstzKeo
2,Destri,Gazzelle,271306,https://open.spotify.com/track/0WBg2If3H9nN9RFl2xO2SZ
3,"ALTALENE (feat. Mara Sattei & Coez)","BLOODY VINYL",265412,https://open.spotify.com/track/2zqxUV6h5y6Y9WhyH0FVvX
4,Superclassico,Ernia,240211,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
5,"SLATT (feat. Capo Plaza)",Rondodasosa,231004,https://open.spotify.com/track/1YvhcTM8aIRTg03AavA2HJ
6,"Cuore Nero - prod. Frenetik&Orang3",Blind,213605,https://open.spotify.com/track/0ROJX4yr64AlknCaX71JDQ
7,"Mood (feat. iann dior)",24kGoldn,196841,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
8,"Chico (feat. Rose Villain & Luchè)",Guè,176845,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
9,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,171012,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
10,"BELLA STORIA",Fedez,167346,https://open.spotify.com/track/0824Kyozhv4yBbM86aBFCG
11,"A Un Passo Dalla Luna","Rocco Hunt",161352,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
12,Hypnotized,"Purple Disco Machine",147046,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
13,"Head & Heart (feat. MNEK)","Joel Corry",145522,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"X 1 MEX (feat. Dani Faiv)","BLOODY VINYL",139413,https://open.spotify.com/track/5gouWBHeO3hLhCUr9gSvV5
15,"Te lo prometto","Il Tre",134885,https://open.spotify.com/track/72aqCNAdOo6H4nrPyAivSV
16,"VITTORIA - prod. Strage – Slait",Casadilego,132591,https://open.spotify.com/track/05gPdrxGchpTIxZ2FRNA5N
17,"MACHETE SATELLITE (feat. Salmo, Taxi B & Greg Willen)","BLOODY VINYL",123038,https://open.spotify.com/track/3CHiuPXn9ufDJhVy1xI4Jf
18,"Spigoli (feat. Mara Sattei & tha Supreme)","Carl Brave",121670,https://open.spotify.com/track/0VSw01E3JInAaFDeYt9v8F
19,"What You Know Bout Love","Pop Smoke",120375,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
20,"TELEPHONE (feat. Capo Plaza & Sick Luke)","BLOODY VINYL",118793,https://open.spotify.com/track/0ejf33zIXZlhUnCKRMWx6q
21,"Flop (feat. Leon Faun)",Izi,118117,https://open.spotify.com/track/0DCLd1GJKAsESFs6yQ3TjW
22,"Al Pacino (feat. IDK)",Izi,116577,https://open.spotify.com/track/3WHMA4nEF1TqnuJWZvky5F
23,"22 settembre",Ultimo,114176,https://open.spotify.com/track/15RRpHBNzv0gvjIry4jyOs
24,Crepe,Irama,112509,https://open.spotify.com/track/6L671UzJPyAzbHEhaNhDUJ
25,"Breaking Me",Topic,112435,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
26,"Cornici Bianche - prod. Young Miles",MYDRAMA,112128,https://open.spotify.com/track/5XKxHGzuIdOxgQkewZkx1Y
27,"TATUAGGI (feat. ARIETE)",PSICOLOGI,111259,https://open.spotify.com/track/15WIkk29b7NqOK2poTRnOU
28,"Foto (feat. Gemitaiz & MadMan)",Izi,111120,https://open.spotify.com/track/2cFyGMKscEgtlS6gqqBxAR
29,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,106914,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
30,Léon,Melancholia,103856,https://open.spotify.com/track/3QQUeNnaO9vTGOjHtMrfNy
31,Mediterranea,Irama,102535,https://open.spotify.com/track/2Up8QSKRV7WnZxZAQasEUq
32,Barcellona,Ghali,99867,https://open.spotify.com/track/4FaC0SztXweMBKnJCPZEKL
33,VENT'ANNI,Måneskin,97462,https://open.spotify.com/track/34r4voojt51Kk6ax5FJI1M
34,"La storia infinita","Pinguini Tattici Nucleari",94543,https://open.spotify.com/track/0XAO6HaZDHa2HxbnWWKWCZ
35,"Il bacio di Klimt","Emanuele Aloia",94383,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
36,"WEEKEND (feat. Lazza, Madame & Massimo Pericolo)","BLOODY VINYL",92927,https://open.spotify.com/track/1FVZhwZiab6cEAxAOS9j5v
37,"BIMBI PER STRADA (CHILDREN)",Fedez,91967,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
38,"Paloma (feat. Anitta)","Fred De Palma",91743,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
39,Dynamite,BTS,89628,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
40,"Matrix (feat. Nayt)",Izi,88968,https://open.spotify.com/track/4B2INUH3nWgyrOeUIqr5Hj
41,"Watermelon Sugar","Harry Styles",87010,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
42,"Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)","Achille Lauro",86994,https://open.spotify.com/track/5i12eplaUT5pPE5iC6B2FZ
43,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",85969,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
44,"BABY (feat. Rosa Chemical)","BLOODY VINYL",81357,https://open.spotify.com/track/3jtMheZu2P0tbWzAYYWhvS
45,"Pazzo (feat. Fabri Fibra)",Izi,80995,https://open.spotify.com/track/7p4F5ymN4EcYv0cFigmbzx
46,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",80009,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
47,"Miami Ladies (feat. Guè & Elettra Lamborghini)",Izi,78909,https://open.spotify.com/track/6Uwtvuff2jeUcbiLiCDOxU
48,"Pasticche (feat. Capo Plaza)",VillaBanks,76014,https://open.spotify.com/track/7KnC2wSD0I5Fju3A7qCFX8
49,"Serpente - prod. Strage",cmqmartina,75481,https://open.spotify.com/track/5rr0ErFolKv5rkUWcHEMpg
50,"Hoodboy - Remix","Coyote Jo Bastard",73832,https://open.spotify.com/track/0RS1tp85979N7W73I0jBsl
51,Bomba,Vergo,73517,https://open.spotify.com/track/0lP5aO9JLLGNeY15k248RM
52,"Deep End",Fousheé,73444,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
53,positions,"Ariana Grande",72290,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
54,"Good Times",Ghali,72116,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
55,"ELEGANTE (feat. Sfera Ebbasta)",DrefGold,72014,https://open.spotify.com/track/7qADAhkEs9vv3ll4hP8ybC
56,Ricordami,"Tommaso Paradiso",71837,https://open.spotify.com/track/6Vw7SyOg1BcWvGpyPzWgEa
57,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,71649,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
58,"L'ultima volta - feat. Massimo Pericolo","Emis Killa",71502,https://open.spotify.com/track/3rOw9WmYFCRLHTRcbOjhUl
59,Karaoke,Boomdabash,70667,https://open.spotify.com/track/0D4GpOPInKiPxEfQMchu4p
60,"Resta Cu Me - feat. Ketama126","Nicola Siciliano",70523,https://open.spotify.com/track/6rmf2cJ9HM4kZpnKzpdm1e
61,"Se Te Nota (with Guaynaa)","Lele Pons",70420,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
62,"0ffline (feat. bbno$)","tha Supreme",70266,https://open.spotify.com/track/6ZWsKJdmoYu1oFJbzCmtK9
63,"BLOODY BARS - STUDIOMOB (feat. Lazza)","BLOODY VINYL",70210,https://open.spotify.com/track/2lWTk2SX6jvlgihqoWOhpt
64,"Intro (Can't Breathe) (feat. DAX)",Izi,69579,https://open.spotify.com/track/28scqZrU95mp5EmuD6koFp
65,Ridere,"Pinguini Tattici Nucleari",69335,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
66,"Pusher (Vaz Tè & Guesan)",Izi,68121,https://open.spotify.com/track/2Lh96v09sUDOOTBqPn7gFb
67,"Tick Tock (feat. 24kGoldn)","Clean Bandit",67865,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
68,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",67374,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
69,"WAP (feat. Megan Thee Stallion)","Cardi B",66609,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
70,"Domani (feat. Federica Abbate & Piccolo G)",Izi,65837,https://open.spotify.com/track/4dh9BxGKvRFSiI4PuzJ8iY
71,Louboutin,"Vale pain",65649,https://open.spotify.com/track/7fzaDe7qR6IX2w275uX4Th
72,"ALYX (feat. Capo Plaza)",Lazza,65415,https://open.spotify.com/track/5ifarM7jfplX1EqkqMHlDq
73,Caramelo,Ozuna,65239,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
74,"Non mi basta più (feat. Chiara Ferragni)","Baby K",64053,https://open.spotify.com/track/5ZUeBvBEH8hpdLMW3yCmHb
75,Capo,Geolier,63432,https://open.spotify.com/track/7A9lnmpkWR2tPkcPWGbMqo
76,"Djadja (feat. Maluma) - Remix","Aya Nakamura",63042,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
77,"Savage Love (Laxed - Siren Beat)","Jawsh 685",62781,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
78,"Sono un bravo ragazzo un po' fuori di testa",Random,61527,https://open.spotify.com/track/5EXLYWZGnmYC01H53WUAhi
79,"Ti volevo dedicare (feat. J-AX & Boomdabash)","Rocco Hunt",60885,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
