,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MI FAI IMPAZZIRE",BLANCO,609003,https://open.spotify.com/track/1x3Qb8np6S1UvpSLthwEJN
2,malibu,sangiovanni,486186,https://open.spotify.com/track/4p0o4pBoJPxYMXKhYbRzzw
3,"MILLE – feat. Orietta Berti",Fedez,434662,https://open.spotify.com/track/6qdMhG7pRFi0csRlFGvLE4
4,MAKUMBA,Noemi,380641,https://open.spotify.com/track/2opRyiaqpnQCH0jfCY9Wjd
5,"Un bacio all'improvviso","Rocco Hunt",347830,https://open.spotify.com/track/4iMigesJsEKt8JczIwUrBO
6,"NUOVO RANGE (con SFERA EBBASTA)",Rkomi,327532,https://open.spotify.com/track/3fxSSvnUS7ALxmhOckb7t6
7,"Notti In Bianco",BLANCO,310102,https://open.spotify.com/track/38UoVEHcZ85EGBo6k79643
8,Pistolero,"Elettra Lamborghini",302029,https://open.spotify.com/track/6Y3E68GAhdvbJramkIOKJK
9,"I WANNA BE YOUR SLAVE",Måneskin,293181,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
10,MAREA,Madame,278716,https://open.spotify.com/track/7BKGYx89QYgfdnpVo3zapq
11,"Movimento lento (feat. Federico Rossi)",Annalisa,270977,https://open.spotify.com/track/3H6wIwh1C3GVJI0LaWQF7P
12,"PARTIRE DA TE",Rkomi,259827,https://open.spotify.com/track/43mGIsFZwISk1WWTcAK728
13,"Un altro ballo (feat. Anitta)","Fred De Palma",258678,https://open.spotify.com/track/0pmtvLQaPHx6nqZmi2KDbr
14,"Mohicani (feat. Baby K)",Boomdabash,251481,https://open.spotify.com/track/5Wml9i3afqwcm8UNDD1GXw
15,Loca,"Aka 7even",245205,https://open.spotify.com/track/6uS2uan3JwpHko4E8Bg0UR
16,"LUNA PIENA (con IRAMA)",Rkomi,242419,https://open.spotify.com/track/7xtDBQTR47nZwpBRu6pOdO
17,Beggin',Måneskin,239691,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
18,"Never Going Home",Kungs,226822,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
19,"uNa DiReZioNe giUsTa","yungest Moonstar",221576,https://open.spotify.com/track/1ktyKCzfI8hooCJP3X2yP5
20,"Melodia proibita",Irama,205827,https://open.spotify.com/track/3WZ0y6ycgr5PpOeygirDvu
21,"Bad Habits","Ed Sheeran",199660,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
22,"STAY (with Justin Bieber)","The Kid LAROI",193628,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
23,"Scrivile Scemo","Pinguini Tattici Nucleari",190934,https://open.spotify.com/track/71r3UlkV7sWvUYjas5paqi
24,"Ti raggiungerò","Fred De Palma",189410,https://open.spotify.com/track/3cqu5fPwdsXZHIRpDeXPoh
25,Salsa,J-AX,188839,https://open.spotify.com/track/6VAdJCy8hFSxTNsxlBADSE
26,Run,OneRepublic,183402,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
27,"In un'ora",Shade,179745,https://open.spotify.com/track/2g7xewu0kXt7Uo3X8MBlgj
28,"L'ultima notte",ARIETE,177730,https://open.spotify.com/track/63mdY4U0KvnbMkUEc7FHN8
29,"Ma stasera","Marco Mengoni",167917,https://open.spotify.com/track/0k6Ru4EOidm7czaSvDjTX1
30,"Yo No Sé",Rvfv,166261,https://open.spotify.com/track/43ic0un1f9Nak0ZCQgvKjY
31,"SHIMMY SHIMMY","Takagi & Ketra",162748,https://open.spotify.com/track/1stFp5p3h2svKierTqfEN6
32,"Dancing On Dangerous (feat. Sofía Reyes)",Imanbek,159691,https://open.spotify.com/track/6OYZvwKN8GaauTrJS1TuuH
33,"Open Bar","Il Pagante",159669,https://open.spotify.com/track/3EyZw5sCXxOkE8EWsOIkB1
34,"ZITTI E BUONI",Måneskin,151851,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
35,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,150071,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
36,STUPIDO,"Massimo Pericolo",149276,https://open.spotify.com/track/6HVRRlc2sBlkcKEkhlsp86
37,"Tuttecose (feat. Mara Sattei)",Gazzelle,149216,https://open.spotify.com/track/6KLjClrXcuXiX4PWGHtmDk
38,lady,sangiovanni,148772,https://open.spotify.com/track/1h9HxkDH67X8cig593BBOb
39,Paraocchi,BLANCO,148450,https://open.spotify.com/track/3c1hhyuDTsP3hqRztpg2S5
40,"Las Vegas",Tancredi,146958,https://open.spotify.com/track/34fqJK3MV1eToqwBm6vo33
41,"MONTERO (Call Me By Your Name)","Lil Nas X",144062,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
42,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,139012,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
43,"Iko Iko (My Bestie)","Justin Wellington",136019,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
44,"Bongo Cha Cha Cha",Goodboys,135187,https://open.spotify.com/track/7J4zszAZxAyowZp7gNUIUI
45,"10 RAGAZZE (con ERNIA)",Rkomi,128035,https://open.spotify.com/track/4rstEjIOddR5CuzzLv2bhS
46,"Your Love (9PM)",ATB,126391,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
47,"Wasted Love (feat. Lagique)",Ofenbach,119648,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
